Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kələm	nan	k ə l - ə m - - - - -	('sky', 'kama1365', 'deliŋ')	datasets/keraf/Belang.tsv	133. Langit 
1	sun	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ləra	nan	l ə r - - - - - a -	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/keraf/Belang.tsv	134. Matahari 
3	star	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	təmala	nan	- - - - t ə - m a l a -	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/keraf/Belang.tsv	135. Bintang 
4	night	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	rəma	nan	r ə m a - - -	('night', 'lama1277-adona', 'ˈrɜmaʔ')	datasets/keraf/Belang.tsv	171. Malam 
5	day	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ləro	nan	- - - - - - - - - - - l ə r o - - - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/keraf/Belang.tsv	173. Hari 
6	year	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	tuŋ	nan	- t u - ŋ - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/keraf/Belang.tsv	172. Tahun 
13	cloud	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kowa	nan	k o w a - -	('cloud', 'abui1241-fuime', 'kabuti')	datasets/keraf/Belang.tsv	136. Awan 
14	wind	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	aŋi	nan	- - a ŋ - - i - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/keraf/Belang.tsv	140. Angin 
15	rain	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ura	nan	- - u - r a - - - - -	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/keraf/Belang.tsv	138. Hujan 
22	river; stream	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	luŋu	nan	l u - - - - ŋ - - u - - -	('river; stream', 'lama1277-baipi', 'wai_ba')	datasets/keraf/Belang.tsv	130. Sungai 
25	lake	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	liwo	nan	l i w o - - -	"('lake', 'lama1277-adona', ""'liwo"")"	datasets/keraf/Belang.tsv	129. Danau 
26	mountain	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ile	nan	- - - i l e - -	('mountain', 'alor1249-sar-n', 'yihil')	datasets/keraf/Belang.tsv	131. Gunung 
30	Earth	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	tana	nan	t a n - a -	('Earth', 'lama1277-baipi', 'tana')	datasets/keraf/Belang.tsv	119. Tanah 
32	stone	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	wato	nan	- w a t o - - - - -	"('stone', 'alor1247-baran', ""'fato"")"	datasets/keraf/Belang.tsv	120. Batu 
35	water (fresh)	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	wai	nan	- w ai - - - -	"('water (fresh)', 'alor1247-besar', ""'fei"")"	datasets/keraf/Belang.tsv	122. Air 
36	sea; sea water	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ojok	nan	- o j o k -	('sea; sea water', 'lama1277-baipi', 'tahik')	datasets/keraf/Belang.tsv	127. Laut 
39	forest	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	eka maŋan	nan	- - - e k a _ m a ŋ a n	('forest', 'lama1277-belan', 'eka_maŋan')	datasets/keraf/Belang.tsv	132. Hutan
45	road; path; way	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	lara	nan	l a r a - -	('road; path; way', 'lama1277-belan', 'lara')	datasets/keraf/Belang.tsv	7. Jalan
51	rope	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	tale	nan	- - t a l e -	('rope', 'lama1277-baipi', 'tale')	datasets/keraf/Belang.tsv	65. Tali
65	clothing	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	alelolo	nan	- a l e - l o l o - -	('clothing', 'kafo1240', 'ʔɑlɑl')	datasets/keraf/Belang.tsv	68. Pakaian 
67	fire	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ape	nan	- - a - p e - -	"('fire', 'alor1247-baran', ""a'pe:"")"	datasets/keraf/Belang.tsv	148. Api 
68	smoke	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	sənəgur	nan	- - s ə - - n ə g u r - -	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	datasets/keraf/Belang.tsv	150. Asap 
70	dust; fine earth	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	əmut	nan	- - - ə m u t -	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Belang.tsv	15. Debu
70	dust; fine earth	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kawuk	nan	k - - a w u k -	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Belang.tsv	151. Abu 
75	sand	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	wəra	nan	w ə r a - -	"('sand', 'keda1252', ""'ʔerah"")"	datasets/keraf/Belang.tsv	121. Pasir 
76	grass; brush	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kərəkak	nan	k ə r ə k a k -	('grass; brush', 'lama1277-baipi', 'kərəmət')	datasets/keraf/Belang.tsv	118. Rumput 
84	tree	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kajo	nan	- k a - - j o - - - - - - - - - - - - -	"('tree', 'alor1247-besar', ""'kaʤɔ"")"	datasets/keraf/Belang.tsv	110. Pohon 
87	leaf	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	lolo	nan	- - - - - l o l o -	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	datasets/keraf/Belang.tsv	112. Daun 
91	root	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ramut	nan	r a m u t - -	('root', 'lama1277-baipi', 'amut')	datasets/keraf/Belang.tsv	114. Akar 
92	fruit	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	wua	nan	- - - - - w - u - a - - -	"('betel nut; areca', 'keda1252', ""'uwe"")"	datasets/keraf/Belang.tsv	117. Buah 
93	seed	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kulu	nan	k u l u - - -	"('seed', 'alor1247-baran', ""'kuluŋ"")"	datasets/keraf/Belang.tsv	115. Biji 
95	flower	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	puŋa	nan	p u ŋ a - -	('flower', 'lama1277-belan', 'puŋa')	datasets/keraf/Belang.tsv	116. Bunga 
129	salt	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	sia	nan	s i - a - -	"('salt', 'alor1247-baran', ""'siʔa"")"	datasets/keraf/Belang.tsv	128. Garam 
130	fat	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	wora	nan	w o r - - a - - -	('fat', 'lama1277-baipi', 'wora')	datasets/keraf/Belang.tsv	104. Lemak 
131	flesh; meat	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	bənək	nan	b ə n - - ə k	('flesh; meat', 'lama1277-bama', 'ihik')	datasets/keraf/Belang.tsv	103. Daging 
132	bone	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	riuk	nan	- - - r iu - - k - - -	"('bone', 'alor1247-baran', ""ru'ʔiŋ"")"	datasets/keraf/Belang.tsv	19. Tulang
136	blood	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	mei	nan	- - m ei - -	('blood', 'lama1277-adona', 'mei')	datasets/keraf/Belang.tsv	26. Darah
138	heart	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	puo	nan	- p uo - - - - - - -	('heart', 'amar1273-kotos', 'bua-f')	datasets/keraf/Belang.tsv	22. Jantung
139	liver	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	onək	nan	o n ə k - -	('liver', 'lama1277-belan', 'onək')	datasets/keraf/Belang.tsv	21. Hati
144	stomach; belly	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	luwuk	nan	- - l u w u k -	('stomach; belly', 'lama1277-baipi', 'ale')	datasets/keraf/Belang.tsv	18. Perut
145	head	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kotək	nan	- - - k o t ə k - - -	"('head', 'alor1247-baran', ""'kɔtɔŋ"")"	datasets/keraf/Belang.tsv	27. Kepala
146	hair	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ratak	nan	r a t a - - - k -	"('hair', 'alor1247-baran', ""'rata"")"	datasets/keraf/Belang.tsv	29. Rambut
148	eye	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	matak	nan	- - m a t a k - -	"('eye', 'alor1247-baran', ""'mataŋ"")"	datasets/keraf/Belang.tsv	47. Mata
149	ear	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	tiluk	nan	- t i l u k - - - -	"('ear', 'alor1247-baran', ""'til:uŋ"")"	datasets/keraf/Belang.tsv	45. Telinga
150	nose	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	niruŋ	nan	n i r u ŋ - -	"('nose', 'alor1247-baran', ""'ir:uŋ"")"	datasets/keraf/Belang.tsv	30. Hidung
151	mouth	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	nūk	nan	- n ū - - k - - - - -	"('mouth', 'alor1247-munas', ""'nuhuŋ_"")"	datasets/keraf/Belang.tsv	33. Mulut
155	tongue	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ewel	nan	- e w e l - -	"('tongue', 'alor1247-baran', ""'fɛfɛl"")"	datasets/keraf/Belang.tsv	35. Lidah
156	neck	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	wulik	nan	w u l i k -	"('neck', 'alor1247-besar', ""'fuliŋ"")"	datasets/keraf/Belang.tsv	28. Leher
164	hand	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	limak	nan	- - - - - l i m a - - k - - - - - -	"('hand', 'alor1247-baran', ""'limaŋ_ka'lumak"")"	datasets/keraf/Belang.tsv	1. Tangan
175	foot	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	leik	nan	l e i k - - - - - - - - - - -	"('foot', 'alor1247-baran', ""'leiŋ_ka'lumak"")"	datasets/keraf/Belang.tsv	4. Kaki
179	back	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	usuk	nan	u s u k - -	('back', 'keda1252-leuwa', 'u̘hur')	datasets/keraf/Belang.tsv	17. Punggung
182	skin	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kama	nan	k a m a - - - -	"('skin', 'alor1247-baran', ""'kamaŋ"")"	datasets/keraf/Belang.tsv	16. Kulit
190	person	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	atadik	nan	a t a d i k - - -	('person', 'lama1277-baipi', 'atadikə')	datasets/keraf/Belang.tsv	53. Orang
191	name	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	naraŋ	nan	- n a r a ŋ - -	"('name', 'alor1247-baran', ""'naraŋ"")"	datasets/keraf/Belang.tsv	63. Nama
192	child	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ana	nan	- - - - - - a n a - - - -	('child', 'alor1247-baran', 'ʔanaŋ')	datasets/keraf/Belang.tsv	56. Anak
193	man	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kəbailake	nan	k ə b ai - - - l a k e -	"('man', 'alor1247-baran', ""ka'lake"")"	datasets/keraf/Belang.tsv	54. Laki-laki
194	woman	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kəbarawae	nan	- k ə b - a r - a w ae	"('woman', 'alor1247-baran', ""ka'fae"")"	datasets/keraf/Belang.tsv	55. Wanita
195	husband	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ha	nan	- - - h - - a - - - - - - -	('husband', 'lama1277-belan', 'ha')	datasets/keraf/Belang.tsv	57. Suami
196	wife	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ha	nan	- - h - - - - - a - - -	"('wife', 'buna1278-malia', ""'phanɑ"")"	datasets/keraf/Belang.tsv	58. Isteri
197	mother	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ina	nan	- - i n a - -	('mother', 'lama1277-belan', 'ina')	datasets/keraf/Belang.tsv	59. Ibu
198	father	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ama	nan	- - a m a - -	"('father', 'alor1247-besar', ""'amã"")"	datasets/keraf/Belang.tsv	60. Bapak
199	older sibling	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kaka	nan	- k - a k - - a - -	"('older sibling', 'alor1247-munas', ""'kakaŋ"")"	datasets/keraf/Belang.tsv	61. Kakak
200	younger sibling	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ari	nan	- a r i - - - - - - - - - -	('younger sibling', 'adan1251-otvai', 'di')	datasets/keraf/Belang.tsv	62. Adik
203	1sg	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	goe	nan	- - g oe - -	('1sg', 'alor1247-baran', 'go:')	datasets/keraf/Belang.tsv	184. Saya 
204	2sg (informal)	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	moe	nan	m oe - -	('2sg (informal)', 'lama1277-baipi', 'mio')	datasets/keraf/Belang.tsv	185. Engkau/ kamu 
206	3sg	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	nae	nan	n ae - - -	"('3sg', 'alor1247-baran', ""'nɔ:"")"	datasets/keraf/Belang.tsv	186. Dia 
207	1pl excl	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kame	nan	k a m e	('1pl excl', 'lama1277-baipi', 'kame')	datasets/keraf/Belang.tsv	188. Kami 
208	1pl incl	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	tite	nan	t i t e	('1pl incl', 'lama1277-baipi', 'tite')	datasets/keraf/Belang.tsv	187. Kita 
210	3pl	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	rae	nan	- - r a - e	('3pl', 'lama1277-adona', 'ˈraʔe')	datasets/keraf/Belang.tsv	189. Mereka 
212	and	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	no	nan	n o - - - - -	('and', 'alor1247-baran', 'nɔ̃:')	datasets/keraf/Belang.tsv	197. Dan 
213	because	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	puk	nan	- - p u k - -	('because', 'lama1277-belan', 'puk')	datasets/keraf/Belang.tsv	199. Sebab 
214	if	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kalu	nan	k a l u - - -	('if', 'lama1277-baipi', 'kalu')	datasets/keraf/Belang.tsv	200. Jikalau 
215	with	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	no	nan	n - - o - -	('with', 'alor1247-baran', 'nɔ̃:')	datasets/keraf/Belang.tsv	198. Dengan
216	what?	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	alaku	nan	a l a k u	('what?', 'lama1277-adona', 'ˈʔaku')	datasets/keraf/Belang.tsv	190. Apa 
217	who?	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	heku	nan	h e - - k u	('who?', 'lama1277-baipi', 'hege')	datasets/keraf/Belang.tsv	191. Siapa 
218	where?	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	nəga	nan	- - n ə g a - -	('where?', 'lama1277-baipi', 'təga')	datasets/keraf/Belang.tsv	183. Di mana 
219	when?	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	arapira	nan	a r a - - - p i r a	('when?', 'lama1277-baipi', 'arəmpira')	datasets/keraf/Belang.tsv	174. Bilamana 
223	this	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	nəpi	nan	- - n ə - - p i	('this', 'lama1277-baipi', 'pi')	datasets/keraf/Belang.tsv	179. Ini 
224	that	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	pəpe	nan	- - p ə - p e	"('that', 'keda1252', ""no'beʔ"")"	datasets/keraf/Belang.tsv	180. Itu 
227	here	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	nəpi	nan	- - n ə p i	('here', 'lama1277-baipi', 'tiwi')	datasets/keraf/Belang.tsv	177. Di sini 
228	there	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	nəpe	nan	n ə p e	('there', 'lama1277-baipi', 'tewe')	datasets/keraf/Belang.tsv	178. Di situ 
231	left (side)	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	seki	nan	s - - e k i - - -	('left (side)', 'lama1277-belan', 'seki')	datasets/keraf/Belang.tsv	2. Kiri
232	right (side)	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	wana	nan	w a n a -	('right (side)', 'adan1251-otvai', 'taniŋ')	datasets/keraf/Belang.tsv	3. Kanan
233	a few	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ue	nan	- - - ue - - - -	('a few', 'lama1277-baipi', 'sələ')	datasets/keraf/Belang.tsv	195. Sedikit 
234	all	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	pua	nan	p ua - -	('all', 'lama1277-belan', 'pua')	datasets/keraf/Belang.tsv	196. Semua 
235	many	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	aja	nan	- a j a - -	('many', 'lama1277-adona', 'ˈʔaːjʔa')	datasets/keraf/Belang.tsv	194. Banyak 
236	animal	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	əwan nawu	nan	- ə w a n _ n a w u -	"('animal', 'keda1252', ""'ʔewaŋ"")"	datasets/keraf/Belang.tsv	102. Binatang 
238	dog	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ao	nan	- - ao - - - - - - - -	"('dog', 'alor1247-baran', ""a'ho"")"	datasets/keraf/Belang.tsv	96. Anjing 
249	tail	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	iku	nan	- i k u - - -	('tail', 'lama1277-bama', 'iku')	datasets/keraf/Belang.tsv	105. Ekor 
250	fish	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ika	nan	- - - i - - - - k a - -	"('fish', 'alor1247-baran', ""'ikɑŋ"")"	datasets/keraf/Belang.tsv	109. Ikan 
259	bird	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kolo	nan	- k - - - - - o l o - -	"('bird', 'alor1247-baran', ""'koloŋ"")"	datasets/keraf/Belang.tsv	97. Burung 
260	wing	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	kəpi	nan	k ə p i - - -	('wing', 'lama1277-baipi', 'kəpiʔ')	datasets/keraf/Belang.tsv	100. Sayap 
262	feather	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	rawuk	nan	- - - - r a - w u k - -	('feather', 'lama1277-adona', 'ˈrawuke')	datasets/keraf/Belang.tsv	99. Bulu 
264	snake	lama1277-belan	Lamaholot-Belang	Austronesian	8Lembata	ula	nan	- - u l a - - - - - - -	"('snake', 'alor1247-baran', ""ʔu'la"")"	datasets/keraf/Belang.tsv	106. Ular 
