Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Botun	Austronesian	8Lembata	kəlã	nan				133. Langit 
1	sun		Botun	Austronesian	8Lembata	rəra	nan				134. Matahari 
3	star		Botun	Austronesian	8Lembata	epət	nan				135. Bintang 
4	night		Botun	Austronesian	8Lembata	rəmʔã	nan				171. Malam 
5	day		Botun	Austronesian	8Lembata	rərõ	nan				173. Hari 
6	year		Botun	Austronesian	8Lembata	tun	nan				172. Tahun 
13	cloud		Botun	Austronesian	8Lembata	kowa	nan				136. Awan 
14	wind		Botun	Austronesian	8Lembata	aŋi	nan				140. Angin 
15	rain		Botun	Austronesian	8Lembata	urã	nan				138. Hujan 
23	ice		Botun	Austronesian	8Lembata	—	nan				124. Es 
24	snow		Botun	Austronesian	8Lembata	—	nan				139. Salju 
25	lake		Botun	Austronesian	8Lembata	liwo	nan				129. Danau 
26	mountain		Botun	Austronesian	8Lembata	ile	nan				131. Gunung 
32	stone		Botun	Austronesian	8Lembata	wato	nan				120. Batu 
39	forest		Botun	Austronesian	8Lembata	rukʔã	nan				132. Hutan
51	rope		Botun	Austronesian	8Lembata	tale	nan				65. Tali
65	clothing		Botun	Austronesian	8Lembata	alelolo	nan				68. Pakaian 
67	fire		Botun	Austronesian	8Lembata	ape	nan				148. Api 
68	smoke		Botun	Austronesian	8Lembata	nuhũ	nan				150. Asap 
75	sand		Botun	Austronesian	8Lembata	wəra	nan				121. Pasir 
84	tree		Botun	Austronesian	8Lembata	kayo	nan				110. Pohon 
87	leaf		Botun	Austronesian	8Lembata	lolo	nan				112. Daun 
91	root		Botun	Austronesian	8Lembata	əmut	nan				114. Akar 
92	fruit		Botun	Austronesian	8Lembata	wuã	nan				117. Buah 
93	seed		Botun	Austronesian	8Lembata	kulʔũ	nan				115. Biji 
95	flower		Botun	Austronesian	8Lembata	puhũ	nan				116. Bunga 
129	salt		Botun	Austronesian	8Lembata	siʔa	nan				128. Garam 
130	fat		Botun	Austronesian	8Lembata	worʔã	nan				104. Lemak 
132	bone		Botun	Austronesian	8Lembata	riʔũ	nan				19. Tulang
136	blood		Botun	Austronesian	8Lembata	mei	nan				26. Darah
138	heart		Botun	Austronesian	8Lembata	puho	nan				22. Jantung
139	liver		Botun	Austronesian	8Lembata	atek	nan				21. Hati
145	head		Botun	Austronesian	8Lembata	kotək	nan				27. Kepala
146	hair		Botun	Austronesian	8Lembata	rata	nan				29. Rambut
148	eye		Botun	Austronesian	8Lembata	mata	nan				47. Mata
149	ear		Botun	Austronesian	8Lembata	tilũ	nan				45. Telinga
150	nose		Botun	Austronesian	8Lembata	irũ	nan				30. Hidung
151	mouth		Botun	Austronesian	8Lembata	wewã	nan				33. Mulut
155	tongue		Botun	Austronesian	8Lembata	wewe	nan				35. Lidah
156	neck		Botun	Austronesian	8Lembata	wuli	nan				28. Leher
164	hand		Botun	Austronesian	8Lembata	lima	nan				1. Tangan
175	foot		Botun	Austronesian	8Lembata	lei	nan				4. Kaki
179	back		Botun	Austronesian	8Lembata	kolak	nan				17. Punggung
182	skin		Botun	Austronesian	8Lembata	kamʔã	nan				16. Kulit
190	person		Botun	Austronesian	8Lembata	atadikə	nan				53. Orang
191	name		Botun	Austronesian	8Lembata	narã	nan				63. Nama
192	child		Botun	Austronesian	8Lembata	ana	nan				56. Anak
193	man		Botun	Austronesian	8Lembata	bəlakĩ	nan				54. Laki-laki
194	woman		Botun	Austronesian	8Lembata	bərwae	nan				55. Wanita
195	husband		Botun	Austronesian	8Lembata	bəlikĩ	nan				57. Suami
196	wife		Botun	Austronesian	8Lembata	kəwae	nan				58. Isteri
197	mother		Botun	Austronesian	8Lembata	əma	nan				59. Ibu
198	father		Botun	Austronesian	8Lembata	bapa	nan				60. Bapak
199	older sibling		Botun	Austronesian	8Lembata	kaka	nan				61. Kakak
200	younger sibling		Botun	Austronesian	8Lembata	arik	nan				62. Adik
203	1sg		Botun	Austronesian	8Lembata	goʔe	nan				184. Saya 
206	3sg		Botun	Austronesian	8Lembata	naʔe	nan				186. Dia 
210	3pl		Botun	Austronesian	8Lembata	raʔe	nan				189. Mereka 
212	and		Botun	Austronesian	8Lembata	noʔõ	nan				197. Dan 
213	because		Botun	Austronesian	8Lembata	pukã	nan				199. Sebab 
214	if		Botun	Austronesian	8Lembata	—	nan				200. Jikalau 
215	with		Botun	Austronesian	8Lembata	noʔo	nan				198. Dengan
223	this		Botun	Austronesian	8Lembata	pi	nan				179. Ini 
224	that		Botun	Austronesian	8Lembata	pe	nan				180. Itu 
227	here		Botun	Austronesian	8Lembata	dəpi	nan				177. Di sini 
228	there		Botun	Austronesian	8Lembata	dəpe	nan				178. Di situ 
234	all		Botun	Austronesian	8Lembata	wahaŋkae	nan				196. Semua 
235	many		Botun	Austronesian	8Lembata	ayʔã	nan				194. Banyak 
236	animal		Botun	Austronesian	8Lembata	əwã	nan				102. Binatang 
238	dog		Botun	Austronesian	8Lembata	aho	nan				96. Anjing 
250	fish		Botun	Austronesian	8Lembata	ikã	nan				109. Ikan 
259	bird		Botun	Austronesian	8Lembata	kolõ	nan				97. Burung 
260	wing		Botun	Austronesian	8Lembata	kəpʔĩ	nan				100. Sayap 
262	feather		Botun	Austronesian	8Lembata	rawũ	nan				99. Bulu 
