Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	kəleŋ	nan	nan	nan	nan	133. Langit 
1	sun	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ləro	nan	nan	nan	nan	134. Matahari 
3	star	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	dala	nan	nan	nan	nan	135. Bintang 
4	night	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	guman	nan	nan	nan	nan	171. Malam 
5	day	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ləron	nan	nan	nan	nan	173. Hari 
6	year	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	liwan	nan	nan	('year', 'cent2245-hewa', 'liwan')	nan	172. Tahun 
13	cloud	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	kowa	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14	wind	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	a̤nin	nan	nan	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan	140. Angin 
15	rain	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	uran	nan	nan	nan	nan	138. Hujan 
22	river; stream	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	wair ba	nan	nan	('river', 'cent2245-hewa', 'wair_ba')	nan	130. Sungai 
25	lake	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	pərigi	nan	nan	('lake', 'cent2245-hewa', 'pərigi')	nan	129. Danau 
26	mountain	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	i̤lin	nan	nan	"('mountain', 'adon1237', ""'ʔile"")"	nan	131. Gunung 
30	Earth	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	tana	nan	nan	('earth', 'cent2245-hewa', 'tana')	nan	119. Tanah 
32	stone	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	watu	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan	120. Batu 
35	water (fresh)	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	wair	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan	122. Air 
36	sea; sea water	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	tahiʔ	nan	nan	('sea', 'cent2245-hewa', 'tahiʔ')	nan	127. Laut 
39	forest	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	tuan bəleŋ	nan	nan	"('forest', 'alor1247-baran', ""u'tɑŋ"")"	nan	132. Hutan
45	road; path; way	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	larã	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan	7. Jalan
51	rope	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	tali	nan	nan	nan	nan	65. Tali
65	clothing	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	pakian	nan	nan	"('clothing', 'alor1247-besar', ""pa'kiãŋ"")"	nan	68. Pakaian 
67	fire	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	a̤pi	nan	nan	('fire', 'adan1251-otvai', 'aʔfail')	nan	148. Api 
68	smoke	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	nuhi	nan	nan	('smoke', 'adon1237', 'ˈnuhũ')	nan	150. Asap 
70	dust; fine earth	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	awu	nan	nan	('dust', 'cent2245-hewa', 'awu')	nan	15. Debu
70	dust; fine earth	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	awu	nan	nan	('dust', 'cent2245-hewa', 'awu')	nan	151. Abu 
75	sand	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	əda	nan	nan	('sand', 'adon1237', 'ˈwɜra')	nan	121. Pasir 
76	grass; brush	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	riʔi	nan	nan	('grass', 'cent2245-hewa', 'riʔi')	nan	118. Rumput 
84	tree	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ai	nan	nan	('tree', 'adon1237', 'ˈkajo')	nan	110. Pohon 
87	leaf	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	roun	nan	nan	nan	nan	112. Daun 
91	root	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ramut	nan	nan	nan	nan	114. Akar 
92	fruit	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	wuan	nan	nan	('below', 'adon1237', 'leˈrerˈʔẽ,_lali_laŋũ')	nan	117. Buah 
93	seed	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ihin	nan	nan	('seed', 'amar1273-kotos', 'fini')	nan	115. Biji 
95	flower	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	puhun	nan	nan	nan	nan	116. Bunga 
129	salt	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	hini	nan	nan	nan	nan	128. Garam 
130	fat	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	wura	nan	nan	('fat', 'cent2245-hewa', 'wura')	nan	104. Lemak 
131	flesh; meat	cent2245-hewa	Hewa	Austronesian	5Flores, 2Central	ətan	nan	nan	('meat', 'cent2245-hewa', 'ətan')	nan	103. Daging 
