Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	kələm	nan	k ə l - ə m - - - - -	('sky', 'kama1365', 'deliŋ')	datasets/keraf/Ile_Ape.tsv	133. Langit 
1	sun	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ləra	nan	l ə r - - - - - a -	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/keraf/Ile_Ape.tsv	134. Matahari 
3	star	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	təmala	nan	- - - - t ə - m a l a -	"('star', 'alor1247-baran', ""ta'mala"")"	datasets/keraf/Ile_Ape.tsv	135. Bintang 
4	night	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	rəma	nan	r ə m a - - -	('day after tomorrow', 'lama1277-kalik', 'ˈʤəma ˈʤua')	datasets/keraf/Ile_Ape.tsv	171. Malam 
5	day	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ləron	nan	- - - - - - - - - - - l ə r o - n - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/keraf/Ile_Ape.tsv	173. Hari 
6	year	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	tun	nan	- t u - n - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/keraf/Ile_Ape.tsv	172. Tahun 
13	cloud	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	kowa	nan	k o w a - -	('cloud', 'abui1241-fuime', 'kabuti')	datasets/keraf/Ile_Ape.tsv	136. Awan 
14	wind	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	aŋin	nan	- - a ŋ - - i n - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/keraf/Ile_Ape.tsv	140. Angin 
15	rain	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	uran	nan	- - u - r a n - - - -	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/keraf/Ile_Ape.tsv	138. Hujan 
22	river; stream	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	wai nahan	nan	w ai - _ - - n a h a - - n	('river; stream', 'lama1277-baipi', 'wai ba')	datasets/keraf/Ile_Ape.tsv	130. Sungai 
25	lake	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	bərebot	nan	b ə r e b o t	('lake', 'lama1277-ileap', 'bərebot')	datasets/keraf/Ile_Ape.tsv	129. Danau 
26	mountain	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ile	nan	- - - i l e - -	('mountain', 'alor1249-sar-n', 'jihil')	datasets/keraf/Ile_Ape.tsv	131. Gunung 
30	Earth	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	tana	nan	t a n - a -	('Earth', 'lama1277-baipi', 'tana')	datasets/keraf/Ile_Ape.tsv	119. Tanah 
32	stone	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	wato	nan	- w a t o - - - - -	"('stone', 'alor1247-baran', ""'fato"")"	datasets/keraf/Ile_Ape.tsv	120. Batu 
35	water (fresh)	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	wai	nan	- w ai - - - -	"('water (fresh)', 'alor1247-besar', ""'fei"")"	datasets/keraf/Ile_Ape.tsv	122. Air 
36	sea; sea water	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	tahi	nan	t a h i - -	('sea; sea water', 'lama1277-baipi', 'tahik')	datasets/keraf/Ile_Ape.tsv	127. Laut 
39	forest	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	məgən	nan	m - - ə g - - - ə n - -	('forest', 'lama1277-belan', 'eka maŋan')	datasets/keraf/Ile_Ape.tsv	132. Hutan
45	road; path; way	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	laran	nan	l a r a n -	('road; path; way', 'lama1277-belan', 'lara')	datasets/keraf/Ile_Ape.tsv	7. Jalan
51	rope	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	tale	nan	- - t a l e -	('rope', 'lama1277-baipi', 'tale')	datasets/keraf/Ile_Ape.tsv	65. Tali
65	clothing	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	alelolo	nan	- a l e - l o l o - -	('clothing', 'kafo1240', 'ʔɑlɑl')	datasets/keraf/Ile_Ape.tsv	68. Pakaian 
67	fire	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ape	nan	- - a - p e - -	"('fire', 'alor1247-baran', ""a'pe:"")"	datasets/keraf/Ile_Ape.tsv	148. Api 
68	smoke	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	bənu	nan	- - b ə - - n u - - - - -	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	datasets/keraf/Ile_Ape.tsv	150. Asap 
70	dust; fine earth	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	əmut	nan	- - - ə m u t -	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Ile_Ape.tsv	15. Debu
70	dust; fine earth	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	awo	nan	- - - a w o - -	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Ile_Ape.tsv	151. Abu 
75	sand	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	wəra	nan	w ə r a - -	('sand', 'lama1277-baipi', 'wəra')	datasets/keraf/Ile_Ape.tsv	121. Pasir 
76	grass; brush	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	kərəmət	nan	k ə r ə m ə t -	('grass; brush', 'lama1277-baipi', 'kərəmət')	datasets/keraf/Ile_Ape.tsv	118. Rumput 
84	tree	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	kayo	nan	- k a - - y o - - - - - - - - - - - - -	"('tree', 'alor1247-besar', ""'kaʤɔ"")"	datasets/keraf/Ile_Ape.tsv	110. Pohon 
87	leaf	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	lolon	nan	- - - - - l o l o n	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	datasets/keraf/Ile_Ape.tsv	112. Daun 
91	root	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ramut	nan	r a m u t - -	('root', 'lama1277-baipi', 'amut')	datasets/keraf/Ile_Ape.tsv	114. Akar 
92	fruit	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	wuan	nan	- - - - - w - u - a - - n	('fruit', 'keda1252', 'wuan')	datasets/keraf/Ile_Ape.tsv	117. Buah 
93	seed	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	kuluk	nan	k u l u k - -	"('seed', 'alor1247-baran', ""'kuluŋ"")"	datasets/keraf/Ile_Ape.tsv	115. Biji 
95	flower	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	puhun	nan	p u h u n -	"('flower', 'alor1247-besar', ""'puhuŋ"")"	datasets/keraf/Ile_Ape.tsv	116. Bunga 
129	salt	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	sia	nan	s i - a - -	"('salt', 'alor1247-baran', ""'siʔa"")"	datasets/keraf/Ile_Ape.tsv	128. Garam 
130	fat	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	worak	nan	w o r - - a k - -	('fat', 'lama1277-baipi', 'wora')	datasets/keraf/Ile_Ape.tsv	104. Lemak 
131	flesh; meat	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ihin	nan	- - - i h i n	('flesh; meat', 'keda1252', 'ihin')	datasets/keraf/Ile_Ape.tsv	103. Daging 
132	bone	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	riuk	nan	- - - r iu - - k - - -	"('bone', 'alor1247-baran', ""ru'ʔiŋ"")"	datasets/keraf/Ile_Ape.tsv	19. Tulang
136	blood	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	mei	nan	- - m ei - -	('blood', 'lama1277-adona', 'mei')	datasets/keraf/Ile_Ape.tsv	26. Darah
138	heart	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	puho	nan	- p u h o - - - - -	"('heart', 'buna1278-malia', ""'huɑn"")"	datasets/keraf/Ile_Ape.tsv	22. Jantung
139	liver	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ate	nan	- - - - - - - - a t e -	"('liver', 'alor1247-baran', ""'hati"")"	datasets/keraf/Ile_Ape.tsv	21. Hati
144	stomach; belly	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	taik	nan	- t a - i k - -	('stomach', 'keda1252', 'tein')	datasets/keraf/Ile_Ape.tsv	18. Perut
145	head	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	kotɤ	nan	- - - k o t ɤ - - - -	"('head', 'alor1247-baran', ""'kɔtɔŋ"")"	datasets/keraf/Ile_Ape.tsv	27. Kepala
146	hair	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	rata	nan	r a t a - - - - -	"('hair', 'alor1247-baran', ""'rata"")"	datasets/keraf/Ile_Ape.tsv	29. Rambut
148	eye	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	matak	nan	- - m a t a k - -	"('eye', 'alor1247-baran', ""'mataŋ"")"	datasets/keraf/Ile_Ape.tsv	47. Mata
149	ear	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	tiluk	nan	- t i l u k - - - -	"('ear', 'alor1247-baran', ""'til:uŋ"")"	datasets/keraf/Ile_Ape.tsv	45. Telinga
150	nose	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	iruŋ	nan	- i r u ŋ - -	"('nose', 'alor1247-baran', ""'ir:uŋ"")"	datasets/keraf/Ile_Ape.tsv	30. Hidung
151	mouth	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	wəwak	nan	w ə w a k - -	('mouth', 'atim1239', 'tawa')	datasets/keraf/Ile_Ape.tsv	33. Mulut
155	tongue	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ewel	nan	- e w e l - -	"('tongue', 'alor1247-baran', ""'fɛfɛl"")"	datasets/keraf/Ile_Ape.tsv	35. Lidah
156	neck	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	wuli	nan	w u l i - -	"('neck', 'alor1247-besar', ""'fuliŋ"")"	datasets/keraf/Ile_Ape.tsv	28. Leher
164	hand	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	limak	nan	- - - - - l i m a - - k - - - - - -	('arm', 'keda1252-leuba', 'liŋ')	datasets/keraf/Ile_Ape.tsv	1. Tangan
175	foot	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	leik	nan	l e i k - - - - - - - - - - -	"('foot', 'alor1247-baran', ""'leiŋ ka'lumak"")"	datasets/keraf/Ile_Ape.tsv	4. Kaki
179	back	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	uhuk	nan	u h u k - -	('back', 'keda1252-leuwa', 'u̘hur')	datasets/keraf/Ile_Ape.tsv	17. Punggung
182	skin	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	kamak	nan	k a m a k - - -	"('skin', 'alor1247-baran', ""'kamaŋ"")"	datasets/keraf/Ile_Ape.tsv	16. Kulit
190	person	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	atadikən	nan	a t a d i k ə n -	('person', 'lama1277-baipi', 'atadikə')	datasets/keraf/Ile_Ape.tsv	53. Orang
191	name	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	naran	nan	- n a r a n - -	"('name', 'alor1247-baran', ""'naraŋ"")"	datasets/keraf/Ile_Ape.tsv	63. Nama
192	child	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ana	nan	- - - - - - a n a - - - -	('child', 'alor1247-baran', 'ʔanaŋ')	datasets/keraf/Ile_Ape.tsv	56. Anak
193	man	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	amalake	nan	- a m a - - - l a k e -	"('man', 'alor1247-baran', ""ka'lake"")"	datasets/keraf/Ile_Ape.tsv	54. Laki-laki
194	woman	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	inawae	nan	- i n a - w ae	('woman', 'lama1277-bama', 'inawae')	datasets/keraf/Ile_Ape.tsv	55. Wanita
195	husband	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	hān	nan	- - - h - - ā n - - - - - -	('husband', 'lama1277-belan', 'ha')	datasets/keraf/Ile_Ape.tsv	57. Suami
196	wife	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	hān	nan	- - h - - - - - ā n - -	('husband', 'lama1277-belan', 'ha')	datasets/keraf/Ile_Ape.tsv	58. Isteri
197	mother	lama1277-ileap	Lamaholot-Ile Ape	Austronesian	8Lembata	ina	nan	- - i n a - -	('mother', 'keda1252', 'ine')	datasets/keraf/Ile_Ape.tsv	59. Ibu
