Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kələm	nan	nan	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	nan	133. Langit 
1	sun	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	ləjaf	nan	nan	"('sun', 'alor1247-baran', ""la'ra"")"	nan	134. Matahari 
3	star	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	tonar	nan	nan	('star', 'lama1277-imulo', 'tonar')	nan	135. Bintang 
4	night	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	buk	nan	nan	"('night', 'keda1252', ""u'bɛn"")"	nan	171. Malam 
5	day	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	ləjo	nan	nan	"('day', 'alor1247-baran', ""la'ra:"")"	nan	173. Hari 
6	year	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	tunən	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan	172. Tahun 
13	cloud	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kofar	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14	wind	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	aŋi	nan	nan	"('wind', 'alor1247-baran', ""'aŋi"")"	nan	140. Angin 
15	rain	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	ujan	nan	nan	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan	138. Hujan 
22	river; stream	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	fai	nan	nan	('river; stream', 'lama1277-baipi', 'wai_ba')	nan	130. Sungai 
25	lake	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	lifor	nan	nan	"('lake', 'lama1277-adona', ""'liwo"")"	nan	129. Danau 
26	mountain	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	iler	nan	nan	('mountain', 'alor1249-sar-n', 'yihil')	nan	131. Gunung 
30	Earth	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	ənay	nan	nan	('Earth', 'lama1277-imulo', 'ənay')	nan	119. Tanah 
32	stone	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	fator	nan	nan	('stone', 'abui1241-fuime', 'vi')	nan	120. Batu 
35	water (fresh)	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	faer	nan	nan	"('water (fresh)', 'alor1247-besar', ""'fei"")"	nan	122. Air 
36	sea; sea water	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	lefar	nan	nan	('sea; sea water', 'lama1277-baipi', 'tahik')	nan	127. Laut 
39	forest	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	ekamaŋan	nan	nan	('forest', 'lama1277-belan', 'eka_maŋan')	nan	132. Hutan
45	road; path; way	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	lala	nan	nan	('road; path; way', 'lama1277-belan', 'lara')	nan	7. Jalan
51	rope	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	fədək	nan	nan	('rope', 'lama1277-baipi', 'tale')	nan	65. Tali
65	clothing	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	alolo	nan	nan	('clothing', 'kafo1240', 'ʔɑlɑl')	nan	68. Pakaian 
67	fire	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	aper	nan	nan	"('fire', 'alor1247-baran', ""a'pe:"")"	nan	148. Api 
68	smoke	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	sənəgurən	nan	nan	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	nan	150. Asap 
70	dust; fine earth	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	əmut	nan	nan	('dust; fine earth', 'lama1277-adona', 'ʔɜˈmut')	nan	15. Debu
70	dust; fine earth	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kafok	nan	nan	('ash', 'lama1277-kalik', 'kaˈvɔk')	nan	151. Abu 
75	sand	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	fərar	nan	nan	"('sand', 'keda1252', ""'ʔerah"")"	nan	121. Pasir 
76	grass; brush	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kərəkasa	nan	nan	('grass; brush', 'lama1277-adona', 'kəˈdəku')	nan	118. Rumput 
84	tree	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kajor	nan	nan	('to breathe', 'lama1277-wuake', 'gidã_nãi')	nan	110. Pohon 
87	leaf	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	lolo	nan	nan	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	nan	112. Daun 
91	root	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	ramut	nan	nan	('root', 'lama1277-baipi', 'amut')	nan	114. Akar 
92	fruit	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	fuak	nan	nan	"('fruit', 'alor1247-pandai', ""'punak"")"	nan	117. Buah 
93	seed	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kuluk	nan	nan	"('seed', 'alor1247-baran', ""'kuluŋ"")"	nan	115. Biji 
95	flower	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	puŋan	nan	nan	"('flower', 'alor1247-besar', ""'puhuŋ"")"	nan	116. Bunga 
129	salt	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	irar	nan	nan	('salt', 'lama1277-baipi', 'siʔa')	nan	128. Garam 
130	fat	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	fojakən	nan	nan	"('fat', 'alor1247-besar', ""fo'rakaŋ"")"	nan	104. Lemak 
131	flesh; meat	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	elam	nan	nan	('flesh; meat', 'lama1277-imulo', 'elam')	nan	103. Daging 
132	bone	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	riukəs	nan	nan	('bone', 'abui1241-takal', 'te̞̞i.pä')	nan	19. Tulang
136	blood	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	səmeisa	nan	nan	('blood', 'lama1277-adona', 'mei')	nan	26. Darah
138	heart	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	puosa	nan	nan	('heart', 'amar1273-kotos', 'bua-f')	nan	22. Jantung
139	liver	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	orasa	nan	nan	('liver', 'lama1277-imulo', 'orasa')	nan	21. Hati
144	stomach; belly	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	tukasa	nan	nan	('stomach; belly', 'lama1277-baipi', 'ale')	nan	18. Perut
145	head	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	ulusa	nan	nan	('head', 'lama1277-imulo', 'ulusa')	nan	27. Kepala
146	hair	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	latarəs	nan	nan	"('hair', 'alor1247-baran', ""'rata"")"	nan	29. Rambut
148	eye	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kulukəs	nan	nan	('eye', 'lama1277-imulo', 'kulukəs')	nan	47. Mata
149	ear	lama1277-imulo	Lamaholot-Imulolo	Austronesian	8Lembata	kiŋasa	nan	nan	('ear', 'lama1277-imulo', 'kiŋasa')	nan	45. Telinga
