Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
	hand	kali1300	Kalikasa			limaga	nan				1. Tangan
	left	kali1300	Kalikasa			seke	nan				2. Kiri
	right	kali1300	Kalikasa			wana	nan				3. Kanan
	foot	kali1300	Kalikasa			liga	nan				4. Kaki
	footprint	kali1300	Kalikasa			l. əpak	nan				5. Kaki
	walk	kali1300	Kalikasa			pana	nan				6. Berjalan
	road	kali1300	Kalikasa			lalan	nan				7. Jalan
	come	kali1300	Kalikasa			oli	nan				8. Datang
	return	kali1300	Kalikasa			tue	nan				9. Balik
	swim	kali1300	Kalikasa			naŋe	nan				10. Berenang
	wash	kali1300	Kalikasa			basa	nan				11. Mencuci
	wipe	kali1300	Kalikasa			soka	nan				12. Hapus
	rub	kali1300	Kalikasa			doru	nan				13. Gosok
	dirty	kali1300	Kalikasa			milan	nan				14. Kotor
	dust	kali1300	Kalikasa			əmut	nan				15. Debu
	skin	kali1300	Kalikasa			kudan	nan				16. Kulit
	back	kali1300	Kalikasa			kənarun	nan				17. Punggung
	belly	kali1300	Kalikasa			tai	nan				18. Perut
	bone	kali1300	Kalikasa			riuk	nan				19. Tulang
	stomach	kali1300	Kalikasa			tai kəbotin	nan				20. Isi perut
	liver	kali1300	Kalikasa			oren	nan				21. Hati
	heart	kali1300	Kalikasa			puo	nan				22. Jantung
	know	kali1300	Kalikasa			ketən	nan				23. Tahu
	think	kali1300	Kalikasa			petən	nan				24. Pikir
	scared	kali1300	Kalikasa			takut	nan				25. Takut
	blood	kali1300	Kalikasa			səmei	nan				26. Darah
	head	kali1300	Kalikasa			ulun	nan				27. Kepala
	neck	kali1300	Kalikasa			wulen	nan				28. Leher
	hair	kali1300	Kalikasa			latar	nan				29. Rambut
	nose	kali1300	Kalikasa			nijuga	nan				30. Hidung
	breathe	kali1300	Kalikasa			esa nain	nan				31. Bernapas
	smell	kali1300	Kalikasa			sodam	nan				32. Membaui
	mouth	kali1300	Kalikasa			nusən	nan				33. Mulut
	tooth	kali1300	Kalikasa			pai	nan				34. Gigi
	tongue	kali1300	Kalikasa			ewel	nan				35. Lidah
	laugh	kali1300	Kalikasa			gekaj	nan				36. Tertawa
	cry	kali1300	Kalikasa			əraw	nan				37. Menangis
	vomit	kali1300	Kalikasa			luaŋ	nan				38. Muntah
	spit	kali1300	Kalikasa			təmiju	nan				39. Meludah
	eat	kali1300	Kalikasa			ka	ka, ga: different inflections				40. Makan
	cook	kali1300	Kalikasa			loluŋ	nan				41. Masak
	drink	kali1300	Kalikasa			menu	nan				42. Minum
	bite	kali1300	Kalikasa			giki	nan				43. Gigit
	suck	kali1300	Kalikasa			tusu	nan				44. Menetek
	ear	kali1300	Kalikasa			kiŋan	nan				45. Telinga
	listen	kali1300	Kalikasa			daŋar	nan				46. Dengar
	eye	kali1300	Kalikasa			matan	nan				47. Mata
	see	kali1300	Kalikasa			du	nan				48. Melihat
	sleep	kali1300	Kalikasa			gəle	nan				49. Tidur
	lie down	kali1300	Kalikasa			pawan	nan				50. Rebah
	sit	kali1300	Kalikasa			tobe	nan				51. Duduk
	stand	kali1300	Kalikasa			diri	nan				52. Berdiri
	person	kali1300	Kalikasa			atadikən	nan				53. Orang
	man	kali1300	Kalikasa			lamen	nan				54. Laki-laki
	woman	kali1300	Kalikasa			binen	nan				55. Wanita
	child	kali1300	Kalikasa			kopoŋ	nan				56. Anak
	husband	kali1300	Kalikasa			awan	nan				57. Suami
	wife	kali1300	Kalikasa			awan	nan				58. Isteri
	mother	kali1300	Kalikasa			ina	nan				59. Ibu
	father	kali1300	Kalikasa			ama	nan				60. Bapak
	older sibling	kali1300	Kalikasa			kaka	nan				61. Kakak
	younger sibling	kali1300	Kalikasa			waji	nan				62. Adik
	name	kali1300	Kalikasa			najan	nan				63. Nama
	say	kali1300	Kalikasa			tədək	nan				64. Bilang
	rope	kali1300	Kalikasa			tale	nan				65. Tali
	tie	kali1300	Kalikasa			soŋ	nan				66. Mengikat 
	sew	kali1300	Kalikasa			saur	nan				67. Menjahit 
	clothing	kali1300	Kalikasa			alelolo	nan				68. Pakaian 
	hunt	kali1300	Kalikasa			batin	nan				69. Berburu
	shoot	kali1300	Kalikasa			pasak	nan				70. Menembak 
	stab	kali1300	Kalikasa			tubak	nan				71. Menikam 
	fist	kali1300	Kalikasa			sadok	nan				72. Bertinju 
	fight	kali1300	Kalikasa			puno	nan				73. berkelahi 
	kill	kali1300	Kalikasa			belu	nan				74. Membunuh 
	dead	kali1300	Kalikasa			mataj	nan				75. Mati 
	alive	kali1300	Kalikasa			mojip	nan				76. Hidup 
	scratch	kali1300	Kalikasa			kəragu	nan				77. Menggaruk 
	cut	kali1300	Kalikasa			belu	nan				78. Memotong
	stem	kali1300	Kalikasa			puk	nan				79. Batang 
	split	kali1300	Kalikasa			ləga	nan				80. Membelah 
	sharp	kali1300	Kalikasa			rəkət	nan				81. Tajam 
	blunt 	kali1300	Kalikasa			kəmoson	nan				82. Tumpul 
	work	kali1300	Kalikasa			kərja	nan				83. Bekerja 
	play	kali1300	Kalikasa			gəlasa	nan				84. Bermain 
	sing	kali1300	Kalikasa			kantar	nan				85. Menyanyi
	dance	kali1300	Kalikasa			soka	nan				86. Menari 
	swollen	kali1300	Kalikasa			sənobaj	nan				87. Bengkak
	squeeze	kali1300	Kalikasa			piuk	nan				88. Memeras 
	hold	kali1300	Kalikasa			sogan	nan				89. Memegang
	dig	kali1300	Kalikasa			galiŋ	nan				90. Menggali 
	give	kali1300	Kalikasa			be	nan				91. Memberi 
	pull	kali1300	Kalikasa			tugu	nan				92. Menarik
	push	kali1300	Kalikasa			uduk	nan				93. Mendorong 
	throw	kali1300	Kalikasa			batu	nan				94. Melempar 
	fall	kali1300	Kalikasa			gokal	nan				95. Jatuh 
	dog	kali1300	Kalikasa			au	nan				96. Anjing 
	bird	kali1300	Kalikasa			kəlieŋ	nan				97. Burung 
	egg	kali1300	Kalikasa			təluk	nan				98. Telur 
	feather	kali1300	Kalikasa			rawuk	nan				99. Bulu 
	wing	kali1300	Kalikasa			kəpik	nan				100. Sayap 
	fly	kali1300	Kalikasa			bəka	nan				101. Terbang 
	animal	kali1300	Kalikasa			əwaŋ	nan				102. Binatang 
	meat	kali1300	Kalikasa			elam	nan				103. Daging 
	fat	kali1300	Kalikasa			wojak	nan				104. Lemak 
	tale	kali1300	Kalikasa			ikur	nan				105. Ekor 
	snake	kali1300	Kalikasa			ula	nan				106. Ular 
	worm	kali1300	Kalikasa			ekoj	nan				107. Cacing 
	louse	kali1300	Kalikasa			kutu	nan				108. Kutu 
	fish	kali1300	Kalikasa			ika	nan				109. Ikan 
	tree	kali1300	Kalikasa			kaju	nan				110. Pohon 
	rotten	kali1300	Kalikasa			wauk	nan				111. Busuk 
	leaf	kali1300	Kalikasa			lolon	nan				112. Daun 
	bark	kali1300	Kalikasa			kajukamak	nan				113. Kulit kayu
	root	kali1300	Kalikasa			ramut	nan				114. Akar 
	seed	kali1300	Kalikasa			kuluk	nan				115. Biji 
	flower	kali1300	Kalikasa			puŋan	nan				116. Bunga 
	fruit	kali1300	Kalikasa			wuak	nan				117. Buah 
	grass	kali1300	Kalikasa			kərəkak	nan				118. Rumput 
	earth	kali1300	Kalikasa			ənaj	nan				119. Tanah 
	stone	kali1300	Kalikasa			watu	nan				120. Batu 
	sand	kali1300	Kalikasa			botan	nan				121. Pasir 
	water	kali1300	Kalikasa			waer	nan				122. Air 
	freeze	kali1300	Kalikasa			—	nan				123. Membeku 
	ice	kali1300	Kalikasa			—	nan				124. Es 
	flow	kali1300	Kalikasa			baŋak	nan				125. Mengalir 
	float	kali1300	Kalikasa			teda	nan				126. Terapung 
	sea	kali1300	Kalikasa			lojor	nan				127. Laut 
	salt	kali1300	Kalikasa			irar	nan				128. Garam 
	lake	kali1300	Kalikasa			liwu	nan				129. Danau 
	river	kali1300	Kalikasa			waer	nan				130. Sungai 
	mountain	kali1300	Kalikasa			ile	nan				131. Gunung 
	forest	kali1300	Kalikasa			maŋak	nan				132. Hutan
	sky	kali1300	Kalikasa			kələm	nan				133. Langit 
	sun	kali1300	Kalikasa			luwak	nan				134. Matahari 
	star	kali1300	Kalikasa			tona	nan				135. Bintang 
	cloud	kali1300	Kalikasa			kowa	nan				136. Awan 
	dew	kali1300	Kalikasa			apun	nan				137. Embun 
	rain	kali1300	Kalikasa			ujan	nan				138. Hujan 
	snow	kali1300	Kalikasa			—	nan				139. Salju 
	wind	kali1300	Kalikasa			aŋin	nan				140. Angin 
	blow	kali1300	Kalikasa			diji	nan				141. Bertiup 
	hot	kali1300	Kalikasa			katiŋ	nan				142. Panas 
	cold	kali1300	Kalikasa			bələtəs	nan				143. Dingin 
	dry	kali1300	Kalikasa			majak	nan				144. Kering 
	wet	kali1300	Kalikasa			sənəbar	nan				145. Basah 
	flat, smooth	kali1300	Kalikasa			lerek	nan				146. Rata 
	heavy	kali1300	Kalikasa			bərat	nan				147. Berat 
	fire	kali1300	Kalikasa			ape	nan				148. Api 
	burn	kali1300	Kalikasa			papi	nan				149. Membakar 
	smoke	kali1300	Kalikasa			sənəgur	nan				150. Asap 
	dust	kali1300	Kalikasa			kawok	nan				151. Abu 
	black 	kali1300	Kalikasa			mitəm	nan				152. Hitam 
	white	kali1300	Kalikasa			bujak	nan				153. Putih 
	red	kali1300	Kalikasa			meran	nan				154. Merah 
	yellow	kali1300	Kalikasa			kumas	nan				155. Kuning 
	green	kali1300	Kalikasa			pətaŋəs	nan				156. Hijau 
	small	kali1300	Kalikasa			anak	nan				157. Kecil 
	big	kali1300	Kalikasa			kedak	nan				158. Besar 
	short	kali1300	Kalikasa			məgok	nan				159. Pendek 
	long	kali1300	Kalikasa			doak	nan				160. Panjang 
	thin	kali1300	Kalikasa			mipiw	nan				161. Tipis 
	thick	kali1300	Kalikasa			pərəwak	nan				162. Tebal 
	narrow	kali1300	Kalikasa			kənipot	nan				163. Sempit 
	wide	kali1300	Kalikasa			kedak	nan				164. Luas 
	straight	kali1300	Kalikasa			mulur	nan				165. Lurus 
	old	kali1300	Kalikasa			magun	nan				166. Tua 
	new	kali1300	Kalikasa			wərun	nan				167. Baru 
	good	kali1300	Kalikasa			alus	nan				168. Baik 
	bad	kali1300	Kalikasa			kədatək	nan				169. Jelek
	right, correct	kali1300	Kalikasa			nər moi	nan				170. Betul 
	night	kali1300	Kalikasa			bukən	nan				171. Malam 
	year	kali1300	Kalikasa			tunən	nan				172. Tahun 
	day	kali1300	Kalikasa			ləjon	nan				173. Hari 
	when	kali1300	Kalikasa			jəm pira	nan				174. Bilamana 
	in 	kali1300	Kalikasa			je	nan				175. Di 
	inside	kali1300	Kalikasa			gomək	nan				176. Dalam 
	here	kali1300	Kalikasa			rene	nan				177. Di sini 
	there	kali1300	Kalikasa			bete	nan				178. Di situ 
	this	kali1300	Kalikasa			rene	nan				179. Ini 
	that	kali1300	Kalikasa			bete	nan				180. Itu 
	near	kali1300	Kalikasa			daek	nan				181. Dekat 
	far	kali1300	Kalikasa			doak	nan				182. Jauh 
