Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0.0	sky	keda1252	Kedang	Austronesian	8Lembata	eleŋ	nan	nan	nan	nan	133. Langit 
1.0	sun	keda1252	Kedang	Austronesian	8Lembata	loyo	nan	nan	nan	nan	134. Matahari 
3.0	star	keda1252	Kedang	Austronesian	8Lembata	male	nan	nan	nan	nan	135. Bintang 
4.0	night	keda1252	Kedang	Austronesian	8Lembata	uben	nan	nan	nan	nan	171. Malam 
5.0	day	keda1252	Kedang	Austronesian	8Lembata	loyo	nan	nan	nan	nan	173. Hari 
6.0	year	keda1252	Kedang	Austronesian	8Lembata	tun	nan	nan	nan	nan	172. Tahun 
13.0	cloud	keda1252	Kedang	Austronesian	8Lembata	owa	nan	nan	nan	nan	136. Awan 
14.0	wind	keda1252	Kedang	Austronesian	8Lembata	aŋin	nan	nan	nan	nan	140. Angin 
15.0	rain	keda1252	Kedang	Austronesian	8Lembata	uya	nan	nan	nan	nan	138. Hujan 
23.0	ice	keda1252	Kedang	Austronesian	8Lembata	—	nan	nan	nan	nan	124. Es 
24.0	snow	keda1252	Kedang	Austronesian	8Lembata	—	nan	nan	nan	nan	139. Salju 
25.0	lake	keda1252	Kedang	Austronesian	8Lembata	o̤pa	nan	nan	nan	nan	129. Danau 
26.0	mountain	keda1252	Kedang	Austronesian	8Lembata	ili	nan	nan	nan	nan	131. Gunung 
32.0	stone	keda1252	Kedang	Austronesian	8Lembata	waʔ	nan	nan	nan	nan	120. Batu 
39.0	forest	keda1252	Kedang	Austronesian	8Lembata	tuen	nan	nan	nan	nan	132. Hutan
51.0	rope	keda1252	Kedang	Austronesian	8Lembata	wade	nan	nan	nan	nan	65. Tali
65.0	clothing	keda1252	Kedang	Austronesian	8Lembata	ulialen	nan	nan	nan	nan	68. Pakaian 
67.0	fire	keda1252	Kedang	Austronesian	8Lembata	api	nan	nan	nan	nan	148. Api 
68.0	smoke	keda1252	Kedang	Austronesian	8Lembata	rubun	nan	nan	nan	nan	150. Asap 
75.0	sand	keda1252	Kedang	Austronesian	8Lembata	e̤ne	nan	nan	nan	nan	121. Pasir 
84.0	tree	keda1252	Kedang	Austronesian	8Lembata	ayiwa	nan	nan	nan	nan	110. Pohon 
87.0	leaf	keda1252	Kedang	Austronesian	8Lembata	lolon	nan	nan	nan	nan	112. Daun 
91.0	root	keda1252	Kedang	Austronesian	8Lembata	ramuʔ	nan	nan	nan	nan	114. Akar 
92.0	fruit	keda1252	Kedang	Austronesian	8Lembata	wuan	nan	nan	nan	nan	117. Buah 
93.0	seed	keda1252	Kedang	Austronesian	8Lembata	ulu?	nan	nan	nan	nan	115. Biji 
95.0	flower	keda1252	Kedang	Austronesian	8Lembata	puhun	nan	nan	nan	nan	116. Bunga 
129.0	salt	keda1252	Kedang	Austronesian	8Lembata	teʔu	nan	nan	nan	nan	128. Garam 
130.0	fat	keda1252	Kedang	Austronesian	8Lembata	woyaʔ	nan	nan	nan	nan	104. Lemak 
132.0	bone	keda1252	Kedang	Austronesian	8Lembata	lurin	nan	nan	nan	nan	19. Tulang
136.0	blood	keda1252	Kedang	Austronesian	8Lembata	wei	nan	nan	nan	nan	26. Darah
138.0	heart	keda1252	Kedang	Austronesian	8Lembata	taeŋ	nan	nan	nan	nan	22. Jantung
139.0	liver	keda1252	Kedang	Austronesian	8Lembata	taʔmuti	nan	nan	nan	nan	21. Hati
145.0	head	keda1252	Kedang	Austronesian	8Lembata	tubar	nan	nan	nan	nan	27. Kepala
146.0	hair	keda1252	Kedang	Austronesian	8Lembata	uha	nan	nan	nan	nan	29. Rambut
148.0	eye	keda1252	Kedang	Austronesian	8Lembata	mato	nan	nan	nan	nan	47. Mata
149.0	ear	keda1252	Kedang	Austronesian	8Lembata	til	nan	nan	nan	nan	45. Telinga
150.0	nose	keda1252	Kedang	Austronesian	8Lembata	niŋ	nan	nan	nan	nan	30. Hidung
151.0	mouth	keda1252	Kedang	Austronesian	8Lembata	nunu	nan	nan	nan	nan	33. Mulut
155.0	tongue	keda1252	Kedang	Austronesian	8Lembata	ebel	nan	nan	nan	nan	35. Lidah
156.0	neck	keda1252	Kedang	Austronesian	8Lembata	aduŋ	nan	nan	nan	nan	28. Leher
164.0	hand	keda1252	Kedang	Austronesian	8Lembata	liŋ	nan	nan	nan	nan	1. Tangan
175.0	foot	keda1252	Kedang	Austronesian	8Lembata	lei	nan	nan	nan	nan	4. Kaki
179.0	back	keda1252	Kedang	Austronesian	8Lembata	obi	nan	nan	nan	nan	17. Punggung
182.0	skin	keda1252	Kedang	Austronesian	8Lembata	ama	nan	nan	nan	nan	16. Kulit
190.0	person	keda1252	Kedang	Austronesian	8Lembata	atadiʔen	nan	nan	nan	nan	53. Orang
191.0	name	keda1252	Kedang	Austronesian	8Lembata	naya	nan	nan	nan	nan	63. Nama
192.0	child	keda1252	Kedang	Austronesian	8Lembata	anaʔ	nan	nan	nan	nan	56. Anak
193.0	man	keda1252	Kedang	Austronesian	8Lembata	ebe ʔabe	nan	nan	nan	nan	54. Laki-laki
194.0	woman	keda1252	Kedang	Austronesian	8Lembata	are rian	nan	nan	nan	nan	55. Wanita
195.0	husband	keda1252	Kedang	Austronesian	8Lembata	ate rian	nan	nan	nan	nan	57. Suami
196.0	wife	keda1252	Kedang	Austronesian	8Lembata	weʔ rian	nan	nan	nan	nan	58. Isteri
197.0	mother	keda1252	Kedang	Austronesian	8Lembata	ine	nan	nan	nan	nan	59. Ibu
198.0	father	keda1252	Kedang	Austronesian	8Lembata	ame	nan	nan	nan	nan	60. Bapak
199.0	older sibling	keda1252	Kedang	Austronesian	8Lembata	ʔaʔe	nan	nan	nan	nan	61. Kakak
200.0	younger sibling	keda1252	Kedang	Austronesian	8Lembata	ariʔ	nan	nan	nan	nan	62. Adik
203.0	1sg	keda1252	Kedang	Austronesian	8Lembata	eʔi	nan	nan	nan	nan	184. Saya 
206.0	3sg	keda1252	Kedang	Austronesian	8Lembata	nuo	nan	nan	nan	nan	186. Dia 
210.0	3pl	keda1252	Kedang	Austronesian	8Lembata	suo	nan	nan	nan	nan	189. Mereka 
212.0	and	keda1252	Kedang	Austronesian	8Lembata	nore	nan	nan	nan	nan	197. Dan 
213.0	because	keda1252	Kedang	Austronesian	8Lembata	eleʔ	nan	nan	nan	nan	199. Sebab 
214.0	if	keda1252	Kedang	Austronesian	8Lembata	ere	nan	nan	nan	nan	200. Jikalau 
215.0	with	keda1252	Kedang	Austronesian	8Lembata	nore	nan	nan	nan	nan	198. Dengan
223.0	this	keda1252	Kedang	Austronesian	8Lembata	noʔo	nan	nan	nan	nan	179. Ini 
224.0	that	keda1252	Kedang	Austronesian	8Lembata	nobeʔ	nan	nan	nan	nan	180. Itu 
227.0	here	keda1252	Kedang	Austronesian	8Lembata	dinoʔo	nan	nan	nan	nan	177. Di sini 
