Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Kiwangona	Austronesian	8Lembata	kəlɤ	nan	nan	nan	nan	133. Langit 
1	sun		Kiwangona	Austronesian	8Lembata	rəra	nan	nan	nan	nan	134. Matahari 
3	star		Kiwangona	Austronesian	8Lembata	e-təp	nan	nan	nan	nan	135. Bintang 
4	night		Kiwangona	Austronesian	8Lembata	rəmãʔ	nan	nan	nan	nan	171. Malam 
5	day		Kiwangona	Austronesian	8Lembata	rərõ	nan	nan	nan	nan	173. Hari 
6	year		Kiwangona	Austronesian	8Lembata	tũn	nan	nan	nan	nan	172. Tahun 
13	cloud		Kiwangona	Austronesian	8Lembata	kowa	nan	nan	nan	nan	136. Awan 
14	wind		Kiwangona	Austronesian	8Lembata	aŋi	nan	nan	nan	nan	140. Angin 
15	rain		Kiwangona	Austronesian	8Lembata	urut	nan	nan	nan	nan	138. Hujan 
23	ice		Kiwangona	Austronesian	8Lembata	—	nan	nan	nan	nan	124. Es 
24	snow		Kiwangona	Austronesian	8Lembata	—	nan	nan	nan	nan	139. Salju 
25	lake		Kiwangona	Austronesian	8Lembata	liwo	nan	nan	nan	nan	129. Danau 
26	mountain		Kiwangona	Austronesian	8Lembata	ile	nan	nan	nan	nan	131. Gunung 
32	stone		Kiwangona	Austronesian	8Lembata	wato	nan	nan	nan	nan	120. Batu 
39	forest		Kiwangona	Austronesian	8Lembata	dua	nan	nan	nan	nan	132. Hutan
51	rope		Kiwangona	Austronesian	8Lembata	taleʔ	nan	nan	nan	nan	65. Tali
65	clothing		Kiwangona	Austronesian	8Lembata	alelolo	nan	nan	nan	nan	68. Pakaian 
67	fire		Kiwangona	Austronesian	8Lembata	ape	nan	nan	nan	nan	148. Api 
68	smoke		Kiwangona	Austronesian	8Lembata	nuhũ	nan	nan	nan	nan	150. Asap 
75	sand		Kiwangona	Austronesian	8Lembata	wəra	nan	nan	nan	nan	121. Pasir 
84	tree		Kiwangona	Austronesian	8Lembata	kayo	nan	nan	nan	nan	110. Pohon 
87	leaf		Kiwangona	Austronesian	8Lembata	lolo	nan	nan	nan	nan	112. Daun 
91	root		Kiwangona	Austronesian	8Lembata	amut	nan	nan	nan	nan	114. Akar 
92	fruit		Kiwangona	Austronesian	8Lembata	wuã	nan	nan	nan	nan	117. Buah 
93	seed		Kiwangona	Austronesian	8Lembata	kulʔũ	nan	nan	nan	nan	115. Biji 
