Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Lamahora	Austronesian	8Lembata	kələm	nan	nan	nan	nan	133. Langit 
1	sun		Lamahora	Austronesian	8Lembata	ləra	nan	nan	nan	nan	134. Matahari 
3	star		Lamahora	Austronesian	8Lembata	tona	nan	nan	nan	nan	135. Bintang 
4	night		Lamahora	Austronesian	8Lembata	rəma	nan	nan	nan	nan	171. Malam 
5	day		Lamahora	Austronesian	8Lembata	lərõ	nan	nan	nan	nan	173. Hari 
6	year		Lamahora	Austronesian	8Lembata	tunə	nan	nan	nan	nan	172. Tahun 
13	cloud		Lamahora	Austronesian	8Lembata	kowa	nan	nan	nan	nan	136. Awan 
14	wind		Lamahora	Austronesian	8Lembata	aŋi	nan	nan	nan	nan	140. Angin 
15	rain		Lamahora	Austronesian	8Lembata	urã	nan	nan	nan	nan	138. Hujan 
23	ice		Lamahora	Austronesian	8Lembata	—	nan	nan	nan	nan	124. Es 
24	snow		Lamahora	Austronesian	8Lembata	—	nan	nan	nan	nan	139. Salju 
25	lake		Lamahora	Austronesian	8Lembata	liwo	nan	nan	nan	nan	129. Danau 
26	mountain		Lamahora	Austronesian	8Lembata	ile	nan	nan	nan	nan	131. Gunung 
32	stone		Lamahora	Austronesian	8Lembata	wato	nan	nan	nan	nan	120. Batu 
39	forest		Lamahora	Austronesian	8Lembata	bənewa	nan	nan	nan	nan	132. Hutan
51	rope		Lamahora	Austronesian	8Lembata	tale	nan	nan	nan	nan	65. Tali
65	clothing		Lamahora	Austronesian	8Lembata	alelolo	nan	nan	nan	nan	68. Pakaian 
67	fire		Lamahora	Austronesian	8Lembata	ape	nan	nan	nan	nan	148. Api 
68	smoke		Lamahora	Austronesian	8Lembata	nuhu	nan	nan	nan	nan	150. Asap 
75	sand		Lamahora	Austronesian	8Lembata	wəra	nan	nan	nan	nan	121. Pasir 
84	tree		Lamahora	Austronesian	8Lembata	kayo	nan	nan	nan	nan	110. Pohon 
