Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Lamakera	Austronesian	8Lembata	kəlaŋ	nan	nan	nan	nan	133. Langit 
1	sun		Lamakera	Austronesian	8Lembata	rəra	nan	nan	nan	nan	134. Matahari 
3	star		Lamakera	Austronesian	8Lembata	e təp	should there be a space?	nan	nan	nan	135. Bintang 
4	night		Lamakera	Austronesian	8Lembata	rəmã	nan	nan	nan	nan	171. Malam 
5	day		Lamakera	Austronesian	8Lembata	rərõ	nan	nan	nan	nan	173. Hari 
6	year		Lamakera	Austronesian	8Lembata	tuŋ	nan	nan	nan	nan	172. Tahun 
13	cloud		Lamakera	Austronesian	8Lembata	kowa	nan	nan	nan	nan	136. Awan 
14	wind		Lamakera	Austronesian	8Lembata	aŋi	nan	nan	nan	nan	140. Angin 
15	rain		Lamakera	Austronesian	8Lembata	urã	nan	nan	nan	nan	138. Hujan 
23	ice		Lamakera	Austronesian	8Lembata	—	nan	nan	nan	nan	124. Es 
24	snow		Lamakera	Austronesian	8Lembata	—	nan	nan	nan	nan	139. Salju 
25	lake		Lamakera	Austronesian	8Lembata	liwo	nan	nan	nan	nan	129. Danau 
26	mountain		Lamakera	Austronesian	8Lembata	ile	nan	nan	nan	nan	131. Gunung 
32	stone		Lamakera	Austronesian	8Lembata	wato	nan	nan	nan	nan	120. Batu 
39	forest		Lamakera	Austronesian	8Lembata	utan	nan	nan	nan	nan	132. Hutan
51	rope		Lamakera	Austronesian	8Lembata	tale	nan	nan	nan	nan	65. Tali
65	clothing		Lamakera	Austronesian	8Lembata	alelolo	nan	nan	nan	nan	68. Pakaian 
67	fire		Lamakera	Austronesian	8Lembata	ape	nan	nan	nan	nan	148. Api 
68	smoke		Lamakera	Austronesian	8Lembata	nuhuŋ	nan	nan	nan	nan	150. Asap 
75	sand		Lamakera	Austronesian	8Lembata	wəra	nan	nan	nan	nan	121. Pasir 
84	tree		Lamakera	Austronesian	8Lembata	kajo	nan	nan	nan	nan	110. Pohon 
87	leaf		Lamakera	Austronesian	8Lembata	lolõ	nan	nan	nan	nan	112. Daun 
91	root		Lamakera	Austronesian	8Lembata	amutã	nan	nan	nan	nan	114. Akar 
92	fruit		Lamakera	Austronesian	8Lembata	wuã	nan	nan	nan	nan	117. Buah 
93	seed		Lamakera	Austronesian	8Lembata	kulʔũ	nan	nan	nan	nan	115. Biji 
95	flower		Lamakera	Austronesian	8Lembata	puhũ	nan	nan	nan	nan	116. Bunga 
129	salt		Lamakera	Austronesian	8Lembata	siʔa	nan	nan	nan	nan	128. Garam 
