Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0.0	sky	lama1277-lamal	Lamalera	Austronesian	8Lembata	kelã	nan	nan	('sky', 'adon1237', 'ˈkɜlɜ')	nan	133. Langit 
1.0	sun	lama1277-lamal	Lamalera	Austronesian	8Lembata	ləra	nan	nan	('sun', 'adon1237', 'ˈrɜra')	nan	134. Matahari 
3.0	star	lama1277-lamal	Lamalera	Austronesian	8Lembata	tona	nan	nan	('star', 'lama1277-imulo', 'tonar')	nan	135. Bintang 
4.0	night	lama1277-lamal	Lamalera	Austronesian	8Lembata	remã	nan	nan	('night', 'adon1237', 'ˈrɜmaʔ')	nan	171. Malam 
5.0	day	lama1277-lamal	Lamalera	Austronesian	8Lembata	ləro	nan	nan	"('day', 'adon1237', ""rɜ'_rɔ̃"")"	nan	173. Hari 
6.0	year	lama1277-lamal	Lamalera	Austronesian	8Lembata	tuŋ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan	172. Tahun 
13.0	cloud	lama1277-lamal	Lamalera	Austronesian	8Lembata	kofa	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14.0	wind	lama1277-lamal	Lamalera	Austronesian	8Lembata	aŋi	nan	nan	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan	140. Angin 
15.0	rain	lama1277-lamal	Lamalera	Austronesian	8Lembata	urã	nan	nan	('rain', 'adon1237', 'ˈʔurɑŋ')	nan	138. Hujan 
22.0	river; stream	lama1277-lamal	Lamalera	Austronesian	8Lembata	suŋe	nan	nan	('river', 'keda1252', 'wei_kawaŋ')	nan	130. Sungai 
25.0	lake	lama1277-lamal	Lamalera	Austronesian	8Lembata	lifo	nan	nan	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan	129. Danau 
26.0	mountain	lama1277-lamal	Lamalera	Austronesian	8Lembata	ile	nan	nan	"('mountain', 'adon1237', ""'ʔile"")"	nan	131. Gunung 
30.0	Earth	lama1277-lamal	Lamalera	Austronesian	8Lembata	tana	nan	nan	('earth', 'keda1252', 'auʔ')	nan	119. Tanah 
