Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
	hand	lama1279	Lamatuka	nan	nan	lima	nan	nan	nan	nan	1. Tangan
	left	lama1279	Lamatuka	nan	nan	wiri	nan	nan	nan	nan	2. Kiri
	right	lama1279	Lamatuka	nan	nan	wana	nan	nan	nan	nan	3. Kanan
	foot	lama1279	Lamatuka	nan	nan	lei	nan	nan	nan	nan	4. Kaki
	footprint	lama1279	Lamatuka	nan	nan	l. əpaʔãŋ	nan	nan	nan	nan	5. Kaki
	walk	lama1279	Lamatuka	nan	nan	pana	nan	nan	nan	nan	6. Berjalan
	road	lama1279	Lamatuka	nan	nan	larã	nan	nan	nan	nan	7. Jalan
	come	lama1279	Lamatuka	nan	nan	bəso	nan	nan	nan	nan	8. Datang
	return	lama1279	Lamatuka	nan	nan	tue	nan	nan	nan	nan	9. Balik
	swim	lama1279	Lamatuka	nan	nan	naŋi	nan	nan	nan	nan	10. Berenang
	wash	lama1279	Lamatuka	nan	nan	baha	nan	nan	nan	nan	11. Mencuci
	wipe	lama1279	Lamatuka	nan	nan	hapu	nan	nan	nan	nan	12. Hapus
	rub	lama1279	Lamatuka	nan	nan	doru	nan	nan	nan	nan	13. Gosok
	dirty	lama1279	Lamatuka	nan	nan	prita	nan	nan	nan	nan	14. Kotor
	dust	lama1279	Lamatuka	nan	nan	əmu	nan	nan	nan	nan	15. Debu
	skin	lama1279	Lamatuka	nan	nan	ulitã	nan	nan	nan	nan	16. Kulit
	back	lama1279	Lamatuka	nan	nan	punuʔu	nan	nan	nan	nan	17. Punggung
	belly	lama1279	Lamatuka	nan	nan	boti	nan	nan	nan	nan	18. Perut
	bone	lama1279	Lamatuka	nan	nan	riʔũ	nan	nan	nan	nan	19. Tulang
	stomach	lama1279	Lamatuka	nan	nan	lau boti	nan	nan	nan	nan	20. Isi perut
	liver	lama1279	Lamatuka	nan	nan	huʔa	nan	nan	nan	nan	21. Hati
	heart	lama1279	Lamatuka	nan	nan	puho	nan	nan	nan	nan	22. Jantung
	know	lama1279	Lamatuka	nan	nan	ʔoi	ʔoi, moi: different inflections	nan	nan	nan	23. Tahu
	think	lama1279	Lamatuka	nan	nan	huʔə	nan	nan	nan	nan	24. Pikir
	scared	lama1279	Lamatuka	nan	nan	taʔu	nan	nan	nan	nan	25. Takut
	blood	lama1279	Lamatuka	nan	nan	meʔi	nan	nan	nan	nan	26. Darah
	head	lama1279	Lamatuka	nan	nan	əte	nan	nan	nan	nan	27. Kepala
	neck	lama1279	Lamatuka	nan	nan	wuli	nan	nan	nan	nan	28. Leher
	hair	lama1279	Lamatuka	nan	nan	ratã	nan	nan	nan	nan	29. Rambut
	nose	lama1279	Lamatuka	nan	nan	iru	nan	nan	nan	nan	30. Hidung
	breathe	lama1279	Lamatuka	nan	nan	ha nei	nan	nan	nan	nan	31. Bernapas
	smell	lama1279	Lamatuka	nan	nan	are	nan	nan	nan	nan	32. Membaui
	mouth	lama1279	Lamatuka	nan	nan	nuhe	nan	nan	nan	nan	33. Mulut
	tooth	lama1279	Lamatuka	nan	nan	ipe	nan	nan	nan	nan	34. Gigi
	tongue	lama1279	Lamatuka	nan	nan	eblə	nan	nan	nan	nan	35. Lidah
	laugh	lama1279	Lamatuka	nan	nan	geʔa	nan	nan	nan	nan	36. Tertawa
	cry	lama1279	Lamatuka	nan	nan	tani	nan	nan	nan	nan	37. Menangis
	vomit	lama1279	Lamatuka	nan	nan	luã	nan	nan	nan	nan	38. Muntah
	spit	lama1279	Lamatuka	nan	nan	piru	nan	nan	nan	nan	39. Meludah
	eat	lama1279	Lamatuka	nan	nan	a	a, ga: different inflections	nan	nan	nan	40. Makan
	cook	lama1279	Lamatuka	nan	nan	bihu	nan	nan	nan	nan	41. Masak
	drink	lama1279	Lamatuka	nan	nan	enu	enu, menu: different inflections	nan	nan	nan	42. Minum
	bite	lama1279	Lamatuka	nan	nan	giʔi	nan	nan	nan	nan	43. Gigit
	suck	lama1279	Lamatuka	nan	nan	tuhu	nan	nan	nan	nan	44. Menetek
	ear	lama1279	Lamatuka	nan	nan	tilu	nan	nan	nan	nan	45. Telinga
	listen	lama1279	Lamatuka	nan	nan	dəŋe	nan	nan	nan	nan	46. Dengar
	eye	lama1279	Lamatuka	nan	nan	ulʔũ	nan	nan	nan	nan	47. Mata
	see	lama1279	Lamatuka	nan	nan	bəlele	nan	nan	nan	nan	48. Melihat
	sleep	lama1279	Lamatuka	nan	nan	turʔo	nan	nan	nan	nan	49. Tidur
	lie down	lama1279	Lamatuka	nan	nan	ewã	nan	nan	nan	nan	50. Rebah
	sit	lama1279	Lamatuka	nan	nan	tobo	nan	nan	nan	nan	51. Duduk
	stand	lama1279	Lamatuka	nan	nan	diri	nan	nan	nan	nan	52. Berdiri
	person	lama1279	Lamatuka	nan	nan	ədiʔã	nan	nan	nan	nan	53. Orang
	man	lama1279	Lamatuka	nan	nan	reba	nan	nan	nan	nan	54. Laki-laki
	woman	lama1279	Lamatuka	nan	nan	bare	nan	nan	nan	nan	55. Wanita
	child	lama1279	Lamatuka	nan	nan	ana ranã	nan	nan	nan	nan	56. Anak
	husband	lama1279	Lamatuka	nan	nan	hawã	nan	nan	nan	nan	57. Suami
	wife	lama1279	Lamatuka	nan	nan	hawã	nan	nan	nan	nan	58. Isteri
	mother	lama1279	Lamatuka	nan	nan	ina	nan	nan	nan	nan	59. Ibu
	father	lama1279	Lamatuka	nan	nan	ama	nan	nan	nan	nan	60. Bapak
	older sibling	lama1279	Lamatuka	nan	nan	ʔaʔã	nan	nan	nan	nan	61. Kakak
	younger sibling	lama1279	Lamatuka	nan	nan	ari	nan	nan	nan	nan	62. Adik
	name	lama1279	Lamatuka	nan	nan	narã	nan	nan	nan	nan	63. Nama
	say	lama1279	Lamatuka	nan	nan	təde	nan	nan	nan	nan	64. Bilang
	rope	lama1279	Lamatuka	nan	nan	tale	nan	nan	nan	nan	65. Tali
	tie	lama1279	Lamatuka	nan	nan	hoŋe	nan	nan	nan	nan	66. Mengikat 
	sew	lama1279	Lamatuka	nan	nan	heu	nan	nan	nan	nan	67. Menjahit 
	clothing	lama1279	Lamatuka	nan	nan	alalolo	nan	nan	nan	nan	68. Pakaian 
	hunt	lama1279	Lamatuka	nan	nan	welo	nan	nan	nan	nan	69. Berburu
	shoot	lama1279	Lamatuka	nan	nan	pasa	nan	nan	nan	nan	70. Menembak 
	stab	lama1279	Lamatuka	nan	nan	tuba	nan	nan	nan	nan	71. Menikam 
	fist	lama1279	Lamatuka	nan	nan	sado	nan	nan	nan	nan	72. Bertinju 
	fight	lama1279	Lamatuka	nan	nan	gəni('waʔi)	nan	nan	nan	nan	73. berkelahi 
	kill	lama1279	Lamatuka	nan	nan	belu	nan	nan	nan	nan	74. Membunuh 
	dead	lama1279	Lamatuka	nan	nan	mata	nan	nan	nan	nan	75. Mati 
	alive	lama1279	Lamatuka	nan	nan	mori	nan	nan	nan	nan	76. Hidup 
	scratch	lama1279	Lamatuka	nan	nan	ragu	nan	nan	nan	nan	77. Menggaruk 
	cut	lama1279	Lamatuka	nan	nan	belo	nan	nan	nan	nan	78. Memotong
	stem	lama1279	Lamatuka	nan	nan	nawã	nan	nan	nan	nan	79. Batang 
	split	lama1279	Lamatuka	nan	nan	ləgə	nan	nan	nan	nan	80. Membelah 
	sharp	lama1279	Lamatuka	nan	nan	raʔe	nan	nan	nan	nan	81. Tajam 
	blunt 	lama1279	Lamatuka	nan	nan	milu	nan	nan	nan	nan	82. Tumpul 
	work	lama1279	Lamatuka	nan	nan	kəria	nan	nan	nan	nan	83. Bekerja 
	play	lama1279	Lamatuka	nan	nan	urã	nan	nan	nan	nan	84. Bermain 
	sing	lama1279	Lamatuka	nan	nan	katərã	nan	nan	nan	nan	85. Menyanyi
	dance	lama1279	Lamatuka	nan	nan	sokə	nan	nan	nan	nan	86. Menari 
	swollen	lama1279	Lamatuka	nan	nan	hogo	nan	nan	nan	nan	87. Bengkak
	squeeze	lama1279	Lamatuka	nan	nan	piuʔ	nan	nan	nan	nan	88. Memeras 
	hold	lama1279	Lamatuka	nan	nan	pehe	nan	nan	nan	nan	89. Memegang
	dig	lama1279	Lamatuka	nan	nan	gali	nan	nan	nan	nan	90. Menggali 
	give	lama1279	Lamatuka	nan	nan	sorõ	nan	nan	nan	nan	91. Memberi 
	pull	lama1279	Lamatuka	nan	nan	gidə	nan	nan	nan	nan	92. Menarik
	push	lama1279	Lamatuka	nan	nan	udũ	nan	nan	nan	nan	93. Mendorong 
	throw	lama1279	Lamatuka	nan	nan	gebə	nan	nan	nan	nan	94. Melempar 
	fall	lama1279	Lamatuka	nan	nan	goli	nan	nan	nan	nan	95. Jatuh 
	dog	lama1279	Lamatuka	nan	nan	aho	nan	nan	nan	nan	96. Anjing 
	bird	lama1279	Lamatuka	nan	nan	olõ	nan	nan	nan	nan	97. Burung 
	egg	lama1279	Lamatuka	nan	nan	təluʔũ	nan	nan	nan	nan	98. Telur 
	feather	lama1279	Lamatuka	nan	nan	rawuʔũ	nan	nan	nan	nan	99. Bulu 
	wing	lama1279	Lamatuka	nan	nan	əpiʔĩ	looks like I with tilde. Check	nan	nan	nan	100. Sayap 
	fly	lama1279	Lamatuka	nan	nan	baʔã	nan	nan	nan	nan	101. Terbang 
	animal	lama1279	Lamatuka	nan	nan	əwã(nawu)	nan	nan	nan	nan	102. Binatang 
	meat	lama1279	Lamatuka	nan	nan	elã	nan	nan	nan	nan	103. Daging 
	fat	lama1279	Lamatuka	nan	nan	woraʔã	nan	nan	nan	nan	104. Lemak 
	tale	lama1279	Lamatuka	nan	nan	iʔũ	nan	nan	nan	nan	105. Ekor 
	snake	lama1279	Lamatuka	nan	nan	ula	nan	nan	nan	nan	106. Ular 
	worm	lama1279	Lamatuka	nan	nan	səwalo	nan	nan	nan	nan	107. Cacing 
	louse	lama1279	Lamatuka	nan	nan	uto	nan	nan	nan	nan	108. Kutu 
	fish	lama1279	Lamatuka	nan	nan	iʔã	nan	nan	nan	nan	109. Ikan 
	tree	lama1279	Lamatuka	nan	nan	əso	nan	nan	nan	nan	110. Pohon 
	rotten	lama1279	Lamatuka	nan	nan	weʔu	nan	nan	nan	nan	111. Busuk 
	leaf	lama1279	Lamatuka	nan	nan	lolõ	nan	nan	nan	nan	112. Daun 
	bark	lama1279	Lamatuka	nan	nan	əso ulitã	nan	nan	nan	nan	113. Kulit kayu
