Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Lewoeleng	Austronesian	8Lembata	əlẽ	nan				133. Langit 
1	sun		Lewoeleng	Austronesian	8Lembata	ləra	nan				134. Matahari 
3	star		Lewoeleng	Austronesian	8Lembata	malã	nan				135. Bintang 
4	night		Lewoeleng	Austronesian	8Lembata	ṳgũ	nan				171. Malam 
5	day		Lewoeleng	Austronesian	8Lembata	ləro	nan				173. Hari 
6	year		Lewoeleng	Austronesian	8Lembata	tuŋ	nan				172. Tahun 
13	cloud		Lewoeleng	Austronesian	8Lembata	ʔowa	nan				136. Awan 
14	wind		Lewoeleng	Austronesian	8Lembata	aŋin	nan				140. Angin 
15	rain		Lewoeleng	Austronesian	8Lembata	urã	nan				138. Hujan 
23	ice		Lewoeleng	Austronesian	8Lembata	—	nan				124. Es 
24	snow		Lewoeleng	Austronesian	8Lembata	—	nan				139. Salju 
25	lake		Lewoeleng	Austronesian	8Lembata	opa	nan				129. Danau 
26	mountain		Lewoeleng	Austronesian	8Lembata	ile	nan				131. Gunung 
32	stone		Lewoeleng	Austronesian	8Lembata	wato	nan				120. Batu 
39	forest		Lewoeleng	Austronesian	8Lembata	əso ʔuho	nan				132. Hutan
51	rope		Lewoeleng	Austronesian	8Lembata	tale	nan				65. Tali
65	clothing		Lewoeleng	Austronesian	8Lembata	uluale	nan				68. Pakaian 
67	fire		Lewoeleng	Austronesian	8Lembata	a̤pe	breathy vowel				148. Api 
68	smoke		Lewoeleng	Austronesian	8Lembata	nuhẽ	nan				150. Asap 
75	sand		Lewoeleng	Austronesian	8Lembata	botã	nan				121. Pasir 
84	tree		Lewoeleng	Austronesian	8Lembata	əso	nan				110. Pohon 
87	leaf		Lewoeleng	Austronesian	8Lembata	lolõ	nan				112. Daun 
91	root		Lewoeleng	Austronesian	8Lembata	ramu	nan				114. Akar 
92	fruit		Lewoeleng	Austronesian	8Lembata	wuʔɔ̃	nan				117. Buah 
93	seed		Lewoeleng	Austronesian	8Lembata	ʔulũ	nan				115. Biji 
95	flower		Lewoeleng	Austronesian	8Lembata	puhũ	nan				116. Bunga 
129	salt		Lewoeleng	Austronesian	8Lembata	taʔo	nan				128. Garam 
130	fat		Lewoeleng	Austronesian	8Lembata	worõ	nan				104. Lemak 
132	bone		Lewoeleng	Austronesian	8Lembata	riʔũ	nan				19. Tulang
136	blood		Lewoeleng	Austronesian	8Lembata	meʔi	nan				26. Darah
138	heart		Lewoeleng	Austronesian	8Lembata	pũhũ	nan				22. Jantung
139	liver		Lewoeleng	Austronesian	8Lembata	ũhã	nan				21. Hati
145	head		Lewoeleng	Austronesian	8Lembata	əte	nan				27. Kepala
146	hair		Lewoeleng	Austronesian	8Lembata	əte ratã	nan				29. Rambut
148	eye		Lewoeleng	Austronesian	8Lembata	ulu	nan				47. Mata
149	ear		Lewoeleng	Austronesian	8Lembata	tilũ	nan				45. Telinga
150	nose		Lewoeleng	Austronesian	8Lembata	nirũ	nan				30. Hidung
151	mouth		Lewoeleng	Austronesian	8Lembata	nuhe	nan				33. Mulut
155	tongue		Lewoeleng	Austronesian	8Lembata	ebe	nan				35. Lidah
156	neck		Lewoeleng	Austronesian	8Lembata	wull̃	nan				28. Leher
164	hand		Lewoeleng	Austronesian	8Lembata	lima	nan				1. Tangan
175	foot		Lewoeleng	Austronesian	8Lembata	lei	nan				4. Kaki
179	back		Lewoeleng	Austronesian	8Lembata	woho	nan				17. Punggung
182	skin		Lewoeleng	Austronesian	8Lembata	uli	nan				16. Kulit
190	person		Lewoeleng	Austronesian	8Lembata	atadiyã	nan				53. Orang
191	name		Lewoeleng	Austronesian	8Lembata	nara	nan				63. Nama
192	child		Lewoeleng	Austronesian	8Lembata	ana	nan				56. Anak
193	man		Lewoeleng	Austronesian	8Lembata	rəbã	nan				54. Laki-laki
194	woman		Lewoeleng	Austronesian	8Lembata	bare	nan				55. Wanita
195	husband		Lewoeleng	Austronesian	8Lembata	təlaʔe	nan				57. Suami
196	wife		Lewoeleng	Austronesian	8Lembata	bare	nan				58. Isteri
197	mother		Lewoeleng	Austronesian	8Lembata	ina	nan				59. Ibu
198	father		Lewoeleng	Austronesian	8Lembata	ama	nan				60. Bapak
199	older sibling		Lewoeleng	Austronesian	8Lembata	ʔaʔa	nan				61. Kakak
200	younger sibling		Lewoeleng	Austronesian	8Lembata	wari	nan				62. Adik
203	1sg		Lewoeleng	Austronesian	8Lembata	goe	nan				184. Saya 
206	3sg		Lewoeleng	Austronesian	8Lembata	noʔe	nan				186. Dia 
210	3pl		Lewoeleng	Austronesian	8Lembata	roʔe	nan				189. Mereka 
212	and		Lewoeleng	Austronesian	8Lembata	nu	nan				197. Dan 
213	because		Lewoeleng	Austronesian	8Lembata	ʔele	nan				199. Sebab 
214	if		Lewoeleng	Austronesian	8Lembata	—	nan				200. Jikalau 
215	with		Lewoeleng	Austronesian	8Lembata	rua	nan				198. Dengan
223	this		Lewoeleng	Austronesian	8Lembata	bobo	nan				179. Ini 
224	that		Lewoeleng	Austronesian	8Lembata	nene	nan				180. Itu 
227	here		Lewoeleng	Austronesian	8Lembata	noʔo	nan				177. Di sini 
228	there		Lewoeleng	Austronesian	8Lembata	weli	nan				178. Di situ 
234	all		Lewoeleng	Austronesian	8Lembata	rowao	nan				196. Semua 
235	many		Lewoeleng	Austronesian	8Lembata	boʔu	nan				194. Banyak 
236	animal		Lewoeleng	Austronesian	8Lembata	əwã(nawu)	nan				102. Binatang 
238	dog		Lewoeleng	Austronesian	8Lembata	aho	nan				96. Anjing 
250	fish		Lewoeleng	Austronesian	8Lembata	ʔiʔã	nan				109. Ikan 
