Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kələm	nan	nan	('sky', 'kama1365', 'deliŋ')	nan	133. Langit 
1	sun	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ləjawu	nan	nan	('sun', 'lama1277-kalik', 'luwak')	nan	134. Matahari 
3	star	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	tonaru	nan	nan	('star', 'lama1277-imulo', 'tonar')	nan	135. Bintang 
4	night	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	rəma	nan	nan	('night', 'lama1277-adona', 'ˈrɜmaʔ')	nan	171. Malam 
5	day	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ləyon	nan	nan	"('day', 'alor1247-besar', ""la'ra"")"	nan	173. Hari 
6	year	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	tunən	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan	172. Tahun 
13	cloud	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kowaru	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14	wind	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	aŋinu	nan	nan	"('wind', 'alor1247-baran', ""'aŋi"")"	nan	140. Angin 
15	rain	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	apunu	nan	nan	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan	138. Hujan 
22	river; stream	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	baku	nan	nan	('river; stream', 'lama1277-baipi', 'wai_ba')	nan	130. Sungai 
25	lake	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	liworu	nan	nan	"('lake', 'lama1277-adona', ""'liwo"")"	nan	129. Danau 
26	mountain	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ileru	nan	nan	('mountain', 'alor1249-sar-n', 'yihil')	nan	131. Gunung 
30	Earth	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ənaj	nan	nan	('Earth', 'lama1277-baipi', 'tana')	nan	119. Tanah 
32	stone	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	watoru	nan	nan	"('stone', 'alor1247-baran', ""'fato"")"	nan	120. Batu 
35	water (fresh)	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	waeru	nan	nan	"('water (fresh)', 'alor1247-besar', ""'fei"")"	nan	122. Air 
36	sea; sea water	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	loyoru	nan	nan	('sea; sea water', 'lama1277-baipi', 'tahik')	nan	127. Laut 
39	forest	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	maŋak	nan	nan	('forest', 'lama1277-belan', 'eka_maŋan')	nan	132. Hutan
45	road; path; way	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	lalanu	nan	nan	('road; path; way', 'lama1277-belan', 'lara')	nan	7. Jalan
51	rope	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	tali	nan	nan	('rope', 'lama1277-baipi', 'tale')	nan	65. Tali
65	clothing	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	anampunak	nan	nan	('clothing', 'lama1277-lewok', 'anampunak')	nan	68. Pakaian 
67	fire	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	aperu	nan	nan	"('fire', 'alor1247-baran', ""a'pe:"")"	nan	148. Api 
68	smoke	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	sənəgur	nan	nan	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	nan	150. Asap 
70	dust; fine earth	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	amutu	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	15. Debu
70	dust; fine earth	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kawok	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	151. Abu 
75	sand	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wəraru	nan	nan	"('sand', 'keda1252', ""'ʔerah"")"	nan	121. Pasir 
76	grass; brush	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	mewak	nan	nan	('grass; brush', 'lama1277-baipi', 'kərəmət')	nan	118. Rumput 
84	tree	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kayoru	nan	nan	"('tree', 'alor1247-besar', ""'kaʤɔ"")"	nan	110. Pohon 
87	leaf	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	lolo	nan	nan	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	nan	112. Daun 
91	root	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kamak	nan	nan	('root', 'lama1277-baipi', 'amut')	nan	114. Akar 
92	fruit	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wuak	nan	nan	"('fruit', 'alor1247-pandai', ""'punak"")"	nan	117. Buah 
93	seed	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kuluk	nan	nan	"('seed', 'alor1247-baran', ""'kuluŋ"")"	nan	115. Biji 
95	flower	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	buŋaru	nan	nan	('flower', 'lama1277-belan', 'puŋa')	nan	116. Bunga 
129	salt	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	iraru	nan	nan	"('salt', 'alor1247-baran', ""'siʔa"")"	nan	128. Garam 
130	fat	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wojak	nan	nan	('fat', 'lama1277-baipi', 'wora')	nan	104. Lemak 
131	flesh; meat	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	elaŋ	nan	nan	('flesh; meat', 'lama1277-bama', 'ihik')	nan	103. Daging 
132	bone	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	riuk	nan	nan	"('bone', 'alor1247-baran', ""ru'ʔiŋ"")"	nan	19. Tulang
136	blood	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	səmei	nan	nan	('blood', 'lama1277-adona', 'mei')	nan	26. Darah
138	heart	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	puo	nan	nan	('heart', 'amar1273-kotos', 'bua-f')	nan	22. Jantung
139	liver	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kəbotik ate	nan	nan	"('liver', 'alor1247-baran', ""'hati"")"	nan	21. Hati
144	stomach; belly	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	taiga	nan	nan	('stomach; belly', 'lama1277-baipi', 'ale')	nan	18. Perut
145	head	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	uluga	nan	nan	('head', 'adan1251-lawah', 'loŋ')	nan	27. Kepala
146	hair	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	rata	nan	nan	"('hair', 'alor1247-baran', ""'rata"")"	nan	29. Rambut
148	eye	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	mata	nan	nan	"('eye', 'alor1247-baran', ""'mataŋ"")"	nan	47. Mata
149	ear	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kiŋa	nan	nan	('ear', 'lama1277-imulo', 'kiŋasa')	nan	45. Telinga
150	nose	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	nijuga	nan	nan	"('nose', 'alor1247-baran', ""'ir:uŋ"")"	nan	30. Hidung
151	mouth	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	nusəga	nan	nan	"('mouth', 'alor1247-munas', ""'nuhuŋ_"")"	nan	33. Mulut
155	tongue	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ewel	nan	nan	"('tongue', 'alor1247-baran', ""'fɛfɛl"")"	nan	35. Lidah
156	neck	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wule	nan	nan	"('neck', 'alor1247-besar', ""'fuliŋ"")"	nan	28. Leher
164	hand	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	limaga	nan	nan	"('hand', 'alor1247-baran', ""'limaŋ_ka'lumak"")"	nan	1. Tangan
175	foot	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	liga	nan	nan	"('foot', 'alor1247-baran', ""'leiŋ_ka'lumak"")"	nan	4. Kaki
179	back	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kənaruga	nan	nan	('back', 'lama1277-kalik', 'kənarun')	nan	17. Punggung
182	skin	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kuda	nan	nan	('skin', 'lama1277-kalik', 'kudan')	nan	16. Kulit
190	person	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	səlik	nan	nan	('person', 'lama1277-baipi', 'atadikə')	nan	53. Orang
191	name	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	nayan	nan	nan	"('name', 'alor1247-baran', ""'naraŋ"")"	nan	63. Nama
192	child	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	nuya	nan	nan	('child', 'alor1247-baran', 'ʔanaŋ')	nan	56. Anak
193	man	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	lame	nan	nan	('man', 'fata1247', 'nami')	nan	54. Laki-laki
194	woman	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	bine	nan	nan	"('woman', 'idat1237', ""mahi'nak"")"	nan	55. Wanita
195	husband	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	awaga lame	nan	nan	('husband', 'lama1277-belan', 'ha')	nan	57. Suami
196	wife	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	awaga bine	nan	nan	"('wife', 'alor1247-baran', ""ka'fae"")"	nan	58. Isteri
197	mother	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ina	nan	nan	('mother', 'lama1277-belan', 'ina')	nan	59. Ibu
198	father	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ama	nan	nan	"('father', 'alor1247-besar', ""'amã"")"	nan	60. Bapak
199	older sibling	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kaka	nan	nan	"('older sibling', 'alor1247-munas', ""'kakaŋ"")"	nan	61. Kakak
200	younger sibling	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wajiga	nan	nan	('younger sibling', 'adan1251-otvai', 'di')	nan	62. Adik
203	1sg	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	gone	nan	nan	('1sg', 'alor1247-baran', 'go:')	nan	184. Saya 
204	2sg (informal)	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	mone	nan	nan	('2sg (informal)', 'keda1252', 'me')	nan	185. Engkau/ kamu 
206	3sg	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	nane	nan	nan	"('3sg', 'alor1247-baran', ""'nɔ:"")"	nan	186. Dia 
207	1pl excl	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kame	nan	nan	('1pl excl', 'lama1277-baipi', 'kame')	nan	188. Kami 
208	1pl incl	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	tite	nan	nan	('1pl incl', 'lama1277-baipi', 'tite')	nan	187. Kita 
210	3pl	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	yane	nan	nan	('3pl', 'lama1277-baipi', 'raʔe')	nan	189. Mereka 
212	and	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	no	nan	nan	('and', 'alor1247-baran', 'nɔ̃:')	nan	197. Dan 
213	because	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	puk	nan	nan	('because', 'lama1277-belan', 'puk')	nan	199. Sebab 
215	with	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	no 	nan	nan	('with', 'alor1247-baran', 'nɔ̃:')	nan	198. Dengan
216	what?	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	lane	nan	nan	"('what?', 'abui1241-petle', ""na.'la"")"	nan	190. Apa 
217	who?	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	enaku	nan	nan	('who?', 'lama1277-baipi', 'hege')	nan	191. Siapa 
218	where?	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	maga	nan	nan	('where?', 'lama1277-baipi', 'təga')	nan	183. Di mana 
219	when?	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	jəm pira	nan	nan	('when?', 'lama1277-baipi', 'arəmpira')	nan	174. Bilamana 
223	this	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	bədi	nan	nan	('this', 'lama1277-baipi', 'pi')	nan	179. Ini 
224	that	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	dede	nan	nan	('that', 'lama1277-lewob', 'teʔẽ')	nan	180. Itu 
227	here	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	bədi	nan	nan	('here', 'lama1277-baipi', 'tiwi')	nan	177. Di sini 
228	there	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wəli	nan	nan	('there', 'abui1241-petle', 'we')	nan	178. Di situ 
231	left (side)	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	seke	nan	nan	('left (side)', 'lama1277-belan', 'seki')	nan	2. Kiri
232	right (side)	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wanã	nan	nan	('right (side)', 'adan1251-otvai', 'taniŋ')	nan	3. Kanan
233	a few	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kənəko	nan	nan	('a few', 'lama1277-baipi', 'sələ')	nan	195. Sedikit 
234	all	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	səmua	nan	nan	('all', 'lama1277-lewok', 'səmua')	nan	196. Semua 
235	many	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	rai	nan	nan	"('many', 'keda1252', ""'rai"")"	nan	194. Banyak 
236	animal	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	binataŋ	nan	nan	('animal', 'adan1251-otvai', 'binanta')	nan	102. Binatang 
238	dog	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	aoru	nan	nan	"('dog', 'alor1247-baran', ""a'ho"")"	nan	96. Anjing 
249	tail	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ikur	nan	nan	('tail', 'lama1277-bama', 'iku')	nan	105. Ekor 
250	fish	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ikan	nan	nan	"('fish', 'alor1247-baran', ""'ikɑŋ"")"	nan	109. Ikan 
259	bird	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	koloŋ	nan	nan	"('bird', 'alor1247-baran', ""'koloŋ"")"	nan	97. Burung 
260	wing	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kəpik	nan	nan	('wing', 'lama1277-baipi', 'kəpiʔ')	nan	100. Sayap 
262	feather	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	rawuk	nan	nan	('feather', 'lama1277-adona', 'ˈrawuke')	nan	99. Bulu 
264	snake	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ularu	nan	nan	"('snake', 'alor1247-baran', ""ʔu'la"")"	nan	106. Ular 
266	egg	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	təluk	nan	nan	"('egg', 'alor1247-baran', ""'taluk"")"	nan	98. Telur 
279	louse (clothing)	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kutoru	nan	nan	('louse (clothing)', 'lama1277-baipi', 'kuto')	nan	108. Kutu 
281	big	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kedak	nan	nan	('big', 'keda1252-leuwa', 'kεdεŋ_kεnaʔ')	nan	158. Besar 
282	small	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	anak	nan	nan	"('small', 'alor1247-baran', ""'an:aŋ"")"	nan	157. Kecil 
284	new (house)	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wəru	nan	nan	('new (house)', 'lama1277-belan', 'wu')	nan	167. Baru 
288	hot	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kati	nan	nan	('hot', 'lama1277-imulo', 'kat')	nan	142. Panas 
289	cold	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	lətəs	nan	nan	('cold', 'abui1241-fuime', 'palata')	nan	143. Dingin 
290	good	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	alus	nan	nan	('good', 'lama1277-kalik', 'alus')	nan	168. Baik 
291	bad	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kədatək	nan	nan	"('bad', 'alor1247-baran', ""'datɛ"")"	nan	169. Jelek
294	near	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	dae	nan	nan	"('near', 'alor1247-baran', ""'dah:ɛ"")"	nan	181. Dekat 
295	far	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	doa	nan	nan	"('far', 'alor1247-baran', ""'ʤuaŋ"")"	nan	182. Jauh 
296	wet	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	sənəbar	nan	nan	('wet', 'lama1277-belan', 'səba')	nan	145. Basah 
297	dry	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	majak	nan	nan	"('dry', 'alor1247-baran', ""'mara"")"	nan	144. Kering 
299	long	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	doak	nan	nan	('long', 'lama1277-bama', 'bəlaha')	nan	160. Panjang 
301	short	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	məgok	nan	nan	('short', 'lama1277-bama', 'lere')	nan	159. Pendek 
303	thin (non-human)	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	mipiwu	nan	nan	('thin (non-human)', 'lama1277-baipi', 'mənipi')	nan	161. Tipis 
305	thick	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	təbalɤ	nan	nan	('thick', 'lama1277-adona', 'pɜˈwɜrã')	nan	162. Tebal 
309	dirty	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	milan	nan	nan	('dirty', 'lama1277-adona', 'miˈlã')	nan	14. Kotor
311	sharp	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	rəkət	nan	nan	('sharp', 'lama1277-baipi', 'dəkət')	nan	81. Tajam 
312	blunt; dull	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kəmoso	nan	nan	('blunt; dull', 'lama1277-bama', 'dat')	nan	82. Tumpul 
313	heavy	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	bərat	nan	nan	('heavy', 'alor1247-baran', 'ba:')	nan	147. Berat 
315	straight	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	mulur	nan	nan	('straight', 'abui1241-fuime', 'mulaŋ')	nan	165. Lurus 
316	wide	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	loŋgar	nan	nan	('wide', 'lama1277-lamak', 'loŋar')	nan	164. Luas 
317	narrow	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kənipot	nan	nan	('narrow', 'lama1277-baipi', 'gələgipət')	nan	163. Sempit 
321	rotten	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	wauk	nan	nan	('rotten', 'lama1277-belan', 'wau')	nan	111. Busuk 
326	flat	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	lerek	nan	nan	('flat', 'lama1277-belan', 'lere')	nan	146. Rata 
329	black	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	mitəm	nan	nan	"('black', 'alor1247-baran', ""'mit:ɛŋ"")"	nan	152. Hitam 
330	white	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	bujak	nan	nan	"('white', 'alor1247-baran', ""'bur:a"")"	nan	153. Putih 
331	red	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	mera	nan	nan	('red', 'lama1277-baipi', 'meʔa')	nan	154. Merah 
332	green	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	pəris	nan	nan	('green', 'lama1277-lamah', 'kəpəri')	nan	156. Hijau 
334	yellow	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	kumas	nan	nan	('yellow', 'lama1277-baipi', 'kuniŋ')	nan	155. Kuning 
341	scared	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	takutga	nan	nan	"('scared', 'alor1247-baran', ""'taku"")"	nan	25. Takut
343	to see	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	bele	nan	nan	('to see', 'alor1249-sar-a', 'bil')	nan	48. Melihat
344	to hear	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	dəŋər	nan	nan	('to hear', 'lama1277-bama', 'weŋe')	nan	46. Dengar
345	to smell	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	sodam	nan	nan	('to smell', 'lama1277-belan', 'hodam')	nan	32. Membaui
346	to think	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	petən	nan	nan	('to think', 'lama1277-adona', 'ˈpetɜ')	nan	24. Pikir
347	to know	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	ketən	nan	nan	('to know', 'baka1276', 'teiŋ')	nan	23. Tahu
348	to say	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	maik	nan	nan	('to say', 'lama1277-baipi', 'mari')	nan	64. Bilang
352	to lie down	lama1277-lewok	Lamaholot-Lewokukun	Austronesian	8Lembata	gəle	nan	nan	('to lie down', 'lama1277-lewok', 'gəle')	nan	50. Rebah
