Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Lewolema	Austronesian	8Lembata	kəle	nan	nan	nan	nan	133. Langit 
1	sun		Lewolema	Austronesian	8Lembata	rəra	nan	nan	nan	nan	134. Matahari 
3	star		Lewolema	Austronesian	8Lembata	pətala	nan	nan	nan	nan	135. Bintang 
4	night		Lewolema	Austronesian	8Lembata	nokõ	nan	nan	nan	nan	171. Malam 
5	day		Lewolema	Austronesian	8Lembata	rərõ	nan	nan	nan	nan	173. Hari 
6	year		Lewolema	Austronesian	8Lembata	sũ	nan	nan	nan	nan	172. Tahun 
13	cloud		Lewolema	Austronesian	8Lembata	kowa	nan	nan	nan	nan	136. Awan 
14	wind		Lewolema	Austronesian	8Lembata	aŋi	nan	nan	nan	nan	140. Angin 
15	rain		Lewolema	Austronesian	8Lembata	urã	nan	nan	nan	nan	138. Hujan 
23	ice		Lewolema	Austronesian	8Lembata	—	nan	nan	nan	nan	124. Es 
24	snow		Lewolema	Austronesian	8Lembata	—	nan	nan	nan	nan	139. Salju 
25	lake		Lewolema	Austronesian	8Lembata	liwo	nan	nan	nan	nan	129. Danau 
26	mountain		Lewolema	Austronesian	8Lembata	ile	nan	nan	nan	nan	131. Gunung 
32	stone		Lewolema	Austronesian	8Lembata	wato	nan	nan	nan	nan	120. Batu 
39	forest		Lewolema	Austronesian	8Lembata	newa onã	nan	nan	nan	nan	132. Hutan
51	rope		Lewolema	Austronesian	8Lembata	tale	nan	nan	nan	nan	65. Tali
65	clothing		Lewolema	Austronesian	8Lembata	agopake	nan	nan	nan	nan	68. Pakaian 
67	fire		Lewolema	Austronesian	8Lembata	ape	nan	nan	nan	nan	148. Api 
68	smoke		Lewolema	Austronesian	8Lembata	huhũ	nan	nan	nan	nan	150. Asap 
75	sand		Lewolema	Austronesian	8Lembata	wəra	nan	nan	nan	nan	121. Pasir 
84	tree		Lewolema	Austronesian	8Lembata	kajo	nan	nan	nan	nan	110. Pohon 
87	leaf		Lewolema	Austronesian	8Lembata	ləpã	nan	nan	nan	nan	112. Daun 
91	root		Lewolema	Austronesian	8Lembata	amut	nan	nan	nan	nan	114. Akar 
92	fruit		Lewolema	Austronesian	8Lembata	wuã	nan	nan	nan	nan	117. Buah 
93	seed		Lewolema	Austronesian	8Lembata	ərã	nan	nan	nan	nan	115. Biji 
95	flower		Lewolema	Austronesian	8Lembata	puhũ	nan	nan	nan	nan	116. Bunga 
129	salt		Lewolema	Austronesian	8Lembata	siʔa	nan	nan	nan	nan	128. Garam 
130	fat		Lewolema	Austronesian	8Lembata	worã	nan	nan	nan	nan	104. Lemak 
132	bone		Lewolema	Austronesian	8Lembata	riʔuk	nan	nan	nan	nan	19. Tulang
136	blood		Lewolema	Austronesian	8Lembata	mei	nan	nan	nan	nan	26. Darah
138	heart		Lewolema	Austronesian	8Lembata	wuak	nan	nan	nan	nan	22. Jantung
139	liver		Lewolema	Austronesian	8Lembata	atẽ	nan	nan	nan	nan	21. Hati
145	head		Lewolema	Austronesian	8Lembata	kotə	nan	nan	nan	nan	27. Kepala
146	hair		Lewolema	Austronesian	8Lembata	rata	nan	nan	nan	nan	29. Rambut
148	eye		Lewolema	Austronesian	8Lembata	mata	nan	nan	nan	nan	47. Mata
149	ear		Lewolema	Austronesian	8Lembata	tilu	nan	nan	nan	nan	45. Telinga
150	nose		Lewolema	Austronesian	8Lembata	iru	nan	nan	nan	nan	30. Hidung
151	mouth		Lewolema	Austronesian	8Lembata	wewa	nan	nan	nan	nan	33. Mulut
155	tongue		Lewolema	Austronesian	8Lembata	wewe	nan	nan	nan	nan	35. Lidah
156	neck		Lewolema	Austronesian	8Lembata	wuli	nan	nan	nan	nan	28. Leher
164	hand		Lewolema	Austronesian	8Lembata	lima	nan	nan	nan	nan	1. Tangan
175	foot		Lewolema	Austronesian	8Lembata	lei	nan	nan	nan	nan	4. Kaki
179	back		Lewolema	Austronesian	8Lembata	kolaʔ	nan	nan	nan	nan	17. Punggung
182	skin		Lewolema	Austronesian	8Lembata	kamaʔ	nan	nan	nan	nan	16. Kulit
190	person		Lewolema	Austronesian	8Lembata	atadikẽ	nan	nan	nan	nan	53. Orang
191	name		Lewolema	Austronesian	8Lembata	narã	nan	nan	nan	nan	63. Nama
192	child		Lewolema	Austronesian	8Lembata	ana	nan	nan	nan	nan	56. Anak
193	man		Lewolema	Austronesian	8Lembata	amalake	nan	nan	nan	nan	54. Laki-laki
194	woman		Lewolema	Austronesian	8Lembata	inawae	nan	nan	nan	nan	55. Wanita
195	husband		Lewolema	Austronesian	8Lembata	lake	nan	nan	nan	nan	57. Suami
196	wife		Lewolema	Austronesian	8Lembata	kəwae	nan	nan	nan	nan	58. Isteri
197	mother		Lewolema	Austronesian	8Lembata	əma	nan	nan	nan	nan	59. Ibu
198	father		Lewolema	Austronesian	8Lembata	baba	nan	nan	nan	nan	60. Bapak
199	older sibling		Lewolema	Austronesian	8Lembata	kaka	nan	nan	nan	nan	61. Kakak
200	younger sibling		Lewolema	Austronesian	8Lembata	ade	nan	nan	nan	nan	62. Adik
203	1sg		Lewolema	Austronesian	8Lembata	goʔe	nan	nan	nan	nan	184. Saya 
206	3sg		Lewolema	Austronesian	8Lembata	naʔe	nan	nan	nan	nan	186. Dia 
210	3pl		Lewolema	Austronesian	8Lembata	raʔe	nan	nan	nan	nan	189. Mereka 
212	and		Lewolema	Austronesian	8Lembata	noʔõ	nan	nan	nan	nan	197. Dan 
213	because		Lewolema	Austronesian	8Lembata	pukẽ	nan	nan	nan	nan	199. Sebab 
214	if		Lewolema	Austronesian	8Lembata	kalu	nan	nan	nan	nan	200. Jikalau 
215	with		Lewolema	Austronesian	8Lembata	noʔõ	nan	nan	nan	nan	198. Dengan
223	this		Lewolema	Austronesian	8Lembata	piʔi	nan	nan	nan	nan	179. Ini 
224	that		Lewolema	Austronesian	8Lembata	peʔẽ	nan	nan	nan	nan	180. Itu 
227	here		Lewolema	Austronesian	8Lembata	tiʔi	nan	nan	nan	nan	177. Di sini 
228	there		Lewolema	Austronesian	8Lembata	pe	nan	nan	nan	nan	178. Di situ 
234	all		Lewolema	Austronesian	8Lembata	wakaŋkae	nan	nan	nan	nan	196. Semua 
