Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	kələmu	nan	k ə l - ə m - - - - u	('sky', 'kama1365', 'deliŋ')	datasets/keraf/Lewotala.tsv	133. Langit 
1	sun	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	ləjaf	nan	l ə j - - - - - a f	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/keraf/Lewotala.tsv	134. Matahari 
3	star	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	tonaja	nan	- - - t - - o n a j a	('star', 'lama1277-imulo', 'tonar')	datasets/keraf/Lewotala.tsv	135. Bintang 
4	night	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	buk	nan	- - b u k - - - -	('night', 'keda1252', 'uben')	datasets/keraf/Lewotala.tsv	171. Malam 
5	day	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	ləjon	nan	- - - - - - - - - - - l ə j o - n - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/keraf/Lewotala.tsv	173. Hari 
6	year	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	tun	nan	- t u - n - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/keraf/Lewotala.tsv	172. Tahun 
13	cloud	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	kofaru	nan	k o f a r u	('cloud', 'abui1241-fuime', 'kabuti')	datasets/keraf/Lewotala.tsv	136. Awan 
14	wind	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	aŋinu	nan	- - a ŋ - - i n u -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/keraf/Lewotala.tsv	140. Angin 
15	rain	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	ujan	nan	- - u - j a n - - - -	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/keraf/Lewotala.tsv	138. Hujan 
22	river; stream	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	fai mənaŋaken	nan	f ai - _ m ə n a ŋ a k e n	('river; stream', 'lama1277-baipi', 'wai ba')	datasets/keraf/Lewotala.tsv	130. Sungai 
25	lake	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	liforu	nan	l i f o r u -	"('lake', 'lama1277-adona', ""'liwo"")"	datasets/keraf/Lewotala.tsv	129. Danau 
26	mountain	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	ileru	nan	- - - i l e r u	('mountain', 'alor1249-sar-n', 'jihil')	datasets/keraf/Lewotala.tsv	131. Gunung 
30	Earth	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	enaj	nan	- e n - a j	('Earth', 'lama1277-baipi', 'tana')	datasets/keraf/Lewotala.tsv	119. Tanah 
32	stone	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	enaj	nan	e n a j	('stone', 'lama1277-lewot', 'enaj')	datasets/keraf/Lewotala.tsv	120. Batu 
35	water (fresh)	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	faeru	nan	- f ae - - r u	"('water (fresh)', 'alor1247-besar', ""'fei"")"	datasets/keraf/Lewotala.tsv	122. Air 
36	sea; sea water	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	lefa	nan	l e f a - -	('sea; sea water', 'lama1277-baipi', 'tahik')	datasets/keraf/Lewotala.tsv	127. Laut 
39	forest	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	eka maŋan	nan	- - - e k a _ m a ŋ a n	('forest', 'lama1277-belan', 'eka maŋan')	datasets/keraf/Lewotala.tsv	132. Hutan
45	road; path; way	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	lalanu	nan	l a l a n u	('road; path; way', 'lama1277-belan', 'lara')	datasets/keraf/Lewotala.tsv	7. Jalan
51	rope	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	fədəku	nan	f ə d ə k u -	('rope', 'lama1277-baipi', 'tale')	datasets/keraf/Lewotala.tsv	65. Tali
65	clothing	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	aleloloja	nan	- a l e - l o l o j a	('clothing', 'kafo1240', 'ʔɑlɑl')	datasets/keraf/Lewotala.tsv	68. Pakaian 
67	fire	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	aperu	nan	- - a - p e r u	"('fire', 'alor1247-baran', ""a'pe:"")"	datasets/keraf/Lewotala.tsv	148. Api 
68	smoke	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	hənəgur	nan	- - h ə - - n ə g u r - -	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	datasets/keraf/Lewotala.tsv	150. Asap 
70	dust; fine earth	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	əmutu	nan	- - - ə m u t u	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Lewotala.tsv	15. Debu
70	dust; fine earth	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	kafoku	nan	k - - a f o k u	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Lewotala.tsv	151. Abu 
75	sand	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	fəraja	nan	f ə r a j a	('sand', 'lama1277-baipi', 'wəra')	datasets/keraf/Lewotala.tsv	121. Pasir 
76	grass; brush	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	kərəka	nan	k ə r ə k a - -	('grass; brush', 'lama1277-belan', 'kərəkak')	datasets/keraf/Lewotala.tsv	118. Rumput 
84	tree	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	kajoru	nan	- k a - - j o r u - - - - - - - - - - -	"('tree', 'alor1247-besar', ""'kaʤɔ"")"	datasets/keraf/Lewotala.tsv	110. Pohon 
87	leaf	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	lolo	nan	- - - - - l o l o -	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	datasets/keraf/Lewotala.tsv	112. Daun 
91	root	lama1277-lewot	Lamaholot-Lewotala	Austronesian	8Lembata	ramut	nan	r a m u t - -	('root', 'lama1277-baipi', 'amut')	datasets/keraf/Lewotala.tsv	114. Akar 
