Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kəlã	nan				133. Langit 
1	sun	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ləra	nan				134. Matahari 
3	star	lewo1244	Lewotobi	Austronesian	5Flores, 1East	bəlia	nan				135. Bintang 
4	night	lewo1244	Lewotobi	Austronesian	5Flores, 1East	nokõ	nan				171. Malam 
5	day	lewo1244	Lewotobi	Austronesian	5Flores, 1East	lərõ	nan				173. Hari 
6	year	lewo1244	Lewotobi	Austronesian	5Flores, 1East	sũ	nan				172. Tahun 
13	cloud	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kowa	nan				136. Awan 
14	wind	lewo1244	Lewotobi	Austronesian	5Flores, 1East	aŋi	nan				140. Angin 
15	rain	lewo1244	Lewotobi	Austronesian	5Flores, 1East	urã	nan				138. Hujan 
23	ice	lewo1244	Lewotobi	Austronesian	5Flores, 1East	—	nan				124. Es 
24	snow	lewo1244	Lewotobi	Austronesian	5Flores, 1East	—	nan				139. Salju 
25	lake	lewo1244	Lewotobi	Austronesian	5Flores, 1East	walã	nan				129. Danau 
26	mountain	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ile	nan				131. Gunung 
32	stone	lewo1244	Lewotobi	Austronesian	5Flores, 1East	wato	nan				120. Batu 
39	forest	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kərawo	nan				132. Hutan
51	rope	lewo1244	Lewotobi	Austronesian	5Flores, 1East	tale	nan				65. Tali
65	clothing	lewo1244	Lewotobi	Austronesian	5Flores, 1East	pakaian	nan				68. Pakaian 
67	fire	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ape	nan				148. Api 
68	smoke	lewo1244	Lewotobi	Austronesian	5Flores, 1East	rihũ	nan				150. Asap 
75	sand	lewo1244	Lewotobi	Austronesian	5Flores, 1East	wəra	nan				121. Pasir 
84	tree	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kajopukã	nan				110. Pohon 
87	leaf	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ləpã	nan				112. Daun 
91	root	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ramu	nan				114. Akar 
92	fruit	lewo1244	Lewotobi	Austronesian	5Flores, 1East	wuã	nan				117. Buah 
93	seed	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kulu	nan				115. Biji 
95	flower	lewo1244	Lewotobi	Austronesian	5Flores, 1East	buŋa	nan				116. Bunga 
129	salt	lewo1244	Lewotobi	Austronesian	5Flores, 1East	siʔa	nan				128. Garam 
130	fat	lewo1244	Lewotobi	Austronesian	5Flores, 1East	worã	nan				104. Lemak 
132	bone	lewo1244	Lewotobi	Austronesian	5Flores, 1East	riʔu	nan				19. Tulang
136	blood	lewo1244	Lewotobi	Austronesian	5Flores, 1East	mei	nan				26. Darah
138	heart	lewo1244	Lewotobi	Austronesian	5Flores, 1East	puhũ	nan				22. Jantung
139	liver	lewo1244	Lewotobi	Austronesian	5Flores, 1East	atẽ	nan				21. Hati
145	head	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kotə	nan				27. Kepala
146	hair	lewo1244	Lewotobi	Austronesian	5Flores, 1East	rata	nan				29. Rambut
148	eye	lewo1244	Lewotobi	Austronesian	5Flores, 1East	mata	nan				47. Mata
149	ear	lewo1244	Lewotobi	Austronesian	5Flores, 1East	tilu	nan				45. Telinga
150	nose	lewo1244	Lewotobi	Austronesian	5Flores, 1East	irũ	nan				30. Hidung
151	mouth	lewo1244	Lewotobi	Austronesian	5Flores, 1East	wəwa	nan				33. Mulut
155	tongue	lewo1244	Lewotobi	Austronesian	5Flores, 1East	wewe	nan				35. Lidah
156	neck	lewo1244	Lewotobi	Austronesian	5Flores, 1East	wuli	nan				28. Leher
164	hand	lewo1244	Lewotobi	Austronesian	5Flores, 1East	lima	nan				1. Tangan
175	foot	lewo1244	Lewotobi	Austronesian	5Flores, 1East	lei	nan				4. Kaki
179	back	lewo1244	Lewotobi	Austronesian	5Flores, 1East	keko	nan				17. Punggung
182	skin	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kuli	nan				16. Kulit
190	person	lewo1244	Lewotobi	Austronesian	5Flores, 1East	atadikã	nan				53. Orang
191	name	lewo1244	Lewotobi	Austronesian	5Flores, 1East	narã	nan				63. Nama
192	child	lewo1244	Lewotobi	Austronesian	5Flores, 1East	anaʔ	nan				56. Anak
193	man	lewo1244	Lewotobi	Austronesian	5Flores, 1East	bailaki	nan				54. Laki-laki
194	woman	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kəbarawãi	nan				55. Wanita
195	husband	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kəlake	nan				57. Suami
196	wife	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kəwae	nan				58. Isteri
197	mother	lewo1244	Lewotobi	Austronesian	5Flores, 1East	əma	nan				59. Ibu
198	father	lewo1244	Lewotobi	Austronesian	5Flores, 1East	bapa	nan				60. Bapak
199	older sibling	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kaka	nan				61. Kakak
200	younger sibling	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ari	nan				62. Adik
203	1sg	lewo1244	Lewotobi	Austronesian	5Flores, 1East	go	nan				184. Saya 
206	3sg	lewo1244	Lewotobi	Austronesian	5Flores, 1East	na	nan				186. Dia 
210	3pl	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ra	nan				189. Mereka 
212	and	lewo1244	Lewotobi	Austronesian	5Flores, 1East	noʔõ	nan				197. Dan 
213	because	lewo1244	Lewotobi	Austronesian	5Flores, 1East	pukã	nan				199. Sebab 
214	if	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kalu	nan				200. Jikalau 
215	with	lewo1244	Lewotobi	Austronesian	5Flores, 1East	noʔõ	nan				198. Dengan
223	this	lewo1244	Lewotobi	Austronesian	5Flores, 1East	teʔẽ	nan				179. Ini 
224	that	lewo1244	Lewotobi	Austronesian	5Flores, 1East	teʔẽ	nan				180. Itu 
227	here	lewo1244	Lewotobi	Austronesian	5Flores, 1East	pi	nan				177. Di sini 
228	there	lewo1244	Lewotobi	Austronesian	5Flores, 1East	pehe	nan				178. Di situ 
234	all	lewo1244	Lewotobi	Austronesian	5Flores, 1East	waokãe	nan				196. Semua 
235	many	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ajã	nan				194. Banyak 
236	animal	lewo1244	Lewotobi	Austronesian	5Flores, 1East	binataŋ	nan				102. Binatang 
238	dog	lewo1244	Lewotobi	Austronesian	5Flores, 1East	aho	nan				96. Anjing 
250	fish	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ikã	nan				109. Ikan 
259	bird	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kəpã	nan				97. Burung 
260	wing	lewo1244	Lewotobi	Austronesian	5Flores, 1East	kəpiʔ	nan				100. Sayap 
262	feather	lewo1244	Lewotobi	Austronesian	5Flores, 1East	rawu	nan				99. Bulu 
264	snake	lewo1244	Lewotobi	Austronesian	5Flores, 1East	ulaʔ	nan				106. Ular 
266	egg	lewo1244	Lewotobi	Austronesian	5Flores, 1East	təlũ	nan				98. Telur 
