Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Lewuka	Austronesian	8Lembata	kələm	nan	nan	nan	nan	133. Langit 
1	sun		Lewuka	Austronesian	8Lembata	luwak	nan	nan	nan	nan	134. Matahari 
3	star		Lewuka	Austronesian	8Lembata	tonar	nan	nan	nan	nan	135. Bintang 
4	night		Lewuka	Austronesian	8Lembata	buk	nan	nan	nan	nan	171. Malam 
5	day		Lewuka	Austronesian	8Lembata	ləjon	nan	nan	nan	nan	173. Hari 
6	year		Lewuka	Austronesian	8Lembata	tunən	nan	nan	nan	nan	172. Tahun 
13	cloud		Lewuka	Austronesian	8Lembata	kowar	nan	nan	nan	nan	136. Awan 
14	wind		Lewuka	Austronesian	8Lembata	aŋin	nan	nan	nan	nan	140. Angin 
15	rain		Lewuka	Austronesian	8Lembata	ujan	nan	nan	nan	nan	138. Hujan 
23	ice		Lewuka	Austronesian	8Lembata	—	nan	nan	nan	nan	124. Es 
24	snow		Lewuka	Austronesian	8Lembata	—	nan	nan	nan	nan	139. Salju 
25	lake		Lewuka	Austronesian	8Lembata	liwuŋ	nan	nan	nan	nan	129. Danau 
26	mountain		Lewuka	Austronesian	8Lembata	iler	nan	nan	nan	nan	131. Gunung 
32	stone		Lewuka	Austronesian	8Lembata	wator	nan	nan	nan	nan	120. Batu 
39	forest		Lewuka	Austronesian	8Lembata	maŋak	nan	nan	nan	nan	132. Hutan
51	rope		Lewuka	Austronesian	8Lembata	wəkat	nan	nan	nan	nan	65. Tali
65	clothing		Lewuka	Austronesian	8Lembata	alelolo	nan	nan	nan	nan	68. Pakaian 
67	fire		Lewuka	Austronesian	8Lembata	aper	nan	nan	nan	nan	148. Api 
68	smoke		Lewuka	Austronesian	8Lembata	sənəgur	nan	nan	nan	nan	150. Asap 
75	sand		Lewuka	Austronesian	8Lembata	botan	nan	nan	nan	nan	121. Pasir 
84	tree		Lewuka	Austronesian	8Lembata	kajor	nan	nan	nan	nan	110. Pohon 
87	leaf		Lewuka	Austronesian	8Lembata	lolon	nan	nan	nan	nan	112. Daun 
91	root		Lewuka	Austronesian	8Lembata	ramut	nan	nan	nan	nan	114. Akar 
92	fruit		Lewuka	Austronesian	8Lembata	wuak	nan	nan	nan	nan	117. Buah 
93	seed		Lewuka	Austronesian	8Lembata	kuluk	nan	nan	nan	nan	115. Biji 
95	flower		Lewuka	Austronesian	8Lembata	puŋa	nan	nan	nan	nan	116. Bunga 
129	salt		Lewuka	Austronesian	8Lembata	irar	nan	nan	nan	nan	128. Garam 
130	fat		Lewuka	Austronesian	8Lembata	wojak	nan	nan	nan	nan	104. Lemak 
132	bone		Lewuka	Austronesian	8Lembata	riuksa	nan	nan	nan	nan	19. Tulang
136	blood		Lewuka	Austronesian	8Lembata	smei	nan	nan	nan	nan	26. Darah
138	heart		Lewuka	Austronesian	8Lembata	puo	nan	nan	nan	nan	22. Jantung
139	liver		Lewuka	Austronesian	8Lembata	or	nan	nan	nan	nan	21. Hati
145	head		Lewuka	Austronesian	8Lembata	ulu	nan	nan	nan	nan	27. Kepala
146	hair		Lewuka	Austronesian	8Lembata	latar	nan	nan	nan	nan	29. Rambut
148	eye		Lewuka	Austronesian	8Lembata	mata	nan	nan	nan	nan	47. Mata
149	ear		Lewuka	Austronesian	8Lembata	kiŋa	nan	nan	nan	nan	45. Telinga
150	nose		Lewuka	Austronesian	8Lembata	niju	nan	nan	nan	nan	30. Hidung
151	mouth		Lewuka	Austronesian	8Lembata	nus	nan	nan	nan	nan	33. Mulut
155	tongue		Lewuka	Austronesian	8Lembata	ewel	nan	nan	nan	nan	35. Lidah
156	neck		Lewuka	Austronesian	8Lembata	wule	nan	nan	nan	nan	28. Leher
164	hand		Lewuka	Austronesian	8Lembata	limaga	nan	nan	nan	nan	1. Tangan
175	foot		Lewuka	Austronesian	8Lembata	linəga	nan	nan	nan	nan	4. Kaki
179	back		Lewuka	Austronesian	8Lembata	wurəsa	nan	nan	nan	nan	17. Punggung
182	skin		Lewuka	Austronesian	8Lembata	kudan	nan	nan	nan	nan	16. Kulit
