Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kələm	nan	k ə l - ə m - - - - -	('sky', 'kama1365', 'deliŋ')	datasets/keraf/Mingar.tsv	133. Langit 
1	sun	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ləja	nan	l ə j - - - - - a -	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/keraf/Mingar.tsv	134. Matahari 
3	star	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	tona	nan	- - - t - - o n a - -	('star', 'lama1277-imulo', 'tonar')	datasets/keraf/Mingar.tsv	135. Bintang 
4	night	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	bukɤ	nan	- - b u k - - ɤ -	('night', 'lama1277-imulo', 'buk')	datasets/keraf/Mingar.tsv	171. Malam 
5	day	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ləjo	nan	- - - - - - - - - - - l ə j o - - - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/keraf/Mingar.tsv	173. Hari 
6	year	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	tunɤ	nan	- t u - n ɤ - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/keraf/Mingar.tsv	172. Tahun 
13	cloud	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kowa	nan	k o w a - -	('cloud', 'abui1241-fuime', 'kabuti')	datasets/keraf/Mingar.tsv	136. Awan 
14	wind	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	aŋi	nan	- - a ŋ - - i - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/keraf/Mingar.tsv	140. Angin 
15	rain	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ujau	nan	- - u - j au - - - - -	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/keraf/Mingar.tsv	138. Hujan 
22	river; stream	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	wai	nan	w ai - - - - - - - - - - -	('river; stream', 'lama1277-baipi', 'wai ba')	datasets/keraf/Mingar.tsv	130. Sungai 
26	mountain	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ileru	nan	- - - i l e r u	('mountain', 'alor1249-sar-n', 'jihil')	datasets/keraf/Mingar.tsv	131. Gunung 
30	Earth	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ənaj	nan	- ə n - a j	('Earth', 'lama1277-baipi', 'tana')	datasets/keraf/Mingar.tsv	119. Tanah 
32	stone	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	wato	nan	- w a t o - - - - -	"('stone', 'alor1247-baran', ""'fato"")"	datasets/keraf/Mingar.tsv	120. Batu 
35	water (fresh)	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	waeru	nan	- w ae - - r u	"('water (fresh)', 'alor1247-besar', ""'fei"")"	datasets/keraf/Mingar.tsv	122. Air 
36	sea; sea water	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	lewa	nan	l e w a - -	('sea; sea water', 'lama1277-baipi', 'tahik')	datasets/keraf/Mingar.tsv	127. Laut 
39	forest	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ekapənət	nan	- - - e k a - p ə n ə t	('forest', 'lama1277-lamal', 'eka pənət')	datasets/keraf/Mingar.tsv	132. Hutan
45	road; path; way	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	lalan	nan	l a l a n -	('road; path; way', 'lama1277-belan', 'lara')	datasets/keraf/Mingar.tsv	7. Jalan
51	rope	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	fədak	nan	f ə d a k - -	('rope', 'lama1277-baipi', 'tale')	datasets/keraf/Mingar.tsv	65. Tali
65	clothing	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	alelolo	nan	- a l e - l o l o - -	('clothing', 'kafo1240', 'ʔɑlɑl')	datasets/keraf/Mingar.tsv	68. Pakaian 
67	fire	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	aperu	nan	- - a - p e r u	"('fire', 'alor1247-baran', ""a'pe:"")"	datasets/keraf/Mingar.tsv	148. Api 
68	smoke	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	sənəgur	nan	- - s ə - - n ə g u r - -	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	datasets/keraf/Mingar.tsv	150. Asap 
70	dust; fine earth	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	əmutu	nan	- - - ə m u t u	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Mingar.tsv	15. Debu
70	dust; fine earth	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kawok	nan	k - - a w o k -	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	datasets/keraf/Mingar.tsv	151. Abu 
75	sand	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	bota	nan	b o t a -	('sand', 'keda1252-leuwa', 'buta')	datasets/keraf/Mingar.tsv	121. Pasir 
76	grass; brush	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	rearu	nan	- - r ea r u - -	('grass; brush', 'lama1277-minga', 'rearu')	datasets/keraf/Mingar.tsv	118. Rumput 
84	tree	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kaju	nan	- k a - - j u - - - - - - - - - - - - -	"('tree', 'alor1247-besar', ""'kaʤɔ"")"	datasets/keraf/Mingar.tsv	110. Pohon 
87	leaf	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	lolo	nan	- - - - - l o l o -	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	datasets/keraf/Mingar.tsv	112. Daun 
91	root	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ramut	nan	r a m u t - -	('root', 'lama1277-baipi', 'amut')	datasets/keraf/Mingar.tsv	114. Akar 
92	fruit	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	fuak	nan	- - - - - f - u - a k - -	('fruit', 'keda1252', 'wuan')	datasets/keraf/Mingar.tsv	117. Buah 
93	seed	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kuluk	nan	k u l u k - -	"('seed', 'alor1247-baran', ""'kuluŋ"")"	datasets/keraf/Mingar.tsv	115. Biji 
95	flower	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	puŋa	nan	p u ŋ a - -	('flower', 'abui1241-fuime', 'kiki')	datasets/keraf/Mingar.tsv	116. Bunga 
129	salt	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	iraru	nan	- i r a r u	"('salt', 'alor1247-baran', ""'siʔa"")"	datasets/keraf/Mingar.tsv	128. Garam 
130	fat	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	fojak	nan	f o - - j a k - -	('fat', 'lama1277-baipi', 'wora')	datasets/keraf/Mingar.tsv	104. Lemak 
131	flesh; meat	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	eləm	nan	- - - e l ə m	('flesh; meat', 'lama1277-imulo', 'elam')	datasets/keraf/Mingar.tsv	103. Daging 
132	bone	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	riuk	nan	- - - r iu - - k - - -	"('bone', 'alor1247-baran', ""ru'ʔiŋ"")"	datasets/keraf/Mingar.tsv	19. Tulang
136	blood	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	səmei	nan	s ə m ei - -	('blood', 'lama1277-adona', 'mei')	datasets/keraf/Mingar.tsv	26. Darah
138	heart	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	puo	nan	- p uo - - - - - - -	"('heart', 'buna1278-malia', ""'huɑn"")"	datasets/keraf/Mingar.tsv	22. Jantung
139	liver	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	orasa	nan	o r a s a	('liver', 'lama1277-imulo', 'orasa')	datasets/keraf/Mingar.tsv	21. Hati
144	stomach; belly	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	taisa	nan	- - t ai - - s a	('stomach; belly', 'lama1277-baipi', 'ale')	datasets/keraf/Mingar.tsv	18. Perut
145	head	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	ulu	nan	- - u l u - - - - -	('head', 'adan1251-lawah', 'loŋ')	datasets/keraf/Mingar.tsv	27. Kepala
146	hair	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	lata	nan	l a t a - - - - -	"('hair', 'alor1247-baran', ""'rata"")"	datasets/keraf/Mingar.tsv	29. Rambut
148	eye	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kuluk	nan	k u l u k - -	('eye', 'lama1277-imulo', 'kulukəs')	datasets/keraf/Mingar.tsv	47. Mata
149	ear	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kiŋasa	nan	k i ŋ a s a	('ear', 'lama1277-imulo', 'kiŋasa')	datasets/keraf/Mingar.tsv	45. Telinga
150	nose	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	niju	nan	n i j u - - -	"('nose', 'alor1247-baran', ""'ir:uŋ"")"	datasets/keraf/Mingar.tsv	30. Hidung
151	mouth	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	nusa	nan	- n u s a - - - - - -	('mouth', 'keda1252', 'nunu')	datasets/keraf/Mingar.tsv	33. Mulut
155	tongue	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	efel	nan	- e f e l - -	"('tongue', 'alor1247-baran', ""'fɛfɛl"")"	datasets/keraf/Mingar.tsv	35. Lidah
156	neck	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	fule	nan	f u l e - -	"('neck', 'alor1247-besar', ""'fuliŋ"")"	datasets/keraf/Mingar.tsv	28. Leher
164	hand	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	limasa	nan	- - - - - l i m a - - s a - - - - -	('arm', 'keda1252-leuba', 'liŋ')	datasets/keraf/Mingar.tsv	1. Tangan
175	foot	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	lijesa	nan	l i - j e s a - - - - - - - -	"('foot', 'alor1247-baran', ""'leiŋ ka'lumak"")"	datasets/keraf/Mingar.tsv	4. Kaki
179	back	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kətubəsa	nan	k ə t u b ə - - s a	('back', 'lama1277-horow', 'kənuwənək')	datasets/keraf/Mingar.tsv	17. Punggung
182	skin	lama1277-minga	Lamaholot-Mingar	Austronesian	8Lembata	kamak	nan	k a m a k - - -	"('skin', 'alor1247-baran', ""'kamaŋ"")"	datasets/keraf/Mingar.tsv	16. Kulit
