Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Mulan	Austronesian	8Lembata	kəlɤ	nan				133. Langit 
1	sun		Mulan	Austronesian	8Lembata	ləra	nan				134. Matahari 
3	star		Mulan	Austronesian	8Lembata	bəlia	nan				135. Bintang 
4	night		Mulan	Austronesian	8Lembata	rəma	nan				171. Malam 
5	day		Mulan	Austronesian	8Lembata	ləro	nan				173. Hari 
6	year		Mulan	Austronesian	8Lembata	tu	nan				172. Tahun 
13	cloud		Mulan	Austronesian	8Lembata	kəkə	nan				136. Awan 
14	wind		Mulan	Austronesian	8Lembata	əŋi	nan				140. Angin 
15	rain		Mulan	Austronesian	8Lembata	urɤ	nan				138. Hujan 
23	ice		Mulan	Austronesian	8Lembata	—	nan				124. Es 
24	snow		Mulan	Austronesian	8Lembata	—	nan				139. Salju 
25	lake		Mulan	Austronesian	8Lembata	liwo	nan				129. Danau 
26	mountain		Mulan	Austronesian	8Lembata	ile	nan				131. Gunung 
32	stone		Mulan	Austronesian	8Lembata	wato	nan				120. Batu 
39	forest		Mulan	Austronesian	8Lembata	məgə	nan				132. Hutan
51	rope		Mulan	Austronesian	8Lembata	tale	nan				65. Tali
65	clothing		Mulan	Austronesian	8Lembata	alelolo	nan				68. Pakaian 
67	fire		Mulan	Austronesian	8Lembata	ape	nan				148. Api 
68	smoke		Mulan	Austronesian	8Lembata	nuhu	nan				150. Asap 
75	sand		Mulan	Austronesian	8Lembata	botɤ	nan				121. Pasir 
84	tree		Mulan	Austronesian	8Lembata	kajo	nan				110. Pohon 
87	leaf		Mulan	Austronesian	8Lembata	lolo	nan				112. Daun 
91	root		Mulan	Austronesian	8Lembata	ramut	nan				114. Akar 
92	fruit		Mulan	Austronesian	8Lembata	wuɤ	nan				117. Buah 
93	seed		Mulan	Austronesian	8Lembata	kənuluk	nan				115. Biji 
95	flower		Mulan	Austronesian	8Lembata	puhu	nan				116. Bunga 
129	salt		Mulan	Austronesian	8Lembata	sia	nan				128. Garam 
130	fat		Mulan	Austronesian	8Lembata	worɤ	nan				104. Lemak 
132	bone		Mulan	Austronesian	8Lembata	riuk	nan				19. Tulang
136	blood		Mulan	Austronesian	8Lembata	mehi	nan				26. Darah
