Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	lewa	nan	nan	('sky', 'lama1277-paina', 'lewa')	nan	133. Langit 
1	sun	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	luwak	nan	nan	('sun', 'lama1277-kalik', 'luwak')	nan	134. Matahari 
3	star	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	tonar	nan	nan	('star', 'lama1277-imulo', 'tonar')	nan	135. Bintang 
4	night	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	bukən	nan	nan	"('night', 'keda1252', ""u'bɛn"")"	nan	171. Malam 
5	day	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	ləyonən	nan	nan	"('day', 'alor1247-besar', ""la'ra"")"	nan	173. Hari 
6	year	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	tunanən	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan	172. Tahun 
13	cloud	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	kowar	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14	wind	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	aŋin	nan	nan	"('wind', 'alor1247-baran', ""'aŋi"")"	nan	140. Angin 
15	rain	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	ujan	nan	nan	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan	138. Hujan 
22	river; stream	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	wai	nan	nan	('river; stream', 'lama1277-baipi', 'wai_ba')	nan	130. Sungai 
25	lake	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	liwuŋən	nan	nan	"('lake', 'lama1277-adona', ""'liwo"")"	nan	129. Danau 
26	mountain	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	iler	nan	nan	('mountain', 'alor1249-sar-n', 'yihil')	nan	131. Gunung 
30	Earth	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	ənay	nan	nan	('Earth', 'lama1277-baipi', 'tana')	nan	119. Tanah 
32	stone	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	wator	nan	nan	"('stone', 'alor1247-baran', ""'fato"")"	nan	120. Batu 
35	water (fresh)	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	waer	nan	nan	"('water (fresh)', 'alor1247-besar', ""'fei"")"	nan	122. Air 
36	sea; sea water	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	loyor	nan	nan	('sea; sea water', 'lama1277-baipi', 'tahik')	nan	127. Laut 
39	forest	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	kowoten	nan	nan	('forest', 'lama1277-paina', 'kowoten')	nan	132. Hutan
45	road; path; way	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	lalan	nan	nan	('road; path; way', 'lama1277-belan', 'lara')	nan	7. Jalan
51	rope	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	tali	nan	nan	('rope', 'lama1277-baipi', 'tale')	nan	65. Tali
65	clothing	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	alelolo	nan	nan	('clothing', 'kafo1240', 'ʔɑlɑl')	nan	68. Pakaian 
67	fire	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	aper	nan	nan	"('fire', 'alor1247-baran', ""a'pe:"")"	nan	148. Api 
68	smoke	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	nunan	nan	nan	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	nan	150. Asap 
70	dust; fine earth	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	əmut	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	15. Debu
70	dust; fine earth	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	kawok	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	151. Abu 
75	sand	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	botan	nan	nan	('sand', 'keda1252-leuwa', 'buta')	nan	121. Pasir 
76	grass; brush	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	mewaw	nan	nan	('grass; brush', 'lama1277-baipi', 'kərəmət')	nan	118. Rumput 
84	tree	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	kayo	nan	nan	"('tree', 'alor1247-besar', ""'kaʤɔ"")"	nan	110. Pohon 
87	leaf	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	lolon	nan	nan	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	nan	112. Daun 
91	root	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	ramutən	nan	nan	('root', 'lama1277-baipi', 'amut')	nan	114. Akar 
92	fruit	lama1277-paina	Lamaholot-Painara	Austronesian	8Lembata	wuakən	nan	nan	"('fruit', 'alor1247-pandai', ""'punak"")"	nan	117. Buah 
