Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kulã	nan	nan	nan	nan	133. Langit 
1	sun	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ləra	nan	nan	('sun', 'cent2245-hewa', 'ləro')	nan	134. Matahari 
3	star	lama1277-pukau	Pukaunu	Austronesian	8Lembata	talaʔ	nan	nan	('star', 'lama1277-baipi', 'pətala')	nan	135. Bintang 
4	night	lama1277-pukau	Pukaunu	Austronesian	8Lembata	noko	nan	nan	('night', 'cent2245-hewa', 'guman')	nan	171. Malam 
5	day	lama1277-pukau	Pukaunu	Austronesian	8Lembata	lərõ	nan	nan	nan	nan	173. Hari 
6	year	lama1277-pukau	Pukaunu	Austronesian	8Lembata	sũ	nan	nan	nan	nan	172. Tahun 
13	cloud	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kowa	nan	nan	('cloud', 'lama1277-baipi', 'kowa')	nan	136. Awan 
14	wind	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ləmur	nan	nan	('wind', 'lama1277-baipi', 'aŋi')	nan	140. Angin 
15	rain	lama1277-pukau	Pukaunu	Austronesian	8Lembata	urã	nan	nan	nan	nan	138. Hujan 
25	lake	lama1277-pukau	Pukaunu	Austronesian	8Lembata	liwo	nan	nan	('lake', 'lama1277-baipi', 'suŋe')	nan	129. Danau 
26	mountain	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ile	nan	nan	('mountain', 'lama1277-baipi', 'ile')	nan	131. Gunung 
32	stone	lama1277-pukau	Pukaunu	Austronesian	8Lembata	wato	nan	nan	('stone', 'keda1252', 'waʔ')	nan	120. Batu 
39	forest	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ruka onã	nan	nan	nan	nan	132. Hutan
51	rope	lama1277-pukau	Pukaunu	Austronesian	8Lembata	tale	nan	nan	('rope', 'lama1277-baipi', 'tale')	nan	65. Tali
65	clothing	lama1277-pukau	Pukaunu	Austronesian	8Lembata	akopake	nan	nan	('clothing', 'lama1277-baipi', 'agopake')	nan	68. Pakaian 
67	fire	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ape	nan	nan	('fire', 'lama1277-baipi', 'ape')	nan	148. Api 
68	smoke	lama1277-pukau	Pukaunu	Austronesian	8Lembata	nuhã	nan	nan	nan	nan	150. Asap 
75	sand	lama1277-pukau	Pukaunu	Austronesian	8Lembata	wəra	nan	nan	('sand', 'lama1277-baipi', 'wəra')	nan	121. Pasir 
84	tree	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kayu	nan	nan	('tree', 'lama1277-baipi', 'kajo')	nan	110. Pohon 
87	leaf	lama1277-pukau	Pukaunu	Austronesian	8Lembata	loloŋ	nan	nan	('leaf', 'lama1277-baipi', 'ləpa')	nan	112. Daun 
91	root	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ramut	nan	nan	('root', 'cent2245-hewa', 'ramut')	nan	114. Akar 
92	fruit	lama1277-pukau	Pukaunu	Austronesian	8Lembata	wuʔã	nan	nan	nan	nan	117. Buah 
93	seed	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kuluʔũ	nan	nan	nan	nan	115. Biji 
95	flower	lama1277-pukau	Pukaunu	Austronesian	8Lembata	puhũ	nan	nan	nan	nan	116. Bunga 
129	salt	lama1277-pukau	Pukaunu	Austronesian	8Lembata	siʔa	nan	nan	('salt', 'lama1277-baipi', 'siʔa')	nan	128. Garam 
130	fat	lama1277-pukau	Pukaunu	Austronesian	8Lembata	woraʔã	nan	nan	nan	nan	104. Lemak 
132	bone	lama1277-pukau	Pukaunu	Austronesian	8Lembata	riʔuk	nan	nan	('bone', 'cent2245-hewa', 'lurin')	nan	19. Tulang
136	blood	lama1277-pukau	Pukaunu	Austronesian	8Lembata	mei	nan	nan	('blood', 'lama1277-baipi', 'mei')	nan	26. Darah
139	liver	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ate	nan	nan	('liver', 'lama1277-ileap', 'ate')	nan	21. Hati
145	head	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kotã	nan	nan	nan	nan	27. Kepala
146	hair	lama1277-pukau	Pukaunu	Austronesian	8Lembata	ratak	nan	nan	('hair', 'lama1277-baipi', 'rata')	nan	29. Rambut
148	eye	lama1277-pukau	Pukaunu	Austronesian	8Lembata	mata	nan	nan	('eye', 'lama1277-baipi', 'mata')	nan	47. Mata
149	ear	lama1277-pukau	Pukaunu	Austronesian	8Lembata	tilu	nan	nan	('ear', 'lama1277-baipi', 'tilu')	nan	45. Telinga
150	nose	lama1277-pukau	Pukaunu	Austronesian	8Lembata	irũ	nan	nan	nan	nan	30. Hidung
151	mouth	lama1277-pukau	Pukaunu	Austronesian	8Lembata	wəwa	nan	nan	('mouth', 'abui1241-fuime', 'tawaabak')	nan	33. Mulut
155	tongue	lama1277-pukau	Pukaunu	Austronesian	8Lembata	wewel	nan	nan	('tongue', 'lama1277-baipi', 'wewe')	nan	35. Lidah
156	neck	lama1277-pukau	Pukaunu	Austronesian	8Lembata	wulĩ	nan	nan	nan	nan	28. Leher
164	hand	lama1277-pukau	Pukaunu	Austronesian	8Lembata	lima	nan	nan	('hand', 'cent2245-hewa', 'lima')	nan	1. Tangan
175	foot	lama1277-pukau	Pukaunu	Austronesian	8Lembata	lei	nan	nan	('foot', 'lama1277-baipi', 'lei')	nan	4. Kaki
179	back	lama1277-pukau	Pukaunu	Austronesian	8Lembata	nobe	nan	nan	('back', 'lama1277-baipi', 'hurut')	nan	17. Punggung
182	skin	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kulit	nan	nan	('skin', 'lama1277-baipi', 'kulit')	nan	16. Kulit
190	person	lama1277-pukau	Pukaunu	Austronesian	8Lembata	atadikẽ	nan	nan	nan	nan	53. Orang
191	name	lama1277-pukau	Pukaunu	Austronesian	8Lembata	narã	nan	nan	nan	nan	63. Nama
192	child	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kəreŋ	nan	nan	('child', 'lama1277-baipi', 'ana')	nan	56. Anak
193	man	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kake	nan	nan	('man', 'lama1277-baipi', 'bəlaki')	nan	54. Laki-laki
194	woman	lama1277-pukau	Pukaunu	Austronesian	8Lembata	vae	nan	nan	('woman', 'lama1277-bama', 'inawae')	nan	55. Wanita
195	husband	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kakehe	nan	nan	('husband', 'lama1277-bama', 'lake')	nan	57. Suami
196	wife	lama1277-pukau	Pukaunu	Austronesian	8Lembata	vahe	nan	nan	('wife', 'lama1277-baipi', 'kəwae')	nan	58. Isteri
197	mother	lama1277-pukau	Pukaunu	Austronesian	8Lembata	əmaʔ	nan	nan	('mother', 'lama1277-baipi', 'əmaʔ')	nan	59. Ibu
198	father	lama1277-pukau	Pukaunu	Austronesian	8Lembata	baʔ	nan	nan	('father', 'cent2245-hewa', 'ama')	nan	60. Bapak
199	older sibling	lama1277-pukau	Pukaunu	Austronesian	8Lembata	kakaʔ	nan	nan	('older sibling', 'lama1277-baipi', 'kakaʔ')	nan	61. Kakak
