Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Ritaebang	Austronesian	8Lembata	kəlã	nan				133. Langit 
1	sun		Ritaebang	Austronesian	8Lembata	ləra	nan				134. Matahari 
3	star		Ritaebang	Austronesian	8Lembata	bəlia	nan				135. Bintang 
4	night		Ritaebang	Austronesian	8Lembata	noko	nan				171. Malam 
5	day		Ritaebang	Austronesian	8Lembata	lərõ	nan				173. Hari 
6	year		Ritaebang	Austronesian	8Lembata	tũ	nan				172. Tahun 
13	cloud		Ritaebang	Austronesian	8Lembata	kowa	nan				136. Awan 
14	wind		Ritaebang	Austronesian	8Lembata	aŋi	nan				140. Angin 
15	rain		Ritaebang	Austronesian	8Lembata	urã	nan				138. Hujan 
23	ice		Ritaebang	Austronesian	8Lembata	—	nan				124. Es 
24	snow		Ritaebang	Austronesian	8Lembata	—	nan				139. Salju 
25	lake		Ritaebang	Austronesian	8Lembata	liwu	nan				129. Danau 
26	mountain		Ritaebang	Austronesian	8Lembata	ile	nan				131. Gunung 
32	stone		Ritaebang	Austronesian	8Lembata	wato	nan				120. Batu 
39	forest		Ritaebang	Austronesian	8Lembata	pənɤ	nan				132. Hutan
51	rope		Ritaebang	Austronesian	8Lembata	tale	nan				65. Tali
65	clothing		Ritaebang	Austronesian	8Lembata	alelolõ	nan				68. Pakaian 
67	fire		Ritaebang	Austronesian	8Lembata	ape	nan				148. Api 
68	smoke		Ritaebang	Austronesian	8Lembata	nuhu	nan				150. Asap 
75	sand		Ritaebang	Austronesian	8Lembata	wəra	nan				121. Pasir 
84	tree		Ritaebang	Austronesian	8Lembata	kayo	nan				110. Pohon 
87	leaf		Ritaebang	Austronesian	8Lembata	ləpã	nan				112. Daun 
91	root		Ritaebang	Austronesian	8Lembata	amut	nan				114. Akar 
92	fruit		Ritaebang	Austronesian	8Lembata	wuã	nan				117. Buah 
93	seed		Ritaebang	Austronesian	8Lembata	lõhõ	nan				115. Biji 
95	flower		Ritaebang	Austronesian	8Lembata	puhũ	nan				116. Bunga 
129	salt		Ritaebang	Austronesian	8Lembata	siʔa	nan				128. Garam 
130	fat		Ritaebang	Austronesian	8Lembata	worã(kahal)	nan				104. Lemak 
132	bone		Ritaebang	Austronesian	8Lembata	riʔuk	nan				19. Tulang
136	blood		Ritaebang	Austronesian	8Lembata	mei	nan				26. Darah
138	heart		Ritaebang	Austronesian	8Lembata	puho	nan				22. Jantung
139	liver		Ritaebang	Austronesian	8Lembata	ate	nan				21. Hati
145	head		Ritaebang	Austronesian	8Lembata	kotã	nan				27. Kepala
146	hair		Ritaebang	Austronesian	8Lembata	rata	nan				29. Rambut
148	eye		Ritaebang	Austronesian	8Lembata	mata	nan				47. Mata
149	ear		Ritaebang	Austronesian	8Lembata	tilũ	nan				45. Telinga
150	nose		Ritaebang	Austronesian	8Lembata	irũ	nan				30. Hidung
151	mouth		Ritaebang	Austronesian	8Lembata	wəwa	nan				33. Mulut
155	tongue		Ritaebang	Austronesian	8Lembata	wewel	nan				35. Lidah
156	neck		Ritaebang	Austronesian	8Lembata	wulĩ	nan				28. Leher
164	hand		Ritaebang	Austronesian	8Lembata	lima	nan				1. Tangan
175	foot		Ritaebang	Austronesian	8Lembata	lei	nan				4. Kaki
179	back		Ritaebang	Austronesian	8Lembata	uhuk	nan				17. Punggung
182	skin		Ritaebang	Austronesian	8Lembata	kamaʔ	nan				16. Kulit
190	person		Ritaebang	Austronesian	8Lembata	atadikã	nan				53. Orang
191	name		Ritaebang	Austronesian	8Lembata	narã	nan				63. Nama
192	child		Ritaebang	Austronesian	8Lembata	ana	nan				56. Anak
193	man		Ritaebang	Austronesian	8Lembata	bəlake	nan				54. Laki-laki
194	woman		Ritaebang	Austronesian	8Lembata	bərkəwãe	nan				55. Wanita
195	husband		Ritaebang	Austronesian	8Lembata	lake	nan				57. Suami
196	wife		Ritaebang	Austronesian	8Lembata	kəwãe	nan				58. Isteri
197	mother		Ritaebang	Austronesian	8Lembata	əma	nan				59. Ibu
