Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Tanjung	Austronesian	8Lembata	kəlã	nan				133. Langit 
1	sun		Tanjung	Austronesian	8Lembata	ləra	nan				134. Matahari 
3	star		Tanjung	Austronesian	8Lembata	kətala	nan				135. Bintang 
4	night		Tanjung	Austronesian	8Lembata	noko	nan				171. Malam 
5	day		Tanjung	Austronesian	8Lembata	lərõ	nan				173. Hari 
6	year		Tanjung	Austronesian	8Lembata	sũ	nan				172. Tahun 
13	cloud		Tanjung	Austronesian	8Lembata	kowa	nan				136. Awan 
14	wind		Tanjung	Austronesian	8Lembata	aŋi	nan				140. Angin 
15	rain		Tanjung	Austronesian	8Lembata	urã	nan				138. Hujan 
23	ice		Tanjung	Austronesian	8Lembata	—	nan				124. Es 
24	snow		Tanjung	Austronesian	8Lembata	—	nan				139. Salju 
25	lake		Tanjung	Austronesian	8Lembata	liwo	nan				129. Danau 
26	mountain		Tanjung	Austronesian	8Lembata	ile	nan				131. Gunung 
32	stone		Tanjung	Austronesian	8Lembata	wato	nan				120. Batu 
39	forest		Tanjung	Austronesian	8Lembata	duã	nan				132. Hutan
51	rope		Tanjung	Austronesian	8Lembata	tale	nan				65. Tali
65	clothing		Tanjung	Austronesian	8Lembata	alelolo	nan				68. Pakaian 
67	fire		Tanjung	Austronesian	8Lembata	ape	nan				148. Api 
68	smoke		Tanjung	Austronesian	8Lembata	nuhu	nan				150. Asap 
75	sand		Tanjung	Austronesian	8Lembata	wəra	nan				121. Pasir 
84	tree		Tanjung	Austronesian	8Lembata	kajo	nan				110. Pohon 
87	leaf		Tanjung	Austronesian	8Lembata	lolo	nan				112. Daun 
91	root		Tanjung	Austronesian	8Lembata	ramut	nan				114. Akar 
92	fruit		Tanjung	Austronesian	8Lembata	wua	nan				117. Buah 
93	seed		Tanjung	Austronesian	8Lembata	kuluʔ	nan				115. Biji 
95	flower		Tanjung	Austronesian	8Lembata	puhũ	nan				116. Bunga 
129	salt		Tanjung	Austronesian	8Lembata	siʔa	nan				128. Garam 
130	fat		Tanjung	Austronesian	8Lembata	worã	nan				104. Lemak 
132	bone		Tanjung	Austronesian	8Lembata	riʔuk	nan				19. Tulang
136	blood		Tanjung	Austronesian	8Lembata	mei	nan				26. Darah
138	heart		Tanjung	Austronesian	8Lembata	puhũ	nan				22. Jantung
139	liver		Tanjung	Austronesian	8Lembata	ate	nan				21. Hati
145	head		Tanjung	Austronesian	8Lembata	kotək	nan				27. Kepala
146	hair		Tanjung	Austronesian	8Lembata	rata	nan				29. Rambut
148	eye		Tanjung	Austronesian	8Lembata	mata	nan				47. Mata
149	ear		Tanjung	Austronesian	8Lembata	tilu	nan				45. Telinga
150	nose		Tanjung	Austronesian	8Lembata	irũ	nan				30. Hidung
151	mouth		Tanjung	Austronesian	8Lembata	wəwak	nan				33. Mulut
155	tongue		Tanjung	Austronesian	8Lembata	wewel	nan				35. Lidah
156	neck		Tanjung	Austronesian	8Lembata	wuli	nan				28. Leher
164	hand		Tanjung	Austronesian	8Lembata	lima	nan				1. Tangan
175	foot		Tanjung	Austronesian	8Lembata	lei	nan				4. Kaki
179	back		Tanjung	Austronesian	8Lembata	kolaʔ	nan				17. Punggung
182	skin		Tanjung	Austronesian	8Lembata	kama	nan				16. Kulit
190	person		Tanjung	Austronesian	8Lembata	ata	nan				53. Orang
191	name		Tanjung	Austronesian	8Lembata	narã	nan				63. Nama
192	child		Tanjung	Austronesian	8Lembata	ana	nan				56. Anak
193	man		Tanjung	Austronesian	8Lembata	amalake	nan				54. Laki-laki
194	woman		Tanjung	Austronesian	8Lembata	inawae	nan				55. Wanita
195	husband		Tanjung	Austronesian	8Lembata	lake	nan				57. Suami
196	wife		Tanjung	Austronesian	8Lembata	kəwae	nan				58. Isteri
197	mother		Tanjung	Austronesian	8Lembata	əma	nan				59. Ibu
198	father		Tanjung	Austronesian	8Lembata	bapa	nan				60. Bapak
199	older sibling		Tanjung	Austronesian	8Lembata	kaka	nan				61. Kakak
200	younger sibling		Tanjung	Austronesian	8Lembata	adeʔ	nan				62. Adik
203	1sg		Tanjung	Austronesian	8Lembata	go	nan				184. Saya 
206	3sg		Tanjung	Austronesian	8Lembata	naʔe	nan				186. Dia 
210	3pl		Tanjung	Austronesian	8Lembata	ra	nan				189. Mereka 
212	and		Tanjung	Austronesian	8Lembata	noʔo	nan				197. Dan 
213	because		Tanjung	Austronesian	8Lembata	pukã	nan				199. Sebab 
214	if		Tanjung	Austronesian	8Lembata	kalu	nan				200. Jikalau 
215	with		Tanjung	Austronesian	8Lembata	noʔo	nan				198. Dengan
223	this		Tanjung	Austronesian	8Lembata	piʔĩ	nan				179. Ini 
224	that		Tanjung	Austronesian	8Lembata	peʔẽ	nan				180. Itu 
227	here		Tanjung	Austronesian	8Lembata	pia	nan				177. Di sini 
228	there		Tanjung	Austronesian	8Lembata	pəwəli	nan				178. Di situ 
234	all		Tanjung	Austronesian	8Lembata	wahak	nan				196. Semua 
235	many		Tanjung	Austronesian	8Lembata	ajã	nan				194. Banyak 
236	animal		Tanjung	Austronesian	8Lembata	əwã	nan				102. Binatang 
238	dog		Tanjung	Austronesian	8Lembata	aho	nan				96. Anjing 
250	fish		Tanjung	Austronesian	8Lembata	ikã	nan				109. Ikan 
259	bird		Tanjung	Austronesian	8Lembata	kolõ	nan				97. Burung 
260	wing		Tanjung	Austronesian	8Lembata	kəpiʔ	nan				100. Sayap 
262	feather		Tanjung	Austronesian	8Lembata	rawuk	nan				99. Bulu 
264	snake		Tanjung	Austronesian	8Lembata	ulaʔ	nan				106. Ular 
266	egg		Tanjung	Austronesian	8Lembata	təluk	nan				98. Telur 
281	big		Tanjung	Austronesian	8Lembata	belə	nan				158. Besar 
282	small		Tanjung	Austronesian	8Lembata	kəni	nan				157. Kecil 
288	hot		Tanjung	Austronesian	8Lembata	pəlate	nan				142. Panas 
289	cold		Tanjung	Austronesian	8Lembata	gələtã	nan				143. Dingin 
290	good		Tanjung	Austronesian	8Lembata	mae	nan				168. Baik 
291	bad		Tanjung	Austronesian	8Lembata	datã	nan				169. Jelek
294	near		Tanjung	Austronesian	8Lembata	dahe	nan				181. Dekat 
295	far		Tanjung	Austronesian	8Lembata	doa	nan				182. Jauh 
296	wet		Tanjung	Austronesian	8Lembata	dəma	nan				145. Basah 
297	dry		Tanjung	Austronesian	8Lembata	mara	nan				144. Kering 
299	long		Tanjung	Austronesian	8Lembata	bəlaha	nan				160. Panjang 
301	short		Tanjung	Austronesian	8Lembata	ətu	nan				159. Pendek 
305	thick		Tanjung	Austronesian	8Lembata	bəsiʔ	nan				162. Tebal 
309	dirty		Tanjung	Austronesian	8Lembata	milã	nan				14. Kotor
311	sharp		Tanjung	Austronesian	8Lembata	dəkət	nan				81. Tajam 
