Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky		Waibalun	Austronesian	8Lembata	kəlẽ	nan	nan	nan	nan	133. Langit 
1	sun		Waibalun	Austronesian	8Lembata	ləra	nan	nan	nan	nan	134. Matahari 
3	star		Waibalun	Austronesian	8Lembata	pətala	nan	nan	nan	nan	135. Bintang 
4	night		Waibalun	Austronesian	8Lembata	nokõ	nan	nan	nan	nan	171. Malam 
5	day		Waibalun	Austronesian	8Lembata	lərõ	nan	nan	nan	nan	173. Hari 
6	year		Waibalun	Austronesian	8Lembata	sũ	nan	nan	nan	nan	172. Tahun 
13	cloud		Waibalun	Austronesian	8Lembata	kowa	nan	nan	nan	nan	136. Awan 
14	wind		Waibalun	Austronesian	8Lembata	aŋi	nan	nan	nan	nan	140. Angin 
15	rain		Waibalun	Austronesian	8Lembata	urã	nan	nan	nan	nan	138. Hujan 
23	ice		Waibalun	Austronesian	8Lembata	—	nan	nan	nan	nan	124. Es 
24	snow		Waibalun	Austronesian	8Lembata	—	nan	nan	nan	nan	139. Salju 
25	lake		Waibalun	Austronesian	8Lembata	liwuk	nan	nan	nan	nan	129. Danau 
26	mountain		Waibalun	Austronesian	8Lembata	ile	nan	nan	nan	nan	131. Gunung 
32	stone		Waibalun	Austronesian	8Lembata	wato	nan	nan	nan	nan	120. Batu 
39	forest		Waibalun	Austronesian	8Lembata	kajo onã	nan	nan	nan	nan	132. Hutan
51	rope		Waibalun	Austronesian	8Lembata	tale	nan	nan	nan	nan	65. Tali
65	clothing		Waibalun	Austronesian	8Lembata	agopake	nan	nan	nan	nan	68. Pakaian 
67	fire		Waibalun	Austronesian	8Lembata	ape	nan	nan	nan	nan	148. Api 
68	smoke		Waibalun	Austronesian	8Lembata	nuhu	nan	nan	nan	nan	150. Asap 
75	sand		Waibalun	Austronesian	8Lembata	wəra	nan	nan	nan	nan	121. Pasir 
84	tree		Waibalun	Austronesian	8Lembata	kajo	nan	nan	nan	nan	110. Pohon 
87	leaf		Waibalun	Austronesian	8Lembata	lolo	nan	nan	nan	nan	112. Daun 
91	root		Waibalun	Austronesian	8Lembata	amut	nan	nan	nan	nan	114. Akar 
92	fruit		Waibalun	Austronesian	8Lembata	wuã	nan	nan	nan	nan	117. Buah 
93	seed		Waibalun	Austronesian	8Lembata	kənuluʔ	nan	nan	nan	nan	115. Biji 
95	flower		Waibalun	Austronesian	8Lembata	puhũ	nan	nan	nan	nan	116. Bunga 
