Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Indonesian
0	sky	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	kəlã	nan	nan	"('sky', 'alor1247-pandai', ""'kalːeŋ"")"	nan	133. Langit 
1	sun	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	ləra	nan	nan	"('sun', 'alor1247-baran', ""la'ra"")"	nan	134. Matahari 
3	star	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	pətala	nan	nan	"('star', 'alor1247-baran', ""ta'mala"")"	nan	135. Bintang 
4	night	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	rəmã	nan	nan	('night', 'lama1277-adona', 'ˈrɜmaʔ')	nan	171. Malam 
5	day	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	rərõ	nan	nan	"('day', 'alor1247-baran', ""la'ra:"")"	nan	173. Hari 
6	year	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	tũ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan	172. Tahun 
13	cloud	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	abak	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan	136. Awan 
14	wind	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	aŋi	nan	nan	"('wind', 'alor1247-baran', ""'aŋi"")"	nan	140. Angin 
15	rain	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	urã	nan	nan	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan	138. Hujan 
22	river; stream	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	wai	nan	nan	('river; stream', 'lama1277-baipi', 'wai_ba')	nan	130. Sungai 
25	lake	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	liwo	nan	nan	"('lake', 'lama1277-adona', ""'liwo"")"	nan	129. Danau 
26	mountain	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	ile	nan	nan	('mountain', 'alor1249-sar-n', 'yihil')	nan	131. Gunung 
30	Earth	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	tana	nan	nan	('Earth', 'lama1277-baipi', 'tana')	nan	119. Tanah 
32	stone	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	wato	nan	nan	('stone', 'abui1241-fuime', 'vi')	nan	120. Batu 
35	water (fresh)	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	wai	nan	nan	"('water (fresh)', 'alor1247-besar', ""'fei"")"	nan	122. Air 
36	sea; sea water	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	tahik	nan	nan	('sea; sea water', 'lama1277-baipi', 'tahik')	nan	127. Laut 
39	forest	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	rukã	nan	nan	"('forest', 'lama1277-adona', ""'ruːkʔãː"")"	nan	132. Hutan
45	road; path; way	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	larã	nan	nan	('road; path; way', 'lama1277-baipi', 'rarã')	nan	7. Jalan
51	rope	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	tale	nan	nan	('rope', 'lama1277-baipi', 'tale')	nan	65. Tali
65	clothing	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	alelolo	nan	nan	('clothing', 'kafo1240', 'ʔɑlɑl')	nan	68. Pakaian 
67	fire	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	ape	nan	nan	"('fire', 'alor1247-baran', ""a'pe:"")"	nan	148. Api 
68	smoke	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	nuhu	nan	nan	"('smoke', 'alor1247-besar', ""pa'nuhuŋ"")"	nan	150. Asap 
70	dust; fine earth	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	əmut	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	15. Debu
70	dust; fine earth	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	kəʔawuk	nan	nan	('dust; fine earth', 'lama1277-baipi', 'kəawuk')	nan	151. Abu 
75	sand	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	wəra	nan	nan	"('sand', 'keda1252', ""'ʔerah"")"	nan	121. Pasir 
76	grass; brush	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	kərəmət	nan	nan	('grass; brush', 'lama1277-baipi', 'kərəmət')	nan	118. Rumput 
84	tree	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	kayo	nan	nan	"('tree', 'alor1247-baran', ""'kaʤu_'lɔlɔŋ"")"	nan	110. Pohon 
87	leaf	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	lolo	nan	nan	"('leaf', 'alor1247-baran', ""'lɔlɔŋ"")"	nan	112. Daun 
91	root	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	amut	nan	nan	('root', 'lama1277-baipi', 'amut')	nan	114. Akar 
92	fruit	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	wuã	nan	nan	"('fruit', 'alor1247-pandai', ""'punak"")"	nan	117. Buah 
93	seed	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	kəluʔũ	nan	nan	"('seed', 'alor1247-baran', ""'kuluŋ"")"	nan	115. Biji 
95	flower	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	puhũ	nan	nan	"('flower', 'alor1247-besar', ""'puhuŋ"")"	nan	116. Bunga 
129	salt	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	sia	nan	nan	('salt', 'lama1277-baipi', 'siʔa')	nan	128. Garam 
130	fat	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	kənaha	nan	nan	('fat', 'lama1277-baipi', 'wora')	nan	104. Lemak 
131	flesh; meat	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	mətã	nan	nan	('flesh; meat', 'lama1277-lewob', 'mətã')	nan	103. Daging 
132	bone	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	riuk	nan	nan	('bone', 'abui1241-takal', 'te̞̞i.pä')	nan	19. Tulang
136	blood	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	mei	nan	nan	('blood', 'lama1277-adona', 'mei')	nan	26. Darah
138	heart	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	puho	nan	nan	('heart', 'amar1273-kotos', 'bua-f')	nan	22. Jantung
139	liver	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	ate	nan	nan	"('liver', 'alor1247-baran', ""'hati"")"	nan	21. Hati
144	stomach; belly	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	tãiŋ	nan	nan	('stomach; belly', 'abui1241-fuime', 'tatok_foko')	nan	18. Perut
145	head	lama1277-waiwa	Lamaholot-Waiwadan	Austronesian	7Adonara, 1West	kotã	nan	nan	"('head', 'alor1247-besar', ""'kɔtɔŋ"")"	nan	27. Kepala
