Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
aja'kɛŋ	0.0	wers1238-marit				
wu'di:	1.0	wers1238-marit				
u'rak	2.0	wers1238-marit				
api'kal	3.0	wers1238-marit				
m'lɛng	4.0	wers1238-marit				
wu'di tɛŋ	5.0	wers1238-marit				
wu'lɛl	6.0	wers1238-marit				
wu'diŋ'lɛ	7.0	wers1238-marit				
m'lɛɲa	8.0	wers1238-marit				
(mleɲa) ɛtɛŋ 'jok	9.0	wers1238-marit				
ma'dali	10.0	wers1238-marit				
ma'dali jale 'ok	11.0	wers1238-marit				
də'laŋ g'dap	12.0	wers1238-marit				
aja'kɛŋ	13.0	wers1238-marit				
lə'pɔŋ	14.0	wers1238-marit				
aja 'mai	15.0	wers1238-marit				
aja m'se	16.0	wers1238-marit	aja mai pidik pidik			
'suka	17.0	wers1238-marit				
anu'ria	17.0	wers1238-marit				
'mɛk	18.0	wers1238-marit	kɛt'mɛk			
aja'kɛŋ ge'ma	18.0	wers1238-marit				
mɛk	19.0	wers1238-marit				
kɔ'mɛ	20.0	wers1238-marit				
a'sak	21.0	wers1238-marit				
saku'pul	21.0	wers1238-marit				
i'lu	22.0	wers1238-marit				
ira 'kou	25.0	wers1238-marit	also means 'pool'			
ira ko'ali	25.0	wers1238-marit	also means 'pool'			
a'sɛr	26.0	wers1238-marit				
'dɔl	27.0	wers1238-marit				
'mna	28.0	wers1238-marit	'hamlet', Ind. 'kampung'			
tə'muguŋ	28.0	wers1238-marit	'village', Ind. 'desa'			
'mapak	29.0	wers1238-marit				
a'tok	30.0	wers1238-marit				
'lɔk	31.0	wers1238-marit				
'wɔr	32.0	wers1238-marit				
wɔr 'slar	33.0	wers1238-marit				
'slar	34.0	wers1238-marit				
i'ra	35.0	wers1238-marit				
t'ma	36.0	wers1238-marit				
i'lal	37.0	wers1238-marit				
ku'la	38.0	wers1238-marit				
'dum	39.0	wers1238-marit				
makiŋ 'pur	40.0	wers1238-marit	sri'dum= ‘a lot of grass'			
a'toku	41.0	wers1238-marit				
'pur	42.0	wers1238-marit	pur = ladang, field; sawah = Ind. sawah, rice field			
'pur	43.0	wers1238-marit				
'ak	44.0	wers1238-marit				
'jɛl	45.0	wers1238-marit				
'spir	46.0	wers1238-marit				
'dra	47.0	wers1238-marit				
mi a'lar	48.0	wers1238-marit				
a'wil	49.0	wers1238-marit				
'ar	50.0	wers1238-marit				
kɛ'pe	51.0	wers1238-marit				
ped	52.0	wers1238-marit				
'pɔlɔŋ	53.0	wers1238-marit				
susu'rai	54.0	wers1238-marit				
wider 'bõŋ	55.0	wers1238-marit				
'dɛkɛŋ	56.0	wers1238-marit				
mas 'kui	57.0	wers1238-marit				
'mɔs	59.0	wers1238-marit				
'sik	60.0	wers1238-marit				
ki'nai	61.0	wers1238-marit				
'kaikur	62.0	wers1238-marit				
'bit	63.0	wers1238-marit				
'damu	64.0	wers1238-marit				
keŋ 'badu	65.0	wers1238-marit	keŋ = 'cloth' (Ind. kain), badu = 'shirt' (Ind. baju)			
a'da	67.0	wers1238-marit				
'punak	68.0	wers1238-marit	k=unreleased			
a'dur	70.0	wers1238-marit				
a'dur	71.0	wers1238-marit				
'dukuŋ	72.0	wers1238-marit				
lə'loma	73.0	wers1238-marit				
wɔr 'kaus	74.0	wers1238-marit				
ini'pak	75.0	wers1238-marit	k=unreleased			
'sri	76.0	wers1238-marit				
'sɔbo	77.0	wers1238-marit				
'sɔbal	78.0	wers1238-marit				
'ʔou	79.0	wers1238-marit				
kə'dil	80.0	wers1238-marit				
'damat	81.0	wers1238-marit				
'iɛde	82.0	wers1238-marit				
a'mɛŋ	83.0	wers1238-marit				
'bɔŋ	84.0	wers1238-marit				
'bɔŋ	85.0	wers1238-marit				
bɔŋ 'klut	86.0	wers1238-marit				
'lak	87.0	wers1238-marit	gəlak ‘to have leafs’			
gə'baraŋ	88.0	wers1238-marit	gə'baraŋ = 'branch' (Ind. dahan)			
gə'teŋ	88.0	wers1238-marit	gə'teŋ  =  'small branch' (Ind. ranting) 'branch' (Ind. dahan)			
a'daus	89.0	wers1238-marit				
'lɔtɔr	90.0	wers1238-marit				
səri 'piŋ	91.0	wers1238-marit				
gis	92.0	wers1238-marit	big fruit, with flesh content			
'iko	93.0	wers1238-marit				
'ʔarak	94.0	wers1238-marit	pətak (biji)			
ara'kɛs	96.0	wers1238-marit				
pə'tak	97.0	wers1238-marit				
a'rak 'mad	98.0	wers1238-marit	mad = 'cooked'			
a'rak	99.0	wers1238-marit				
bɔŋ'kau m'di	100.0	wers1238-marit				
arak 'ta	101.0	wers1238-marit				
'pui	102.0	wers1238-marit				
'mas	103.0	wers1238-marit				
'ʔɔr	104.0	wers1238-marit				
'pui mas təpa'si	105.0	wers1238-marit				
ai'lɛk	106.0	wers1238-marit				
bɔŋ'kou	107.0	wers1238-marit				
p'nɛ	108.0	wers1238-marit				
bu'la	110.0	wers1238-marit				
'ʔupa	111.0	wers1238-marit				
pɛ'tɛr	112.0	wers1238-marit				
po'tori	113.0	wers1238-marit				
wɔr 'taʔ	114.0	wers1238-marit				
a'kal	115.0	wers1238-marit				
tɔk 'boŋ	116.0	wers1238-marit				
ino 'pak	117.0	wers1238-marit				
kɔl'teŋ	118.0	wers1238-marit				
wa'boŋ	119.0	wers1238-marit				
bɛ'tiŋ	120.0	wers1238-marit				
mu'lul	121.0	wers1238-marit				
'pis	122.0	wers1238-marit				
bil'kɛi	123.0	wers1238-marit				
'naŋ	124.0	wers1238-marit				
lə'pori	125.0	wers1238-marit				
'kasu	126.0	wers1238-marit				
drin 'tɔk	127.0	wers1238-marit	driŋ= bee; tɔk = 'sap' (cf. tuak)			
a'mira	128.0	wers1238-marit				
a'sir	129.0	wers1238-marit				
si'me	130.0	wers1238-marit				
'sis	131.0	wers1238-marit				
ge'seri	132.0	wers1238-marit				
gə'bakar	133.0	wers1238-marit				
pu'nɛr	134.0	wers1238-marit				
ni'nira	135.0	wers1238-marit	1s poss			
'wei	136.0	wers1238-marit				
u'kabaŋ	138.0	wers1238-marit				
du'muriŋ	139.0	wers1238-marit				
atɔk 'muruŋ	141.0	wers1238-marit				
a'tu	142.0	wers1238-marit				
s'lar	143.0	wers1238-marit				
a'tɔk	144.0	wers1238-marit				
lɔk 'maŋ	145.0	wers1238-marit				
ni'bat	146.0	wers1238-marit	nəni'bat = 'my hair'			
'mudi	147.0	wers1238-marit				
'nirko	148.0	wers1238-marit	ti'nirko = 'our (incl) eyes'			
gə'wir 'lak	149.0	wers1238-marit	3sg poss			
te'muiŋ	150.0	wers1238-marit	1pl incl poss			
ti'bir	151.0	wers1238-marit	1pl incl poss			
twakat	152.0	wers1238-marit				
tbir	153.0	wers1238-marit				
twesi	154.0	wers1238-marit				
tebura	155.0	wers1238-marit				
tamiŋ	156.0	wers1238-marit				
tbaraŋ	157.0	wers1238-marit				
tis	158.0	wers1238-marit				
twaleser	159.0	wers1238-marit				
təmuiŋ kdar	160.0	wers1238-marit				
pdakaŋ	161.0	wers1238-marit				
təwirimaŋ	162.0	wers1238-marit				
təteŋ	163.0	wers1238-marit				
təteŋ	164.0	wers1238-marit				
gəteŋ lat	165.0	wers1238-marit				
kilas	166.0	wers1238-marit				
kuris	167.0	wers1238-marit				
ami	168.0	wers1238-marit				
terkɔdo	169.0	wers1238-marit				
kubu	170.0	wers1238-marit				
gəwal	171.0	wers1238-marit				
təlisko	172.0	wers1238-marit				
gabalaŋ	173.0	wers1238-marit				
gəwak	174.0	wers1238-marit				
te ungɛr	176.0	wers1238-marit				
gəwak lat	177.0	wers1238-marit				
gə səbuk	178.0	wers1238-marit				
gəbasir	179.0	wers1238-marit				
gə'sap	180.0	wers1238-marit				
gə'sap	181.0	wers1238-marit				
k'lut	182.0	wers1238-marit				
le'boli	183.0	wers1238-marit				
pɛt 'boli	184.0	wers1238-marit				
'lilil	185.0	wers1238-marit				
'pui mu'nin	186.0	wers1238-marit				
'lalaŋ	187.0	wers1238-marit				
'kibir	188.0	wers1238-marit				
mi'nipir	189.0	wers1238-marit				
a'niŋ	190.0	wers1238-marit				
tə'diŋ	191.0	wers1238-marit				
'-ɔl	192.0	wers1238-marit				
'limi	193.0	wers1238-marit				
'mei	194.0	wers1238-marit				
gə'limi	195.0	wers1238-marit				
gə'mei	196.0	wers1238-marit				
nɛ'ja	197.0	wers1238-marit				
nɛ'pa	198.0	wers1238-marit				
nɛ'naŋ	199.0	wers1238-marit				
nɛ'kauk	200.0	wers1238-marit				
'ali	201.0	wers1238-marit	lit. = 'to buy'			
mə'lai	202.0	wers1238-marit				
'nadi	203.0	wers1238-marit				
'gadi	204.0	wers1238-marit				
'adi	205.0	wers1238-marit				
'gadi	206.0	wers1238-marit				
'ɲadi	207.0	wers1238-marit				
'tadi	208.0	wers1238-marit				
'jadi	209.0	wers1238-marit	initial consonant is a glide			
'gadi	210.0	wers1238-marit				
'nauŋ	211.0	wers1238-marit				
'mɛr	212.0	wers1238-marit				
troŋ'pai	213.0	wers1238-marit				
'sa	214.0	wers1238-marit				
'tɛ	215.0	wers1238-marit				
'nala	216.0	wers1238-marit				
'mɛlaa	217.0	wers1238-marit				
"'tromiŋ
 
 troming te a mai"	218.0	wers1238-marit	'troglol 'from where?'			
'deiŋ 'te	219.0	wers1238-marit				
troŋ'pai	220.0	wers1238-marit				
'deiŋ	221.0	wers1238-marit				
troŋ'pai	222.0	wers1238-marit				
'ɔbu	223.0	wers1238-marit				
'gadi	224.0	wers1238-marit				
ɔ'mina	225.0	wers1238-marit				
'mira	226.0	wers1238-marit				
'ɔmi	227.0	wers1238-marit				
'mɔna	228.0	wers1238-marit				
ajaŋ'lɛ	229.0	wers1238-marit				
motu'mɔ	230.0	wers1238-marit				
'sɔrɔŋ	231.0	wers1238-marit				
'kaŋ	232.0	wers1238-marit				
p'dik	233.0	wers1238-marit				
gə'naiŋle	234.0	wers1238-marit				
'bal	235.0	wers1238-marit				
bi'nant	236.0	wers1238-marit				
kutu'wal	238.0	wers1238-marit				
'pei	239.0	wers1238-marit				
se'kok	240.0	wers1238-marit				
'durki	241.0	wers1238-marit				
'pɛko	242.0	wers1238-marit				
'luku	243.0	wers1238-marit				
arus 'pe	244.0	wers1238-marit				
wor ka'dek	245.0	wers1238-marit				
mu'duk	246.0	wers1238-marit				
mu'duk	247.0	wers1238-marit				
gə'wɛri	249.0	wers1238-marit				
a'pi	250.0	wers1238-marit				
