Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
17	rainbow	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	anuria	nan	a n u r ia	('rainbow', 'wers1238-marit', 'anuria')	datasets/kvwhc20151026wordlist.tsv		
17	rainbow	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	suka	nan	s u k a -	"('rainbow', 'kola1287', ""suká'"")"	datasets/kvwhc20151026wordlist.tsv		
18	thunder	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	aʤakɛŋ gema	nan	a ʤ a k ɛ ŋ _ g e m a	('thunder', 'kola1287', 'kete')	datasets/kvwhc20151026wordlist.tsv		
18	thunder	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	kɛtmɛk	nan	k ɛ t m ɛ k	('thunder', 'wers1238-marit', 'kɛtmɛk')	datasets/kvwhc20151026wordlist.tsv		
18	thunder	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	mɛk	nan	- - - m ɛ k	('thunder', 'wers1238-marit', 'kɛtmɛk')	datasets/kvwhc20151026wordlist.tsv		
19	lightning	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	mɛk	nan	- - - - - m - - - - - ɛ k -	('lightning', 'baka1276', 'bil məlélak')	datasets/kvwhc20151026wordlist.tsv		
20	earthquake	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	kɔmɛ	nan	k ɔ m ɛ - - - - - -	('earthquake', 'kira1248', 'koˈme')	datasets/kvwhc20151026wordlist.tsv		
21	fog	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	asaq	nan	a s a q - - - - -	('fog', 'kola1287', 'sákapul')	datasets/kvwhc20151026wordlist.tsv		
21	fog	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	sakupul	nan	- s a k u p u l -	('fog', 'kola1287', 'sákapul')	datasets/kvwhc20151026wordlist.tsv		
22	river; stream	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	ilu	nan	- i l u	"('river; stream', 'idat1237', ""'lɔ:"")"	datasets/kvwhc20151026wordlist.tsv		
25	lake	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	ira koali	nan	- i r a _ k oa l i	"('lake', 'kola1287', ""meria'"")"	datasets/kvwhc20151026wordlist.tsv		
25	lake	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	ira kou	nan	- i r a _ k ou - -	"('lake', 'kola1287', ""meria'"")"	datasets/kvwhc20151026wordlist.tsv		
25	lake	wers1238-marit	Wersing-Maritaing	Timor-Alor-Pantar	3Alor, 3East	kolam	nan	- - - k o l a m - - - - - -	"('lake', 'alor1247-besar', ""'kɔlãŋ beiŋ"")"	datasets/kvwhc20151026wordlist.tsv		
