Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
bul'gɛn	0.0	kelo1247-hopte				
mə'di	1.0	kelo1247-hopte				
'ʔur	2.0	kelo1247-hopte				
'ʔib	3.0	kelo1247-hopte				
ʔa'ka:n	4.0	kelo1247-hopte				
mə'di	5.0	kelo1247-hopte				
'tun	6.0	kelo1247-hopte				
ku'kun	7.0	kelo1247-hopte				
mə'lɛŋ	8.0	kelo1247-hopte				
ʔi'sɛ: ruk	9.0	kelo1247-hopte				
'wra	10.0	kelo1247-hopte				
ʔə'ruk	11.0	kelo1247-hopte				
'kun kun ʔilmikə'raŋ	12.0	kelo1247-hopte				
ti 'ʔik	13.0	kelo1247-hopte				
nə'mɛr	14.0	kelo1247-hopte				
ʔə'nu:r	15.0	kelo1247-hopte				
ʔə'nur iʔi'kin	16.0	kelo1247-hopte				
ʔə'dub	17.0	kelo1247-hopte				
'wlaŋ	18.0	kelo1247-hopte				
mə'dɛk	19.0	kelo1247-hopte				
'dai mə'dɛk	20.0	kelo1247-hopte				
ti'ʔik	21.0	kelo1247-hopte				
'wɛr	22.0	kelo1247-hopte				
ʔɛs	23.0	kelo1247-hopte				
tu'ʔuit t'ʔek	24.0	kelo1247-hopte				
'raja	25.0	kelo1247-hopte				
'dɔl	26.0	kelo1247-hopte				
də'dɔl	27.0	kelo1247-hopte				
ʔə'bɛn	28.0	kelo1247-hopte				
mə'kɛi	29.0	kelo1247-hopte				
buli'ja	30.0	kelo1247-hopte				
'dɔk	31.0	kelo1247-hopte				
'wɔr	32.0	kelo1247-hopte				
wɔr 'kɔka	33.0	kelo1247-hopte				
'kɔka	34.0	kelo1247-hopte				
ʔə'ra:	35.0	kelo1247-hopte				
'tan	36.0	kelo1247-hopte				
'bɔ:b	37.0	kelo1247-hopte				
ʔə'la:k	38.0	kelo1247-hopte				
'bui	39.0	kelo1247-hopte				
'ʔɛh	39.0	kelo1247-hopte				
mə'tei	40.0	kelo1247-hopte				
'buk	41.0	kelo1247-hopte				
'tɛr	42.0	kelo1247-hopte				
'tɛr	43.0	kelo1247-hopte				
'ʔa:	44.0	kelo1247-hopte				
e'gɛk	45.0	kelo1247-hopte				
'ʔɛi	46.0	kelo1247-hopte				
'lar	47.0	kelo1247-hopte				
gə'lar	48.0	kelo1247-hopte				
ʔə'wɛl	49.0	kelo1247-hopte				
nɛ'daŋ de'laŋ me'niŋ	50.0	kelo1247-hopte				
ha'la:	51.0	kelo1247-hopte				
'pɛd	52.0	kelo1247-hopte				
bei	53.0	kelo1247-hopte				
kə'bak	54.0	kelo1247-hopte				
tə'lɛ mi'ʔil a'ʔan	55.0	kelo1247-hopte				
'dɔb	56.0	kelo1247-hopte				
m'kei hu'hub	57.0	kelo1247-hopte				
'pe	59.0	kelo1247-hopte				
kə'bur	60.0	kelo1247-hopte				
'du:r	61.0	kelo1247-hopte				
'kir	62.0	kelo1247-hopte				
'wik	63.0	kelo1247-hopte				
'bah	64.0	kelo1247-hopte				
pə'kar	65.0	kelo1247-hopte				
a'da 'wɛr	67.0	kelo1247-hopte				
a'da 'bɔn	68.0	kelo1247-hopte				
ʔe'dur	70.0	kelo1247-hopte				
ʔə'dur	71.0	kelo1247-hopte				
'mul	72.0	kelo1247-hopte				
m'kɛi ka:n	73.0	kelo1247-hopte				
'wɔr mə'lat	74.0	kelo1247-hopte				
a'lat	75.0	kelo1247-hopte				
kə'wil	76.0	kelo1247-hopte				
ʔə'wi:	77.0	kelo1247-hopte				
ʔɔm ʔə'wi: laŋ 'jar	78.0	kelo1247-hopte				
ʔə'wi nɔk	79.0	kelo1247-hopte				
'li:p	80.0	kelo1247-hopte				
'hek	81.0	kelo1247-hopte				
ʔə'nem puɲ 'wɛi	82.0	kelo1247-hopte				
ʔə'ne:m	83.0	kelo1247-hopte				
ʔə'te	84.0	kelo1247-hopte				
ʔə'te 'bɔk	85.0	kelo1247-hopte				
ʔə'te 'ku:i	86.0	kelo1247-hopte				
ʔə'te 'wɛi	87.0	kelo1247-hopte				
ʔə'te gʔə'tan	88.0	kelo1247-hopte				
ʔə'da:'ku	89.0	kelo1247-hopte				
ʔu'hul	90.0	kelo1247-hopte				
ʔə'rik	91.0	kelo1247-hopte				
'mɛm	92.0	kelo1247-hopte				
'ʔih	92.0	kelo1247-hopte				
tə'rop	93.0	kelo1247-hopte				
ʔa'rak	94.0	kelo1247-hopte				
