Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	bulgɛn	nan	b u l - - g ɛ n - - -	('sky', 'adan1251-otvai', 'buraŋ')	datasets/kyohc20151021wordlist.tsv		
1	sun	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mədi	nan	- m ə d - - - - i - -	('sun', 'abui1241-fuime', 'wari')	datasets/kyohc20151021wordlist.tsv		
2	moon	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ur	nan	- - u r - - -	('moon', 'abui1241-fuime', 'ije')	datasets/kyohc20151021wordlist.tsv		
3	star	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ib	nan	- - - i - b - - - - - -	('star', 'abui1241-fuime', 'fɪri')	datasets/kyohc20151021wordlist.tsv		
4	night	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	aka:n	nan	- - - a - - - k a: - - n -	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/kyohc20151021wordlist.tsv		
5	day	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mədi	nan	m ə d i	('day', 'kelo1247-bring', 'mədi')	datasets/kyohc20151021wordlist.tsv		
6	year	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	tun	nan	- t u - n - - - -	('year', 'abui1241-petle', 'tuŋ')	datasets/kyohc20151021wordlist.tsv		
7	morning	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	kukun	nan	k u k u n	('morning', 'kelo1247-hopte', 'kukun')	datasets/kyohc20151021wordlist.tsv		
8	yesterday	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	məlɛŋ	nan	m ə l ɛ - - ŋ -	('yesterday', 'alor1249-sar-a', 'məlah')	datasets/kyohc20151021wordlist.tsv		
9	day before yesterday	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ise ruk	nan	i s e _ r u k	('day before yesterday', 'kelo1247-hopte', 'ise ruk')	datasets/kyohc20151021wordlist.tsv		
10	tomorrow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	wra	nan	w r a	('tomorrow', 'kelo1247-hopte', 'wra')	datasets/kyohc20151021wordlist.tsv		
11	day after tomorrow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	əruk	nan	- - - - ə r - u k - - -	('day after tomorrow', 'alor1249-sar-a', 'tiraq')	datasets/kyohc20151021wordlist.tsv		
12	twilight; dawn	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	kun kun ilmikəraŋ	nan	k u n _ k u n _ i l m i k ə r a ŋ	('twilight; dawn', 'kelo1247-hopte', 'kun kun ilmikəraŋ')	datasets/kyohc20151021wordlist.tsv		
13	cloud	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ti ʔik	nan	t i _ ʔ i k	('cloud', 'kelo1247-hopte', 'ti ʔik')	datasets/kyohc20151021wordlist.tsv		
14	wind	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	nəmer	nan	n ə m e r	('wind', 'abui1241-fuime', 'timoi')	datasets/kyohc20151021wordlist.tsv		
15	rain	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ənur	nan	- ə n u - - r - - - -	('rain', 'abui1241-fuime', 'anui')	datasets/kyohc20151021wordlist.tsv		
16	drizzle	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ənur iʔikin	nan	ə n u r _ - i ʔ - i k i n - -	('drizzle', 'adan1251-otvai', 'noi reʔ reʔ')	datasets/kyohc20151021wordlist.tsv		
17	rainbow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ədub	nan	ə d u b	('rainbow', 'kelo1247-hopte', 'ədub')	datasets/kyohc20151021wordlist.tsv		
18	thunder	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	wlaŋ	nan	w l a ŋ	('thunder', 'kelo1247-hopte', 'wlaŋ')	datasets/kyohc20151021wordlist.tsv		
19	lightning	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mədek	nan	- - - - - m - - ə - d e k -	('lightning', 'baka1276', 'bil məlélak')	datasets/kyohc20151021wordlist.tsv		
20	earthquake	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	dai mədek	nan	d ai _ m ə d e k	('earthquake', 'kelo1247-hopte', 'dai mədek')	datasets/kyohc20151021wordlist.tsv		
21	fog	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	tiʔik	nan	t i ʔ i k	('fog', 'kelo1247-hopte', 'tiʔik')	datasets/kyohc20151021wordlist.tsv		
22	river; stream	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	wer	nan	w e r	('river; stream', 'kelo1247-bring', 'wɛr')	datasets/kyohc20151021wordlist.tsv		
23	ice	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	es	nan	- e s -	"('ice', 'alor1247-baran', ""'ɛs"")"	datasets/kyohc20151021wordlist.tsv		
24	snow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	tuit tʔek	nan	t ui t _ t ʔ e k	('snow', 'kelo1247-hopte', 'tuit tʔek')	datasets/kyohc20151021wordlist.tsv		
25	lake	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	raʤa	nan	r a ʤ a	('lake', 'kelo1247-hopte', 'raʤa')	datasets/kyohc20151021wordlist.tsv		
26	mountain	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	dɔl	nan	- d ɔ l - - - - - - - - - - -	('mountain', 'adan1251-otvai', 'dɔi')	datasets/kyohc20151021wordlist.tsv		
27	hill; ridge	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	dədɔl	nan	d ə d ɔ l -	('hill; ridge', 'adan1251-otvai', 'dɔi')	datasets/kyohc20151021wordlist.tsv		
28	village	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	əben	nan	- - ə b e n - - - - -	('village', 'adan1251-lawah', 'baŋ ʔɛme')	datasets/kyohc20151021wordlist.tsv		
29	land; soil	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	məkɛi	nan	m ə - k ɛi -	('land; soil', 'alor1249-sar-a', 'maxáʔ')	datasets/kyohc20151021wordlist.tsv		
30	Earth	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	bulʤa	nan	b u l - ʤ a	('Earth', 'kabo1247', 'peliʔi')	datasets/kyohc20151021wordlist.tsv		
31	hole	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	dɔk	nan	d ɔ k	('hole', 'kelo1247-hopte', 'dɔk')	datasets/kyohc20151021wordlist.tsv		
32	stone	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	wɔr	nan	- w ɔ r - - - - - -	('stone', 'abui1241-fuime', 'vi')	datasets/kyohc20151021wordlist.tsv		
33	coral (rock)	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	wɔr kɔka	nan	w ɔ r _ k ɔ k a - -	('coral (rock)', 'abui1241-takal', 'ʋi  ko.qäi')	datasets/kyohc20151021wordlist.tsv		
34	(coral) reef	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	kɔka	nan	k ɔ - k a -	('(coral) reef', 'abui1241-takal', 'ko.qäi')	datasets/kyohc20151021wordlist.tsv		
35	water (fresh)	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	əra	nan	- - ə r a	('water (fresh)', 'abui1241-fuime', 'je')	datasets/kyohc20151021wordlist.tsv		
36	sea; sea water	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	tan	nan	- t a n - - - - -	('sea; sea water', 'abui1241-fuime', 'tama')	datasets/kyohc20151021wordlist.tsv		
37	wave	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	bɔb	nan	- b ɔ - b - - -	('wave', 'abui1241-fuime', 'fou')	datasets/kyohc20151021wordlist.tsv		
38	foam	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	əlak	nan	- ə l - - a k -	('foam', 'kama1365', 'kuaː')	datasets/kyohc20151021wordlist.tsv		
39	forest	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	bui	nan	- - b ui -	"('forest', 'abui1241-takal', ""ku.'päi"")"	datasets/kyohc20151021wordlist.tsv		
39	forest	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ɛh	nan	- ɛ h - - - - -	('forest', 'adan1251-otvai', 'ahain')	datasets/kyohc20151021wordlist.tsv		
40	field	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mətei	nan	m ə t ei	('field', 'kelo1247-hopte', 'mətei')	datasets/kyohc20151021wordlist.tsv		
41	island	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	buk	nan	- - - b u k -	('island', 'abui1241-takal', 'bu.ku')	datasets/kyohc20151021wordlist.tsv		
42	rice field	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ter	nan	t e r	('rice field', 'kelo1247-hopte', 'ter')	datasets/kyohc20151021wordlist.tsv		
43	garden	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ter	nan	t e r	('garden', 'kafo1240', 'tej')	datasets/kyohc20151021wordlist.tsv		
44	fence	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	a	nan	a	('fence', 'kelo1247-hopte', 'a')	datasets/kyohc20151021wordlist.tsv		
45	road; path; way	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	egek	nan	- - e g e k	('road; path; way', 'blag1240-bama', 'iga')	datasets/kyohc20151021wordlist.tsv		
46	canoe	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ɛi	nan	- ɛi	('canoe', 'adan1251-lawah', 'ei')	datasets/kyohc20151021wordlist.tsv		
47	sail (n.)	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	lar	nan	l - - a r	('sail (n.)', 'kelo1247-hopte', 'lar')	datasets/kyohc20151021wordlist.tsv		
48	to sail	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	gəlar	nan	g ə l a r	('to sail', 'kelo1247-hopte', 'gəlar')	datasets/kyohc20151021wordlist.tsv		
49	fishing hook	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ewɛl	nan	- e w ɛ l -	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	datasets/kyohc20151021wordlist.tsv		
50	fish trap	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	nɛdaŋ delaŋ meniŋ	nan	n ɛ d a ŋ _ d e l a ŋ _ m e n i ŋ	('fish trap', 'kelo1247-hopte', 'nɛdaŋ delaŋ meniŋ')	datasets/kyohc20151021wordlist.tsv		
51	rope	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	hala	nan	h a l a -	"('rope', 'abui1241-petle', ""si.'la"")"	datasets/kyohc20151021wordlist.tsv		
52	machete	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	ped	nan	- - p e d - -	"('machete', 'abui1241-petle', ""sa.'pa.da"")"	datasets/kyohc20151021wordlist.tsv		
53	axe	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	bei	nan	- - b - - - ei - - - - - - - - - -	('axe', 'abui1241-fuime', 'faliŋ')	datasets/kyohc20151021wordlist.tsv		
54	spear	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	kəbak	nan	- k ə b a - k -	"('spear', 'abui1241-takal', ""kä.'fäk"")"	datasets/kyohc20151021wordlist.tsv		
55	burden stick	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	təlɛ miʔil aʔan	nan	t ə l ɛ _ m i ʔ i l _ a ʔ a n	('burden stick', 'kelo1247-hopte', 'təlɛ miʔil aʔan')	datasets/kyohc20151021wordlist.tsv		
56	stick; pole	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	dob	nan	d o b - -	('stick; pole', 'adan1251-lawah', 'dopoŋ')	datasets/kyohc20151021wordlist.tsv		
57	digging stick	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	mkei huhub	nan	m k ei _ h u h u b	('digging stick', 'kelo1247-hopte', 'mkei huhub')	datasets/kyohc20151021wordlist.tsv		
59	bow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	pe	nan	p e - -	('bow', 'abui1241-fuime', 'peti')	datasets/kyohc20151021wordlist.tsv		
60	arrow	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	kəbur	nan	k ə b - - u - - - - r -	"('arrow', 'abui1241-takal', ""kä.'fuq"")"	datasets/kyohc20151021wordlist.tsv		
61	knife	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	dur	nan	d u - r - - - - - - -	('knife', 'abui1241-fuime', 'lui')	datasets/kyohc20151021wordlist.tsv		
62	comb	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	kir	nan	- - - k i r - - - -	('comb', 'abui1241-fuime', 'ke:ti')	datasets/kyohc20151021wordlist.tsv		
63	mat	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	wik	nan	w i k	('mat', 'kelo1247-hopte', 'wik')	datasets/kyohc20151021wordlist.tsv		
64	needle	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	bah	nan	b a - - h	('needle', 'adan1251-lawah', 'bátuŋ')	datasets/kyohc20151021wordlist.tsv		
65	clothing	kelo1247-hopte	Klon-Hopter	Timor-Alor-Pantar	3Alor, 1West	pəkar	nan	p ə k - - a r	"('clothing', 'alor1247-besar', ""pa'kiãŋ"")"	datasets/kyohc20151021wordlist.tsv		
