Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	nan	klon	nan	nan	nan	bulgɛn	nan	nan	nan	nan		
1.0	nan	klon	nan	nan	nan	mədi	nan	nan	nan	nan		
2.0	nan	klon	nan	nan	nan	ur	nan	nan	nan	nan		
3.0	nan	klon	nan	nan	nan	ib	nan	nan	nan	nan		
4.0	nan	klon	nan	nan	nan	akaan	nan	nan	nan	nan		
5.0	nan	klon	nan	nan	nan	mədi	nan	nan	nan	nan		
6.0	nan	klon	nan	nan	nan	tun	nan	nan	nan	nan		
7.0	nan	klon	nan	nan	nan	kukun	nan	nan	nan	nan		
8.0	nan	klon	nan	nan	nan	məlɛŋ	nan	nan	nan	nan		
9.0	nan	klon	nan	nan	nan	ise ruk	nan	nan	nan	nan		
10.0	nan	klon	nan	nan	nan	wra	nan	nan	nan	nan		
11.0	nan	klon	nan	nan	nan	əruk	nan	nan	nan	nan		
12.0	nan	klon	nan	nan	nan	kun kun ilmikəraŋ	nan	nan	nan	nan		
13.0	nan	klon	nan	nan	nan	ti ʔik	nan	nan	nan	nan		
14.0	nan	klon	nan	nan	nan	nəmer	nan	nan	nan	nan		
15.0	nan	klon	nan	nan	nan	ənur	nan	nan	nan	nan		
16.0	nan	klon	nan	nan	nan	ənur iʔikin	nan	nan	nan	nan		
17.0	nan	klon	nan	nan	nan	ədub	nan	nan	nan	nan		
18.0	nan	klon	nan	nan	nan	wlaŋ	nan	nan	nan	nan		
19.0	nan	klon	nan	nan	nan	mədek	nan	nan	nan	nan		
20.0	nan	klon	nan	nan	nan	dai mədek	nan	nan	nan	nan		
21.0	nan	klon	nan	nan	nan	tiʔik	nan	nan	nan	nan		
22.0	nan	klon	nan	nan	nan	wer	nan	nan	nan	nan		
23.0	nan	klon	nan	nan	nan	es	nan	nan	nan	nan		
24.0	nan	klon	nan	nan	nan	tuit tʔek	nan	nan	nan	nan		
25.0	nan	klon	nan	nan	nan	raja	nan	nan	nan	nan		
26.0	nan	klon	nan	nan	nan	dɔl	nan	nan	nan	nan		
27.0	nan	klon	nan	nan	nan	dədɔl	nan	nan	nan	nan		
28.0	nan	klon	nan	nan	nan	əben	nan	nan	nan	nan		
29.0	nan	klon	nan	nan	nan	məkɛi	nan	nan	nan	nan		
30.0	nan	klon	nan	nan	nan	bulja	nan	nan	nan	nan		
31.0	nan	klon	nan	nan	nan	dɔk	nan	nan	nan	nan		
32.0	nan	klon	nan	nan	nan	wɔr	nan	nan	nan	nan		
33.0	nan	klon	nan	nan	nan	wɔr kɔka	nan	nan	nan	nan		
34.0	nan	klon	nan	nan	nan	kɔka	nan	nan	nan	nan		
35.0	nan	klon	nan	nan	nan	əra	nan	nan	nan	nan		
36.0	nan	klon	nan	nan	nan	tan	nan	nan	nan	nan		
37.0	nan	klon	nan	nan	nan	bɔb	nan	nan	nan	nan		
38.0	nan	klon	nan	nan	nan	əlak	nan	nan	nan	nan		
39.0	nan	klon	nan	nan	nan	bui	nan	nan	nan	nan		
39.0	nan	klon	nan	nan	nan	ɛh	nan	nan	nan	nan		
40.0	nan	klon	nan	nan	nan	mətei	nan	nan	nan	nan		
41.0	nan	klon	nan	nan	nan	buk	nan	nan	nan	nan		
42.0	nan	klon	nan	nan	nan	ter	nan	nan	nan	nan		
43.0	nan	klon	nan	nan	nan	ter	nan	nan	nan	nan		
44.0	nan	klon	nan	nan	nan	a	nan	nan	nan	nan		
45.0	nan	klon	nan	nan	nan	egek	nan	nan	nan	nan		
46.0	nan	klon	nan	nan	nan	ɛi	nan	nan	nan	nan		
47.0	nan	klon	nan	nan	nan	lar	nan	nan	nan	nan		
48.0	nan	klon	nan	nan	nan	gəlar	nan	nan	nan	nan		
49.0	nan	klon	nan	nan	nan	ewɛl	nan	nan	nan	nan		
50.0	nan	klon	nan	nan	nan	nɛdaŋ delaŋ meniŋ	nan	nan	nan	nan		
51.0	nan	klon	nan	nan	nan	hala	nan	nan	nan	nan		
52.0	nan	klon	nan	nan	nan	ped	nan	nan	nan	nan		
53.0	nan	klon	nan	nan	nan	bei	nan	nan	nan	nan		
54.0	nan	klon	nan	nan	nan	kəbak	nan	nan	nan	nan		
55.0	nan	klon	nan	nan	nan	təlɛ miʔil aʔan	nan	nan	nan	nan		
56.0	nan	klon	nan	nan	nan	dob	nan	nan	nan	nan		
57.0	nan	klon	nan	nan	nan	mkei huhub	nan	nan	nan	nan		
59.0	nan	klon	nan	nan	nan	pe	nan	nan	nan	nan		
60.0	nan	klon	nan	nan	nan	kəbur	nan	nan	nan	nan		
61.0	nan	klon	nan	nan	nan	dur	nan	nan	nan	nan		
62.0	nan	klon	nan	nan	nan	kir	nan	nan	nan	nan		
63.0	nan	klon	nan	nan	nan	wik	nan	nan	nan	nan		
64.0	nan	klon	nan	nan	nan	bah	nan	nan	nan	nan		
65.0	nan	klon	nan	nan	nan	pəkar	nan	nan	nan	nan		
67.0	nan	klon	nan	nan	nan	ada wer	nan	nan	nan	nan		
68.0	nan	klon	nan	nan	nan	ada bon	nan	nan	nan	nan		
70.0	nan	klon	nan	nan	nan	edur	nan	nan	nan	nan		
71.0	nan	klon	nan	nan	nan	ədur	nan	nan	nan	nan		
72.0	nan	klon	nan	nan	nan	mul	nan	nan	nan	nan		
73.0	nan	klon	nan	nan	nan	mkɛi kan	nan	nan	nan	nan		
74.0	nan	klon	nan	nan	nan	wor mlat	nan	nan	nan	nan		
75.0	nan	klon	nan	nan	nan	alat	nan	nan	nan	nan		
76.0	nan	klon	nan	nan	nan	kwil	nan	nan	nan	nan		
