Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	gunnang	nan	nan	nan	nan		
1.0	sun	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	was	nan	nan	1	nan		
2.0	moon	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	hi	nan	nan	2	nan		
3.0	star	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	hibbe	nan	nan	1	nan		
4.0	night	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	ir patta	 (lit 'dark')	nan	2	nan		
5.0	day	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	ana	nan	nan	1	nan		
5.0	day	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	was	nan	nan	1	nan		
6.0	year	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	tunnu	nan	nan	*	nan		
7.0	morning	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	mabu	nan	nan	*	nan		
8.0	yesterday	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	waddipang	nan	nan	3	nan		
9.0	day before yesterday	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	yenarpang	nan	nan	6	nan		
10.0	tomorrow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	dalla	nan	nan	6	nan		
11.0	day after tomorrow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	tialaku	nan	nan	[12]	nan		
12.0	twilight; dawn	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	mabu	nan	nan	nan	nan		
13.0	cloud	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	unnas	nan	nan	b	nan		
14.0	wind	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	dagéng	nan	nan	2	nan		
15.0	rain	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	hayá	nan	nan	2	nan		
17.0	rainbow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	wali pakkung	nan	nan	2	nan		
18.0	thunder	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	di	bunyinya	nan	3	nan		
19.0	lightning	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	ir mi'ar	kilatan, cahaya	nan	[13]	nan		
20.0	earthquake	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	tang abbang	nan	nan	C	nan		
21.0	fog	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	bunne	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	nan	1	nan		
22.0	river; stream	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	kapá	nan	nan	nan	nan		
23.0	ice	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	lokkang	nan	nan	nan	nan		
24.0	snow	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	lokkang	nan	nan	*	nan		
25.0	lake	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	halia	nan	nan	b	nan		
26.0	mountain	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	kukka	nan	nan	2	nan		
27.0	hill; ridge	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	mugang	nan	nan	nan	nan		
28.0	village	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	habbang	nan	nan	1	nan		
29.0	land; soil	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	mua	nan	nan	nan	nan		
30.0	Earth	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	por	nan	nan	nan	nan		
31.0	hole	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	bau	nan	nan	1	nan		
32.0	stone	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	hauwe	nan	nan	2	nan		
33.0	coral (rock)	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	katang	batu (rock) di pantai	nan	4	nan		
34.0	(coral) reef	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	lassang	karang (reef) di dasar laut	nan	2	nan		
35.0	water (fresh)	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	halia	nan	nan	1	nan		
36.0	sea; sea water	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	tawá	nan	nan	nan	nan		
37.0	wave	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	bo	nan	nan	1	nan		
38.0	foam	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	aluá	nan	nan	1	nan		
39.0	forest	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	wappang	nan	nan	d	nan		
40.0	field	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	bi'ang	nan	nan	2	nan		
43.0	garden	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	bunni	nan	nan	5	nan		
45.0	road; path; way	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	ya	nan	nan	nan	nan		
46.0	canoe	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	hai	nan	nan	1	nan		
49.0	fishing hook	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	kisi	nan	nan	6	nan		
50.0	fish trap	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	pilang	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	nan	1	nan		
50.0	fish trap	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	sar	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.	nan	1	nan		
51.0	rope	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	korang	nan	nan	1	nan		
52.0	machete	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	1Pantar, 1West	pera	nan	nan	1	nan		
