Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	kəˈləm	nan	nan	('sky', 'adon1237', 'ˈkɜlɜ')	nan		W1a
1	sun	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	luˈvak	nan	nan	('sun', 'adon1237', 'ˈrɜra')	nan		W1a
2	moon	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	vuˈlan	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		W1a
3	star	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	toˈnar	nan	nan	('star', 'lama1277-imulo', 'tonar')	nan		W1a
4	night	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	buk	nan	nan	"('night', 'keda1252', ""u'bɛn"")"	nan		W1a
5	day	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	leˈd͡ʒo	nan	nan	('day', 'abui1241-fuime', 'tadeng')	nan		W1a
6	year	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	tun	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan		W1a
7	morning	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	baˈɛn	nan	nan	('morning', 'sout2896-kalik', 'baˈɛn')	nan		W1a
8	yesterday	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	nəɡəˈro	nan	nan	('yesterday', 'sout2896-kalik', 'nəɡəˈro')	nan		W1a
9	day before yesterday	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈd͡ʒəma ˈd͡ʒua be	nan	nan	('day before yesterday', 'cent2245-hewa', 'rəma_rua_ete')	nan		W1a
10	tomorrow	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	bamˈbe	nan	nan	('tomorrow', 'sout2896-kalik', 'bamˈbe')	nan		W1a
11	day after tomorrow	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈd͡ʒəma ˈd͡ʒua	nan	nan	('day after tomorrow', 'cent2245-hewa', 'rema_rua')	nan		W1a
12	twilight; dawn	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈeka buˈd͡ʒak	nan	nan	"('twilight; dawn', 'adon1237', ""ʔekã_'dahe"")"	nan		W1aC1
13	cloud	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	koˈvar	in the recording this word has the suffix -u	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan		W1a
14	wind	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	aˈŋin	in the recording this word has the suffix -u	nan	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan		W1a
15	rain	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	uˈd͡ʒan	nan	nan	('rain', 'adon1237', 'ˈʔurɑŋ')	nan		W1a
16	drizzle	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	uˈd͡ʒan ɡrəˈtik	nan	nan	"('drizzle', 'alor1247-besar', ""'uraŋ_fa'rɛha-fa'rɛha"")"	nan		W1a
17	rainbow	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	tokˈbad͡ʒu	nan	nan	('rainbow', 'sout2896-kalik', 'tokˈbad͡ʒu')	nan		W1a
18	thunder	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	kələˈɡor	in the recording this word has the suffix -u	nan	"('thunder', 'adon1237', ""kɜ'lɜka"")"	nan		W1a
19	lightning	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ksiˈlap	nan	nan	"('lightning', 'adon1237', ""kɜ'hilat"")"	nan		W1a
20	earthquake	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈblero ɛˈkok	nan	nan	"('earthquake', 'adon1237', ""'brero"")"	nan		W1a
21	fog	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	koˈvaru bənəˈbət	#NAME?	nan	('fog', 'sout2896-kalik', 'koˈvaru_bənəˈbət')	nan		W1a
22	river; stream	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	əˈbak	nan	nan	('river; stream', 'abui1241-fuime', 'lu')	nan		W1a
25	lake	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈvai liˈvuŋ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		W1a
26	mountain	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	iˈler	in the recording this word has the suffix -u	nan	"('mountain', 'adon1237', ""'ʔile"")"	nan		W1a
26	mountain	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	iˈli	in the recording this word has the suffix -u	nan	"('mountain', 'adon1237', ""'ʔile"")"	nan		NB
27	hill; ridge	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈvoloŋ	nan	nan	('hill; ridge', 'cent2245-hewa', 'ʋolon')	nan		W1a
28	village	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ləˈvu	in the recording this word has the suffix -u	nan	"('village', 'adon1237', ""lɜ'wɔː"")"	nan		W1a; NB
28	village	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ləˈvɔr	in the recording this word has the suffix -u	nan	"('village', 'adon1237', ""lɜ'wɔː"")"	nan		W1a; NB
29	land; soil	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	əˈna	in the recording this word has the suffix -u	nan	('land; soil', 'abui1241-fuime', 'anei')	nan		W1a; W1a
29	land; soil	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	əˈnan	in the recording this word has the suffix -u	nan	('land; soil', 'abui1241-fuime', 'anei')	nan		W1a; W1a
30	Earth	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈtana ˈɛkan	nan	nan	('Earth', 'abui1241-fuime', 'buku')	nan		W1a
31	hole	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	uˈmaŋ	nan	nan	('hole', 'lama1278', 'ˈumaŋ')	nan		W1a
32	stone	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	vaˈtɔr	in the recording this word has the suffix -u	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		W1a; W1a
32	stone	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈvatu	in the recording this word has the suffix -u	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		W1a; W1a
33	coral (rock)	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈvatu kaˈraŋ	nan	nan	('coral (rock)', 'kira1248', 'wor_katan')	nan		W1a
35	water (fresh)	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	vaˈɛr	nan	nan	"('water (fresh)', 'adon1237', ""'wɑi"")"	nan		W1a; W1a
35	water (fresh)	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈvai	nan	nan	"('water (fresh)', 'adon1237', ""'wɑi"")"	nan		W1a; W1a
36	sea; sea water	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	loˈd͡ʒɔr	nan	nan	('sea; sea water', 'sout2896-kalik', 'loˈd͡ʒɔr')	nan		W1a
37	wave	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ɔˈd͡ʒɔk	nan	nan	"('wave', 'alor1247-munas', ""'ɔdʒɔʔ"")"	nan		W1a
38	foam	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	pəˈvud͡ʒa	nan	nan	('foam', 'sout2896-kalik', 'pəˈvud͡ʒa')	nan		W1a
39	forest	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	maˈŋak	nan	nan	('forest', 'sout2896-kalik', 'maˈŋak')	nan		W1a; F1
39	forest	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ˈduan	nan	nan	"('forest', 'alor1247-baran', ""u'tɑŋ"")"	nan		W1a; F1
40	field	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	nəˈpan	nan	nan	('field', 'sout2896-kalik', 'nəˈpan')	nan		
43	garden	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	eka	in the recording the word has the suffix -u	nan	('garden', 'sout2896-kalik', 'eka')	nan		W1a
43	garden	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	ekan	in the recording the word has the suffix -u	nan	('garden', 'sout2896-kalik', 'eka')	nan		W1a
44	fence	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	kaˈdal	nan	nan	('fence', 'adan1251-otvai', 'fɔ')	nan		W1a
45	road; path; way	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	laˈlan	nan	nan	('road; path; way', 'abui1241-fuime', 'sefoko')	nan		W1a
46	canoe	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	tena	nan	nan	('canoe', 'sout2896-kalik', 'tena')	nan		W1a
46	canoe	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	teˈnar	nan	nan	('canoe', 'sout2896-kalik', 'tena')	nan		W1a
47	sail (n.)	lama1277-kalik	Lamaholot-Kalikasa	Austronesian	8Lembata, 5Central	lad͡ʒar	it is a clan name	nan	('sail (n.)', 'adan1251-otvai', 'lai')	nan		?
