Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	nan	item	nan	nan	nan	kəˈləm	e and ɛ are allophones; o and ɔ ar allophones (free variation?)	nan	nan	nan		W1a
1.0	nan	item	nan	nan	nan	luˈvak	nan	nan	nan	nan		W1a
2.0	nan	item	nan	nan	nan	vuˈlan	nan	nan	nan	nan		W1a
3.0	nan	item	nan	nan	nan	toˈnar	nan	nan	nan	nan		W1a
4.0	nan	item	nan	nan	nan	buk	nan	nan	nan	nan		W1a
5.0	nan	item	nan	nan	nan	leˈd͡ʒo	nan	nan	nan	nan		W1a
6.0	nan	item	nan	nan	nan	tun	nan	nan	nan	nan		W1a
7.0	nan	item	nan	nan	nan	baˈɛn	nan	nan	nan	nan		W1a
8.0	nan	item	nan	nan	nan	nəɡəˈro	nan	nan	nan	nan		W1a
9.0	nan	item	nan	nan	nan	ˈd͡ʒəma ˈd͡ʒua be	nan	nan	nan	nan		W1a
10.0	nan	item	nan	nan	nan	bamˈbe	nan	nan	nan	nan		W1a
11.0	nan	item	nan	nan	nan	ˈd͡ʒəma ˈd͡ʒua	nan	nan	nan	nan		W1a
12.0	nan	item	nan	nan	nan	ˈeka buˈd͡ʒak	nan	nan	nan	nan		W1aC1
13.0	nan	item	nan	nan	nan	koˈvar	in the recording this word has the suffix -u	nan	nan	nan		W1a
14.0	nan	item	nan	nan	nan	aˈŋin	in the recording this word has the suffix -u	nan	nan	nan		W1a
15.0	nan	item	nan	nan	nan	uˈd͡ʒan	nan	nan	nan	nan		W1a
16.0	nan	item	nan	nan	nan	uˈd͡ʒan ɡrəˈtik	nan	nan	nan	nan		W1a
17.0	nan	item	nan	nan	nan	tokˈbad͡ʒu	nan	nan	nan	nan		W1a
18.0	nan	item	nan	nan	nan	kələˈɡor	in the recording this word has the suffix -u	nan	nan	nan		W1a
19.0	nan	item	nan	nan	nan	ksiˈlap	nan	nan	nan	nan		W1a
20.0	nan	item	nan	nan	nan	ˈblero ɛˈkok	nan	nan	nan	nan		W1a
21.0	nan	item	nan	nan	nan	koˈvaru bənəˈbət	-u is a suffix	nan	nan	nan		W1a
22.0	nan	item	nan	nan	nan	əˈbak	nan	nan	nan	nan		W1a
23.0	nan	item	nan	nan	nan	-	nan	nan	nan	nan		
24.0	nan	item	nan	nan	nan	-	nan	nan	nan	nan		
25.0	nan	item	nan	nan	nan	ˈvai liˈvuŋ	nan	nan	nan	nan		W1a
26.0	nan	item	nan	nan	nan	iˈler	in the recording this word has the suffix -u	nan	nan	nan		W1a
27.0	nan	item	nan	nan	nan	ˈvoloŋ	nan	nan	nan	nan		W1a
28.0	nan	item	nan	nan	nan	ləˈvu	in the recording this word has the suffix -u	nan	nan	nan		W1a; NB
28.0	nan	item	nan	nan	nan	ləˈvɔr	in the recording this word has the suffix -u	nan	nan	nan		W1a; NB
29.0	nan	item	nan	nan	nan	əˈna	in the recording this word has the suffix -u	nan	nan	nan		W1a; W1a
29.0	nan	item	nan	nan	nan	əˈnan	in the recording this word has the suffix -u	nan	nan	nan		W1a; W1a
30.0	nan	item	nan	nan	nan	ˈtana ˈɛkan	nan	nan	nan	nan		W1a
31.0	nan	item	nan	nan	nan	uˈmaŋ	nan	nan	nan	nan		W1a
32.0	nan	item	nan	nan	nan	vaˈtɔr	in the recording this word has the suffix -u	nan	nan	nan		W1a; W1a
32.0	nan	item	nan	nan	nan	ˈvatu	in the recording this word has the suffix -u	nan	nan	nan		W1a; W1a
33.0	nan	item	nan	nan	nan	ˈvatu kaˈraŋ	nan	nan	nan	nan		W1a
34.0	nan	item	nan	nan	nan	-	nan	nan	nan	nan		
35.0	nan	item	nan	nan	nan	vaˈɛr	nan	nan	nan	nan		W1a; W1a
35.0	nan	item	nan	nan	nan	ˈvai	nan	nan	nan	nan		W1a; W1a
36.0	nan	item	nan	nan	nan	loˈd͡ʒɔr	nan	nan	nan	nan		W1a
37.0	nan	item	nan	nan	nan	ɔˈd͡ʒɔk	nan	nan	nan	nan		W1a
38.0	nan	item	nan	nan	nan	pəˈvud͡ʒa	nan	nan	nan	nan		W1a
39.0	nan	item	nan	nan	nan	maˈŋak	nan	nan	nan	nan		W1a; F1
39.0	nan	item	nan	nan	nan	ˈduan	nan	nan	nan	nan		W1a; F1
40.0	nan	item	nan	nan	nan	nəˈpan	nan	nan	nan	nan		
41.0	nan	item	nan	nan	nan	-	nan	nan	nan	nan		
42.0	nan	item	nan	nan	nan	-	nan	nan	nan	nan		
43.0	nan	item	nan	nan	nan	eka	in the recording the word has the suffix -u	nan	nan	nan		W1a
43.0	nan	item	nan	nan	nan	ekan	in the recording the word has the suffix -u	nan	nan	nan		W1a
44.0	nan	item	nan	nan	nan	kaˈdal	nan	nan	nan	nan		W1a
45.0	nan	item	nan	nan	nan	laˈlan	nan	nan	nan	nan		W1a
46.0	nan	item	nan	nan	nan	tena	nan	nan	nan	nan		W1a
46.0	nan	item	nan	nan	nan	teˈnar	nan	nan	nan	nan		W1a
47.0	nan	item	nan	nan	nan	lad͡ʒar	it is a clan name	nan	nan	nan		?
48.0	nan	item	nan	nan	nan	ˈleva	nan	nan	nan	nan		W1a
49.0	nan	item	nan	nan	nan	kaˈvil	in the recording the word has the suffix -u	nan	nan	nan		W1a
50.0	nan	item	nan	nan	nan	puˈkət	"the informatn was not so sure about this word
in the recording the word has the suffix -u"	nan	nan	nan		W1a
51.0	nan	item	nan	nan	nan	taˈlɛr	nan	nan	nan	nan		W1a
52.0	nan	item	nan	nan	nan	peˈdar	nan	nan	nan	nan		W1a
53.0	nan	item	nan	nan	nan	ˈkapa	nan	nan	nan	nan		W1a
54.0	nan	item	nan	nan	nan	ɡaˈlar	nan	nan	nan	nan		W1a
55.0	nan	item	nan	nan	nan	bəleˈbar	in the recording the word has the suffix -u	nan	nan	nan		W1a
56.0	nan	item	nan	nan	nan	nɔˈdɔk	in the recording the word has the suffix -u	nan	nan	nan		W1a
57.0	nan	item	nan	nan	nan	snɔˈkar	nan	nan	nan	nan		W1a
58.0	nan	item	nan	nan	nan	uˈaŋ	in the recording uang has the suffix -u	nan	nan	nan		W1a; W1a
58.0	nan	item	nan	nan	nan	ˈsnipat	in the recording uang has the suffix -u	nan	nan	nan		W1a; W1a
59.0	nan	item	nan	nan	nan	vuˈvɔr	nan	nan	nan	nan		W1a
60.0	nan	item	nan	nan	nan	ˈsupəl	in the recording the word has the suffix -u	nan	nan	nan		W1a
61.0	nan	item	nan	nan	nan	məˈrit	nan	nan	nan	nan		W1a
62.0	nan	item	nan	nan	nan	kiˈrer	in the recording kirer has the suffix -u	nan	nan	nan		W1a
63.0	nan	item	nan	nan	nan	oˈsan	in the recording osan has the suffix -u	nan	nan	nan		W1a
64.0	nan	item	nan	nan	nan	ˈlusir	nan	nan	nan	nan		W1a
65.0	nan	item	nan	nan	nan	məˈka-ŋa	1) ŋa is a plural suffix, 2) literally 'on the waist' (see also no. 66)	nan	nan	nan		W1b; W1b
65.0	nan	item	nan	nan	nan	ˈale ˈlolo	see also no. 118. ale lolo menas litarally 'on the waist'	nan	nan	nan		W1a
65.0	nan	item	nan	nan	nan	ˈale ˈlɔlɔ	1) ŋa is a plural suffix, 2) literally 'on the waist' (see also no. 66)	nan	nan	nan		W1b; W1b
67.0	nan	item	nan	nan	nan	aˈper	in the recording the word has the suffix -u	nan	nan	nan		W1a
68.0	nan	item	nan	nan	nan	snəˈɡur	nan	nan	nan	nan		W1a
69.0	nan	item	nan	nan	nan	kaˈvɔk	nan	nan	nan	nan		W1a
70.0	nan	item	nan	nan	nan	əˈmʊt	in the recording the word has the suffix -u	nan	nan	nan		W1a
71.0	nan	item	nan	nan	nan	kaˈvɔk	nan	nan	nan	nan		W1a
72.0	nan	item	nan	nan	nan	keˈmat	nan	nan	nan	nan		W1a
73.0	nan	item	nan	nan	nan	əˈna vaˈkɔt	nan	nan	nan	nan		W1a
74.0	nan	item	nan	nan	nan	vuˈrɛsa	wuresa is plural of wurek	nan	nan	nan		W1a; W1a
74.0	nan	item	nan	nan	nan	ˈvatu vuˈrɛk	wuresa is plural of wurek	nan	nan	nan		W1a; W1a
75.0	nan	item	nan	nan	nan	ˈbotan	nan	nan	nan	nan		W1a
76.0	nan	item	nan	nan	nan	krəˈkak	nan	nan	nan	nan		W1a
77.0	nan	item	nan	nan	nan	uˈnan	nan	nan	nan	nan		W1a; W1a
77.0	nan	item	nan	nan	nan	ˈuna	nan	nan	nan	nan		W1a; W1a
78.0	nan	item	nan	nan	nan	ˈuna keˈdak	nan	nan	nan	nan		W1a
79.0	nan	item	nan	nan	nan	veˈtak	nan	nan	nan	nan		W1a
80.0	nan	item	nan	nan	nan	uˈlik	nan	nan	nan	nan		W1a
