Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
202	slave	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ʔatɑn	nan	ˈʔ a t ɑ - n	"('slave', 'abui1241-takal', 'hɔ.täi')"	nan		
203	1sg	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ʔɑu	nan	nan	"('1sg', 'cent2245-hewa', 'aʔu')"	nan		
204	2sg (informal)	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ɔ:	nan	nan	"('2sg (informal)', 'idat1237', ""'ʔɔ:"")"	nan		
205	2sg (polite)	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ʔita 'bɔsuk	nan	nan	"('2sg (polite)', 'idat1237', ""'ʔita"")"	nan		
206	3sg	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ni:	3s; 3s male	ˈn iː - - - - - - -	"('3sg', 'pura1258', 'iŋ')"	nan		
206	3sg	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	ni mane	3s; 3s male	n i _ - - m a n e	"('3sg', 'pura1258', 'iŋ')"	nan		
207	1pl excl	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ʔami	nan	ˈʔ a m i	"('1pl excl', 'cent2245-hewa', 'ʔami')"	nan		
208	1pl incl	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ʔita	nan	- ˈʔ i t a - - - - - -	"('1pl incl', 'cent2245-hewa', 'ʔita')"	nan		
209	2pl	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ɪme	nan	nan	"('2pl', 'cent2245-hewa', 'miu')"	nan		
210	3pl	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'sira	nan	( - - ) - - ˈs i r a - - - -	"('3pl', 'fata1247', ""ta'wari"")"	nan		
211	no; not	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'tɑi	nan	nan	"('no; not', 'kema1243', ""'tai"")"	nan		
212	and	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'nɔrɔ	nan	nan	"('and', 'cent2245-hewa', 'nora')"	nan		
213	because	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'tan 'ti:	nan	ˈt a n _ ˈt iː	"('because', 'idat1237', ""tɑn 'ti:"")"	nan		
214	if	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'tan 'ti:	nan	ˈt a n _ ˈt iː	"('if', 'laka1255', ""'tan 'ti:"")"	nan		
215	with	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'nɔrɔ	nan	ˈn ɔ r ɔ	"('with', 'kema1243', ""'nɔ:"")"	nan		
216	what?	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	sa'ʔisa	nan	s a ˈʔ i s a	"('what?', 'laka1255', ""sa'ʔisa"")"	nan		
217	who?	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ʔɛtɛ	nan	ˈʔ ɛ t ɛ	"('who?', 'cent2245-hewa', 'hai')"	nan		
219	when?	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'wɑr 'ʔila	nan	ˈw ɑ r - _ ˈʔ i l a	"('when?', 'idat1237', ""a'lira"")"	nan		
220	why?	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'lɔʔɔ 'sa:	nan	ˈl ɔ ʔ ɔ _ ˈs aː - -	"('why?', 'laka1255', ""'lɔʔɔ 'sa:"")"	nan		
220	why?	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	lo'o mane	nan	l o - ˈo _ m a n e	"('why?', 'laka1255', ""'lɔʔɔ 'sa:"")"	nan		
221	how much; how many?	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	'ʔila	nan	ˈʔ i l a	"('how much; how many?', 'laka1255', ""'ʔila"")"	nan		
222	how?	laka1255	Lakalei 	Austronesian	"4Timor, 2Central"	lɔ'sa:	nan	- - l ɔ - - - ˈs aː	"('how?', 'idat1237', ""nu'sa:"")"	nan		
