Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	adon1237	ˈkɜlɜ	sky	Lamaholot-Adonara	Austronesian	7Adonara	No phonemic use of glottal stop in word initial position. Glottal stop is phonemic in word final position. No phonemic distinction between ɑ/a, ɔ/o, ɛ/e, ɪ/i; phonemic distinction between ɜ/schwa versus ɛ/e. Nasal vowels are likely not phonemic but are a merger of word/syllable final nasal with preceding vowel.; əŋãõĩũɜɛɑ˜ʔ	ˈk ɜ l ɜ - - - - - -	9189			
1.0	adon1237	ˈrɜra	sun	Lamaholot-Adonara	Austronesian	7Adonara		ˈr ɜ r a	8864			
2.0	adon1237	ˈwulɑ̃	moon	Lamaholot-Adonara	Austronesian	7Adonara		ˈw u l ɑ̃	8652			
3.0	adon1237	ʔetɜp	star	Lamaholot-Adonara	Austronesian	7Adonara		ʔ e t ɜ p	9370			
4.0	adon1237	ˈrɜmaʔ	night	Lamaholot-Adonara	Austronesian	7Adonara		ˈr ɜ m a ʔ - -	8905			
5.0	adon1237	rɜ' rɔ̃	day	Lamaholot-Adonara	Austronesian	7Adonara		- - r ɜ - ˈ_ r ɔ̃	8842			
6.0	adon1237	tũː	year	Lamaholot-Adonara	Austronesian	7Adonara			1			
7.0	adon1237	ɡ(ə)'hula, hə'ɡula	morning	Lamaholot-Adonara	Austronesian	7Adonara		ɡ ˈh u l a -	8644			
8.0	adon1237	ˈwia	yesterday	Lamaholot-Adonara	Austronesian	7Adonara		- - ˈw i a -	8527			
9.0	adon1237	ʔɜrɜ rua 'ʔi	day before yesterday	Lamaholot-Adonara	Austronesian	7Adonara		- ʔ ɜ r - - - ɜ _ r u a _ ˈʔ i	8696			
10.0	adon1237	ˈbauk	tomorrow	Lamaholot-Adonara	Austronesian	7Adonara		ˈb a - u k	2141			
11.0	adon1237	ʔɜrɜ 'rua	day after tomorrow	Lamaholot-Adonara	Austronesian	7Adonara		- ʔ ɜ r - ɜ _ ˈr u a	8923			
12.0	adon1237	ʔekã 'dahe	twilight; dawn	Lamaholot-Adonara	Austronesian	7Adonara						
13.0	adon1237	ˈkɔːwa	cloud	Lamaholot-Adonara	Austronesian	7Adonara		ˈk ɔː w a	8715			
14.0	adon1237	ˈʔaŋĩ	wind	Lamaholot-Adonara	Austronesian	7Adonara			a			
15.0	adon1237	ˈʔurɑŋ	rain	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ u r ɑ ŋ	8716			
16.0	adon1237	ɡri'ʔɛna	drizzle	Lamaholot-Adonara	Austronesian	7Adonara		ɡ - - - r i ˈʔ ɛ n a	8738			
17.0	adon1237	ˈpatũ	rainbow	Lamaholot-Adonara	Austronesian	7Adonara			x			
18.0	adon1237	kɜ'lɜka	thunder	Lamaholot-Adonara	Austronesian	7Adonara	bunyinya	k ɜ ˈl ɜ k a -	4512			
19.0	adon1237	kɜ'hilat	lightning	Lamaholot-Adonara	Austronesian	7Adonara	kilatan, cahaya	- - - - - - - k ɜ ˈh i l a t	8709			
20.0	adon1237	'brero	earthquake	Lamaholot-Adonara	Austronesian	7Adonara		ˈb - r e r o - - - - - -	8754			
21.0	adon1237	'kowa koː(k)	fog	Lamaholot-Adonara	Austronesian	7Adonara	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	ˈk o w a _ k oː - - -	8774			
22.0	adon1237	'suŋe	river; stream	Lamaholot-Adonara	Austronesian	7Adonara		ˈs u ŋ e	9404			
23.0	adon1237	x	ice	Lamaholot-Adonara	Austronesian	7Adonara		x	6697			
24.0	adon1237	x	snow	Lamaholot-Adonara	Austronesian	7Adonara		x	6405			
25.0	adon1237	'liwo	lake	Lamaholot-Adonara	Austronesian	7Adonara		ˈl i w o	9420			
26.0	adon1237	'ʔile	mountain	Lamaholot-Adonara	Austronesian	7Adonara		ˈʔ i l e	8700			
27.0	adon1237	'woka	hill; ridge	Lamaholot-Adonara	Austronesian	7Adonara		ˈw o - - k a	4730			
28.0	adon1237	lɜ'wɔː	village	Lamaholot-Adonara	Austronesian	7Adonara		l ɜ ˈw ɔː	8682			
29.0	adon1237	'tana	land; soil	Lamaholot-Adonara	Austronesian	7Adonara		ˈt a n a - -	3972			
30.0	adon1237	tana 'ʔekã	Earth	Lamaholot-Adonara	Austronesian	7Adonara						
31.0	adon1237	'rɔɑ̃	hole	Lamaholot-Adonara	Austronesian	7Adonara		ˈr ɔ ɑ̃	9457			
32.0	adon1237	'watɔ	stone	Lamaholot-Adonara	Austronesian	7Adonara		ˈw a t ɔ	8883			
33.0	adon1237	'ʔaʔɔ	coral (rock)	Lamaholot-Adonara	Austronesian	7Adonara	batu (rock) di pantai	ˈʔ a ʔ ɔ - - - - - -	9350			
34.0	adon1237	'rubu	(coral) reef	Lamaholot-Adonara	Austronesian	7Adonara	karang (reef) di dasar laut	ˈr u b u	4621			
