Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	mamb1306	'lɛl'lau	sky	Mambai	Austronesian	4Timor, 2Central	sun high	ˈl ɛ l ˈl a u	6772.0			
1.0	mamb1306	lɛl 'mata	sun	Mambai	Austronesian	4Timor, 2Central		l ɛ l - _ ˈm a t a -	6346.0			
2.0	mamb1306	hul'kai	moon	Mambai	Austronesian	4Timor, 2Central		h u l ˈk a i	1396.0			
3.0	mamb1306	'hit	star	Mambai	Austronesian	4Timor, 2Central		ˈh i t -	2438.0			
4.0	mamb1306	'hɔda	night	Mambai	Austronesian	4Timor, 2Central	dark	ˈh ɔ d a	6748.0			
5.0	mamb1306	'lɛl'ban	day	Mambai	Austronesian	4Timor, 2Central	sun bright	ˈl ɛ l ˈb a n	177.0			
6.0	mamb1306	'tɔ:n	year	Mambai	Austronesian	4Timor, 2Central		ˈt ɔː n - -	171.0			
13.0	mamb1306	sɑ'bɑi	cloud	Mambai	Austronesian	4Timor, 2Central		s ɑ ˈb ɑ i - - - -	6669.0			
14.0	mamb1306	'gel	wind	Mambai	Austronesian	4Timor, 2Central		ˈg e l -	6760.0			
15.0	mamb1306	'ʔus	rain	Mambai	Austronesian	4Timor, 2Central		ˈʔ u s - -	6650.0			
21.0	mamb1306	sɑ'bɑi 'hɔsa	fog	Mambai	Austronesian	4Timor, 2Central	? closed	s ɑ ˈb ɑ i _ ˈh ɔ s a -	6420.0			
22.0	mamb1306	'slɔg	river; stream	Mambai	Austronesian	4Timor, 2Central		ˈs l ɔ g	6743.0			
23.0	mamb1306	x	ice	Mambai	Austronesian	4Timor, 2Central		x	6697.0			
24.0	mamb1306	hu'nɑi	snow	Mambai	Austronesian	4Timor, 2Central	hail, snow	h u ˈn ɑ i	6784.0			
25.0	mamb1306	'le:b	lake	Mambai	Austronesian	4Timor, 2Central		ˈl eː b	6739.0			
26.0	mamb1306	'ʔudu 'lau	mountain	Mambai	Austronesian	4Timor, 2Central		ˈʔ u d u _ ˈl a u	6608.0			
29.0	mamb1306	'rae	land; soil	Mambai	Austronesian	4Timor, 2Central		ˈr a e	6418.0			
32.0	mamb1306	'hat	stone	Mambai	Austronesian	4Timor, 2Central		ˈh a t - -	210.0			
