Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	βula βutu	nan	β u l a _ β u t u	('sky', 'adan1251-otvai', 'buraŋ')	nan		
0	sky	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	ælæŋ	nan	- æ l æ ŋ	('sky', 'kama1365', 'deliŋ')	nan		
0	sky	p-aust1307-abvd	proto-AN-ABVD	Austronesian		*laŋiC	nan	l a ŋ i C - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
0	sky	p-aust1307-acd	proto-AN-ACD	Austronesian		*laŋiC	nan	l a ŋ i C - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
0	sky	p-cent2245-abvd	proto-Central-MP-ABVD	Austronesian		*laŋit	nan	l a ŋ i t - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
0	sky	p-mala1545-abvd	proto-MP-ABVD	Austronesian		*laŋit	nan	l a ŋ i t - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
0	sky	p-mala1545-acd	proto-MP-ACD	Austronesian		*laŋit	nan	l a ŋ i t - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
1	sun	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	ləro	nan	l ə r o - - - - - -	"('sun', 'alor1247-baran', ""la'ra"")"	nan		
1	sun	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	lɔjɔ	nan	l ɔ j ɔ - - - - - -	"('sun', 'alor1247-baran', ""la'ra"")"	nan		
1	sun	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	lɔjɔ matan	nan	l ɔ j ɔ _ m a t a n	"('sun', 'alor1247-baran', ""la'ra"")"	nan		
1	sun	p-aust1307-acd	proto-AN-ACD	Austronesian		*siNaR	*waRi 'day; sun; dry in the sun'	s i N a R	('sun', 'p-aust1307-acd', '*siNaR')	nan		
1	sun	p-aust1307-acd	proto-AN-ACD	Austronesian		*waRi	*waRi 'day; sun; dry in the sun'	w a R i	('sun', 'abui1241-fuime', 'wari')	nan		
1	sun	p-mala1545-acd	proto-MP-ACD	Austronesian		*mata nu qalejaw	eye of the day'	m a t a _ n u _ q a l e j a w	('sun', 'p-mala1545-acd', '*mata_nu_qalejaw')	nan		
2	moon	sika1262-tanai	Sika-Tana Ai	Austronesian	5Flores, 2Central	βula-ŋ	nan	β u l a ŋ - ( - - - - - - - - )	('moon', 'adan1251-lawah', 'hu:l')	nan		
2	moon	keda1252-leuwa	Kedang-Léuwayang	Austronesian	8Lembata	u̘la lɔjɔ	nan	- u̘ l a _ - ( l ɔ j ɔ - - - - )	('moon', 'adan1251-lawah', 'hu:l')	nan		
2	moon	p-aust1307-abvd	proto-AN-ABVD	Austronesian		* bulaN	nan	b u l a N - ( - - - - - - - - )	('moon', 'adan1251-lawah', 'hu:l')	nan		
