Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
adi	0.0	abui1241-fuime				
wari	1.0	abui1241-fuime				
ije	2.0	abui1241-fuime				
fɪri	3.0	abui1241-fuime				
tungtama	4.0	abui1241-fuime				
tadeng	5.0	abui1241-fuime				
akuni	7.0	abui1241-fuime				
tuonaa	8.0	abui1241-fuime				
hetadeng ayoku	9.0	abui1241-fuime				
akuni	10.0	abui1241-fuime				
ayoku	11.0	abui1241-fuime				
arida pe	12.0	abui1241-fuime				
kabuti	13.0	abui1241-fuime				
timoi	14.0	abui1241-fuime				
anui	15.0	abui1241-fuime				
	18.0	abui1241-fuime	bunyinya			
falielai	19.0	abui1241-fuime	kilatan, cahaya			
taiyoka	20.0	abui1241-fuime				
tabo	21.0	abui1241-fuime	kabut = fog, NOT embun = air yang menetes dari daun di pagi hari			
lu	22.0	abui1241-fuime				
wafoko	25.0	abui1241-fuime				
buku	26.0	abui1241-fuime				
buku	27.0	abui1241-fuime				
melang	28.0	abui1241-fuime				
anei	29.0	abui1241-fuime				
buku	30.0	abui1241-fuime				
uli	31.0	abui1241-fuime				
vi	32.0	abui1241-fuime				
vi futi	33.0	abui1241-fuime	batu (rock) di pantai			
futi	34.0	abui1241-fuime	karang (reef) di dasar laut			
je	35.0	abui1241-fuime				
tama	36.0	abui1241-fuime				
fou	37.0	abui1241-fuime				
bou balaaking	38.0	abui1241-fuime				
rol	40.0	abui1241-fuime				
uti	43.0	abui1241-fuime				
sefoko	45.0	abui1241-fuime				
	50.0	abui1241-fuime	dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.			
tila	51.0	abui1241-fuime				
kaweni	52.0	abui1241-fuime				
faling	53.0	abui1241-fuime				
tukarang	56.0	abui1241-fuime				
peti	59.0	abui1241-fuime				
kaike	60.0	abui1241-fuime				
lui	61.0	abui1241-fuime				
keeti	62.0	abui1241-fuime				
adik	63.0	abui1241-fuime				
ting	64.0	abui1241-fuime				
ara	67.0	abui1241-fuime				
ara wasing	67.0	abui1241-fuime				
ara tika	68.0	abui1241-fuime				
tabuong	70.0	abui1241-fuime				
tabuong	71.0	abui1241-fuime	NOT 'debu' (dust, after you have been sweeping)			
malatai	75.0	abui1241-fuime				
kupei	76.0	abui1241-fuime				
fala	77.0	abui1241-fuime				
kadang	78.0	abui1241-fuime				
kadang	79.0	abui1241-fuime				
lik	80.0	abui1241-fuime				
lung	81.0	abui1241-fuime				
ameng	83.0	abui1241-fuime				
ˈbata	84.0	abui1241-fuime				
ˈbata hekai	86.0	abui1241-fuime				
