Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	lɔ:	nan	l ɔː -	3641.0	nan		
1.0	sun	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	watu	nan	w a t u	2565.0	nan		
2.0	moon	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	uru	nan	- u r u -	503.0	nan		
3.0	star	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	ifi'naka	nan	i f i ˈn a k a -	6095.0	nan		
4.0	night	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	gamung	nan	g a m - - u n g	2511.0	nan		
5.0	day	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	usa	nan	u s a	8433.0	nan		
6.0	year	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	aɛra	nan	- - a ɛ r a	8275.0	nan		
7.0	morning	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	gamu-gamu	nan	g a m u g a m u	8383.0	nan		
8.0	yesterday	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	wɛsɛ'rɛɁɛ	nan	w ɛ s ɛ ˈr ɛ ʔ ɛ	8516.0	nan		
9.0	day before yesterday	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	ah'nɛɁɛ	nan	- a h - ˈn ɛ ʔ ɛ	8239.0	nan		
10.0	tomorrow	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	usa malɛ	nan	u s a _ m a l ɛ	8381.0	nan		
11.0	day after tomorrow	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	ai'rɛɁɛ	nan	a i ˈr ɛ ʔ ɛ	8401.0	nan		
12.0	twilight; dawn	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	mua usa ma'lena	nan	m u a _ u s a _ m a ˈl e n a	8442.0	nan		
13.0	cloud	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	nin'deu	nan	n i n ˈd e u	4381.0	nan		
14.0	wind	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	ga'wara	nan	g a ˈw a r a	8346.0	nan		
15.0	rain	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	ae	nan	- a - e	3236.0	nan		
16.0	drizzle	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	ae liri-liri	nan	a - - e - _ l i r i l i r i	2816.0	nan		
18.0	thunder	maka1316	Makasae	Timor-Alor-Pantar	4Timor, 3East	lo fati'lɔkɔ	nan	l o _ f a t i ˈl ɔ k ɔ	8479.0	nan		
