Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	pmpacd	proto-MP-ACD 2	Austronesian		*laŋit	nan	nan	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
1	sun	pmpacd	proto-MP-ACD 2	Austronesian		*mata nu qalejaw	*mata nu qalejaw 'sun ('eye of the day')'	nan	"('sun', 'p-mala1545-acd', '*mata_nu_qalejaw')"	nan		
2	moon	pmpacd	proto-MP-ACD 2	Austronesian		*bulan	nan	nan	"('moon', 'adon1237', 'ˈwulɑ̃')"	nan		
3	star	pmpacd	proto-MP-ACD 2	Austronesian		*bituqen	"*talaq, *mantalaq 'the morning (evening) star: Venus'"	nan	"('star', 'lama1277-imulo', 'tonar')"	nan		
3	star	pmpacd	proto-MP-ACD 2	Austronesian		*mantalaq	"*talaq, *mantalaq 'the morning (evening) star: Venus'"	nan	"('star', 'alor1247-baran', ""ta'mala"")"	nan		
3	star	pmpacd	proto-MP-ACD 2	Austronesian		*talaq	"*talaq, *mantalaq 'the morning (evening) star: Venus'"	nan	"('star', 'alor1247-baran', ""ta'mala"")"	nan		
4	night	pmpacd	proto-MP-ACD 2	Austronesian		*beRŋi	"*halem 'night, dark'"	nan	"('night', 'adan1251-otvai', 'panaʔ')"	nan		
4	night	pmpacd	proto-MP-ACD 2	Austronesian		*halem	"*halem 'night, dark'"	nan	"('night', 'p-mala1545-acd', '*halem')"	nan		
5	day	pmpacd	proto-MP-ACD 2	Austronesian		*daqaNi	*waRi 'day; sun; dry in the sun'; also *qajaw	nan	"('day', 'p-aust1307-acd', '*daqaNi')"	nan		
5	day	pmpacd	proto-MP-ACD 2	Austronesian		*qalejaw	*waRi 'day; sun; dry in the sun'; also *qajaw	nan	"('day', 'p-aust1307-abvd', '*qalejaw')"	nan		
5	day	pmpacd	proto-MP-ACD 2	Austronesian		*waRi	*waRi 'day; sun; dry in the sun'; also *qajaw	nan	"('day', 'p-aust1307-acd', '*daqaNi')"	nan		
6	year	pmpacd	proto-MP-ACD 2	Austronesian		*taqun	"*taqun 'year, season'"	nan	"('year', 'abui1241-petle', 'tuŋ')"	nan		
