Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	p-aust1307-acd	proto-AN-ACD	Austronesian		*laŋiC	nan	l a ŋ i C - ( - - - - - - - - )	"('sky', 'alor1247-munas', ""'laŋi"")"	nan		
1	sun	p-aust1307-acd	proto-AN-ACD	Austronesian		*siNaR	*waRi 'day; sun; dry in the sun'	s i N a R	"('sun', 'p-aust1307-acd', '*siNaR')"	nan		
1	sun	p-aust1307-acd	proto-AN-ACD	Austronesian		*waRi	*waRi 'day; sun; dry in the sun'	w a R i	"('sun', 'abui1241-fuime', 'wari')"	nan		
2	moon	p-aust1307-acd	proto-AN-ACD	Austronesian		*bulaN	"*bulaN 'moon, month, menstruation'"	b u l a N - ( - - - - - - - - )	"('moon', 'adan1251-lawah', 'hu:l')"	nan		
3	star	p-aust1307-acd	proto-AN-ACD	Austronesian		*bituqen	nan	b i t u q e n	"('star', 'p-aust1307-abvd', '*bituqen')"	nan		
4	night	p-aust1307-acd	proto-AN-ACD	Austronesian		*Rabi-an	"*Rabi-an 'evning, night'"	R a b i a n	"('night', 'p-aust1307-acd', '*Rabi-an')"	nan		
4	night	p-aust1307-acd	proto-AN-ACD	Austronesian		*beRŋi-n	"*Rabi-an 'evning, night'"	b e R - ŋ i n	"('night', 'p-aust1307-abvd', '*beʀŋi')"	nan		
5	day	p-aust1307-acd	proto-AN-ACD	Austronesian		*daqaNi	nan	d a q a N i	"('day', 'p-aust1307-acd', '*daqaNi')"	nan		
5	day	p-aust1307-acd	proto-AN-ACD	Austronesian		*qajaw	nan	q a - - j a w	"('day', 'p-aust1307-abvd', '*qalejaw')"	nan		
13	cloud	p-aust1307-acd	proto-AN-ACD	Austronesian		*kudem	"*kudem: darkend by clouds, overcast"	k u - - d e m	"('cloud', 'p-aust1307-acd', '*kudem')"	nan		
14	wind	p-aust1307-acd	proto-AN-ACD	Austronesian		*haŋin	nan	h a ŋ i n - - - - - -	"('wind', 'alor1247-baran', ""'aŋi"")"	nan		
15	rain	p-aust1307-acd	proto-AN-ACD	Austronesian		*quzaN	nan	q u z a N	"('rain', 'alor1247-besar', ""'uraŋ"")"	nan		
38	foam	p-aust1307-acd	proto-AN-ACD	Austronesian		*buCaq	"*buCaq 'foam, froth'"	b u C a q	"('foam', 'p-aust1307-acd', '*buCaq')"	nan		
38	foam	p-aust1307-acd	proto-AN-ACD	Austronesian		*bujeq	"*buCaq 'foam, froth'"	b u j e q	"('foam', 'p-aust1307-acd', '*buCaq')"	nan		
39	forest	p-aust1307-acd	proto-AN-ACD	Austronesian		*Calun	"*tuqaS 'old, of people; primary forest, old forest'; *Salas 'forest, wilderness, woods'; *Calun 'secondary forest'"	C a l u n	"('forest', 'p-aust1307-acd', '*Calun')"	nan		
39	forest	p-aust1307-acd	proto-AN-ACD	Austronesian		*Salas	"*tuqaS 'old, of people; primary forest, old forest'; *Salas 'forest, wilderness, woods'; *Calun 'secondary forest'"	S a l a s	"('forest', 'p-aust1307-acd', '*Salas')"	nan		
39	forest	p-aust1307-acd	proto-AN-ACD	Austronesian		*tuqaS	"*tuqaS 'old, of people; primary forest, old forest'; *Salas 'forest, wilderness, woods'; *Calun 'secondary forest'"	- t u - q a S -	"('forest', 'p-aust1307-acd', '*tuqaS')"	nan		
43	garden	p-aust1307-acd	proto-AN-ACD	Austronesian		*qumah	"*qumah 'swidden, work a swidden'"	q u m a h	"('garden', 'buna1278-bobon', 'maɁ')"	nan		
44	fence	p-aust1307-acd	proto-AN-ACD	Austronesian		*qalad	"*qalad 'fence, wall'"	q a l a d	"('fence', 'p-aust1307-acd', '*qalad')"	nan		
45	road; path; way	p-aust1307-acd	proto-AN-ACD	Austronesian		*zalan	"*zalan 'path, made by human; way or meand to do something'"	z a l a n -	"('road; path; way', 'p-aust1307-abvd', '*zalan')"	nan		
52	machete	p-aust1307-acd	proto-AN-ACD	Austronesian		*bunuS	nan	b u n u S	"('machete', 'p-aust1307-acd', '*bunuS')"	nan		
59	bow	p-aust1307-acd	proto-AN-ACD	Austronesian		*busuR	nan	b u s u R	"('bow', 'alor1247-besar', ""'fuhu"")"	nan		
135	tear	p-aust1307-acd	proto-AN-ACD	Austronesian		*luSeq	nan	l u S e q	"('tear', 'p-aust1307-acd', '*luSeq')"	nan		
