Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	rett1240	Reta	Timor-Alor-Pantar	2Reta	buraŋ	buraŋ=mi means  'in the sky'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
1.0	sun	rett1240	Reta	Timor-Alor-Pantar	2Reta	vid ge:ŋ	lit. 'eye of the day'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
2.0	moon	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔuru	nan	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
3.0	star	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔid	nan	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
4.0	night	rett1240	Reta	Timor-Alor-Pantar	2Reta	kakua	lit. ' thing RDP-dark'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
4.0	night	rett1240	Reta	Timor-Alor-Pantar	2Reta	ʔil kakua	lit. ' thing RDP-dark'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
5.0	day	rett1240	Reta	Timor-Alor-Pantar	2Reta	vid	nan	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
6.0	year	rett1240	Reta	Timor-Alor-Pantar	2Reta	tuŋ	nan	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
7.0	morning	rett1240	Reta	Timor-Alor-Pantar	2Reta	ko:ko:	lit. 'RDP-cry'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
8.0	yesterday	rett1240	Reta	Timor-Alor-Pantar	2Reta	mɛlɛŋ	nan	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
9.0	day before yesterday	rett1240	Reta	Timor-Alor-Pantar	2Reta	tɛlɛŋ alɔ	alɔ means 'two'	nan	nan	datasets/retajw2016wordlist2016checkedbyjiang.tsv		
