Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
3	star	sika1262	Sika	Austronesian	5Flores, 2Central	dala	nan	#NAME?	"('star', 'alor1247-baran', ""ta'mala"")"	nan		
4	night	sika1262	Sika	Austronesian	5Flores, 2Central	guman	nan	g u m a n	('night', 'cent2245-hewa', 'guman')	nan		
5	day	sika1262	Sika	Austronesian	5Flores, 2Central	ləron	nan	l ə r o n - - -	"('day', 'adon1237', ""rɜ'_rɔ̃"")"	nan		
6	year	sika1262	Sika	Austronesian	5Flores, 2Central	livan	nan	l i v a n	('year', 'cent2245-hewa', 'liwan')	nan		
13	cloud	sika1262	Sika	Austronesian	5Flores, 2Central	klu	nan	k l u	('cloud', 'sika1262', 'klu')	nan		
14	wind	sika1262	Sika	Austronesian	5Flores, 2Central	anin	nan	- a n i n - - - - - -	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan		
15	rain	sika1262	Sika	Austronesian	5Flores, 2Central	uran	nan	- u r a n	('rain', 'adon1237', 'ˈʔurɑŋ')	nan		
25	lake	sika1262	Sika	Austronesian	5Flores, 2Central	naŋa	nan	n a ŋ a	"('lake', 'alor1247-baran', ""'danɑu"")"	nan		
30	Earth	sika1262	Sika	Austronesian	5Flores, 2Central	t̪ana	(earth/soil)	t̪ a n - a - - - - - -	"('Earth', 'adon1237', ""tana_'ʔekã"")"	nan		
32	stone	sika1262	Sika	Austronesian	5Flores, 2Central	vat̪u	nan	v a t̪ u	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
35	water (fresh)	sika1262	Sika	Austronesian	5Flores, 2Central	vai	fresh or salt?	v a i	"('water (fresh)', 'adon1237', ""'wɑi"")"	nan		
36	sea; sea water	sika1262	Sika	Austronesian	5Flores, 2Central	t̪ahi	(sea/ocean)	t̪ a h i - - - - -	"('sea; sea water', 'alor1247-besar', ""'tahi"")"	nan		
39	forest	sika1262	Sika	Austronesian	5Flores, 2Central	t̪uʔan	(woods/forest)	nan	"('forest', 'alor1247-baran', ""u'tɑŋ"")"	nan		
45	road; path; way	sika1262	Sika	Austronesian	5Flores, 2Central	lalan	(way)	l a l a n	('road; path; way', 'cent2245-hewa', 'laran')	nan		
51	rope	sika1262	Sika	Austronesian	5Flores, 2Central	t̪ali	nan	t̪ a l i -	"('rope', 'adon1237', ""'talɛʔ"")"	nan		
67	fire	sika1262	Sika	Austronesian	5Flores, 2Central	api	nan	- a p i -	('fire', 'adon1237', 'ˈʔape')	nan		
68	smoke	sika1262	Sika	Austronesian	5Flores, 2Central	nuhin	nan	n u h i n	('smoke', 'adon1237', 'ˈnuhũ')	nan		
71	fireplace ash	sika1262	Sika	Austronesian	5Flores, 2Central	avu	NOT 'debu' (dust, after you have been sweeping)	a v u -	('fireplace ash', 'adon1237', 'kɜˈʔawuk')	nan		
75	sand	sika1262	Sika	Austronesian	5Flores, 2Central	ne	nan	nan	"('sand', 'alor1247-besar', ""ta'nːiŋ"")"	nan		
76	grass; brush	sika1262	Sika	Austronesian	5Flores, 2Central	vaʔan	nan	v a ʔ a n	('grass; brush', 'cent2245-hewa', 'ʋaʔan')	nan		
85	wood	sika1262	Sika	Austronesian	5Flores, 2Central	olan	(stick, stem)	o l a n	('wood', 'sika1262', 'olan')	nan		
87	leaf	sika1262	Sika	Austronesian	5Flores, 2Central	roun	nan	r o u n -	('leaf', 'buna1278-bobon', 'nɔ')	nan		
91	root	sika1262	Sika	Austronesian	5Flores, 2Central	ramut̪	nan	r a m u t̪	('root', 'adon1237', 'ˈʔamut')	nan		
92	fruit	sika1262	Sika	Austronesian	5Flores, 2Central	vuan	nan	#NAME?	('below', 'adon1237', 'leˈrerˈʔẽ,_lali_laŋũ')	nan		
129	salt	sika1262	Sika	Austronesian	5Flores, 2Central	hini	nan	nan	('salt', 'adon1237', 'ˈsiʔa')	nan		
130	fat	sika1262	Sika	Austronesian	5Flores, 2Central	vuran	(fat/grease)	v u r a n	('fat', 'lama1278', 'ˈwɔraŋ')	nan		
131	flesh; meat	sika1262	Sika	Austronesian	5Flores, 2Central	ʔət̪an	nan	- - ʔ ə t̪ a n -	('flesh; meat', 'abui1241-fuime', 'mai_hitung')	nan		
132	bone	sika1262	Sika	Austronesian	5Flores, 2Central	lurin	nan	l u r i n	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
136	blood	sika1262	Sika	Austronesian	5Flores, 2Central	mei	nan	nan	('blood', 'adon1237', 'mei')	nan		
139	liver	sika1262	Sika	Austronesian	5Flores, 2Central	vat̪en	nan	v a t̪ e n	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
