Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	aja'kani	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
1.0	sun	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	wa'di	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
2.0	moon	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	pi'laka	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
3.0	star	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	la'wa:la	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
4.0	night	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	i'duni	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
5.0	day	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	wa'tɛna	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
6.0	year	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	i'lɔla	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
7.0	morning	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ali'kili	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
8.0	yesterday	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	a'pali	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
9.0	day before yesterday	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	tu'lari	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
10.0	tomorrow	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ala'ma	nan	nan	nan	datasets/swthc20151026sawilawordlistcheckedbymkandjiangjune2017.tsv		
