Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ajakani	nan	a - j a k a n - i	('sky', 'kola1287', 'ayakeng')	nan		
1.0	sun	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	wadi	nan	w a d i - - -	('sun', 'abui1241-fuime', 'wari')	nan		
2.0	moon	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	pilaka	nan	p i l - - a k a	('moon', 'kula1280-lanto', 'pilawaka')	nan		
3.0	star	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	lawa:la	nan	- - - l a w aː l a	('star', 'kula1280-lanto', 'ilelawa')	nan		
4.0	night	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	iduni	nan	- i d u n i	('night', 'kama1365', 'ɪtun')	nan		
5.0	day	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	watena	nan	w a - t e n a	('day', 'kama1365', 'wɑtɪ')	nan		
6.0	year	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ilɔla	nan	- i l ɔ l a	('year', 'kula1280-lanto', 'ile')	nan		
7.0	morning	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	alikili	nan	a l - i k i l i	('morning', 'buna1278-suai', 'leigie')	nan		
8.0	yesterday	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	apali	nan	a p a l i -	('yesterday', 'abui1241-takal', 'ä.fe̞j.dä')	nan		
9.0	day before yesterday	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	tulari	nan	t u - l a r i	('day before yesterday', 'kula1280-lanto', 'tualea')	nan		
10.0	tomorrow	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	alama	nan	a l a m a	"('tomorrow', 'abui1241-petle', ""ar.'ja"")"	nan		
11.0	day after tomorrow	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	jalaku	nan	- - - - - - - j a l a - - - k u -	('angry', 'lamm1241', 'arugga')	nan		
12.0	twilight; dawn	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	delana gapi	nan	d e l a n a _ g - - a p i	('twilight; dawn', 'adan1251-lawah', 'lalami')	nan		
13.0	cloud	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ajakane	nan	a j a k a n e	('cloud', 'sawi1256', 'ajakane')	nan		
14.0	wind	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	lapuna	nan	l a p u n a -	('wind', 'kama1365', 'lɪwɪnɛʔ')	nan		
15.0	rain	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	aja me	nan	a - - j a _ m e -	('rain', 'alor1249-sar-a', 'ál')	nan		
16.0	drizzle	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	aja bur	nan	a - j a _ b u r	"('drizzle', 'fata1247', ""aija_liri-'liri"")"	nan		
17.0	rainbow	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	sarana	nan	s a r a n - a	('rainbow', 'kula1280-lanto', 'saŋ')	nan		
18.0	thunder	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ajakata	nan	a j a k a t a	('thunder', 'kola1287', 'kete')	nan		
19.0	lightning	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	mila	nan	m i l a - - -	('lightning', 'kula1280-lanto', 'mila_piki')	nan		
20.0	earthquake	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	kɔmɛ made	nan	k ɔ m ɛ _ m a d e	('earthquake', 'kira1248', 'koˈme')	nan		
21.0	fog	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	sakapulo	nan	s a k a p u l o	('fog', 'kola1287', 'sákapul')	nan		
22.0	river; stream	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ilu	nan	nan	('river; stream', 'abui1241-fuime', 'lu')	nan		
25.0	lake	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	miraka	nan	m i r a k a -	"('lake', 'kola1287', ""meria'"")"	nan		
26.0	mountain	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ataku bubini	nan	a t a k u _ b u b i n - i	('mountain', 'kola1287', 'atoku_bubung')	nan		
27.0	hill; ridge	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	asara	nan	a s a r a	('hill; ridge', 'kula1280-lanto', 'asə')	nan		
28.0	village	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	mana	nan	m a n a -	"('village', 'kola1287', ""maná'"")"	nan		
29.0	land; soil	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ataku	nan	a t a k u	('land; soil', 'kola1287', 'atoku')	nan		
30.0	Earth	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ataku	nan	a t a k u	('Earth', 'kula1280-lanto', 'atəkw')	nan		
31.0	hole	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	luku	nan	l u k u	('hole', 'sawi1256', 'luku')	nan		
32.0	stone	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	wara	nan	w a r a	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
33.0	coral (rock)	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	wara səlara	nan	w a - r a _ s ə l a r a	"('coral (rock)', 'fata1247', ""aur_'cacar"")"	nan		
34.0	(coral) reef	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	səlara	nan	nan	('(coral) reef', 'kira1248', 'siˈlar')	nan		
35.0	water (fresh)	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	iria	nan	- i r i a	('water (fresh)', 'abui1241-fuime', 'je')	nan		
36.0	sea; sea water	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	tama	nan	nan	('sea; sea water', 'abui1241-fuime', 'tama')	nan		
37.0	wave	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ili ala	nan	i l i _ a l a	('below', 'adon1237', 'leˈrerˈʔẽ,_lali_laŋũ')	nan		
38.0	foam	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ili ala	nan	i l i _ a l a	('foam', 'kama1365', 'kuaː')	nan		
39.0	forest	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	adisine	nan	a d i s i n e	('forest', 'atim1239', 'ating')	nan		
40.0	field	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	lama kine	nan	l a m a _ k i n e	('field', 'sawi1256', 'lama_kine')	nan		
41.0	island	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ataku sile	nan	a t a k u _ s i l e	('island', 'kula1280-lanto', 'ataku')	nan		
42.0	rice field	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	para	nan	p a r a -	('rice field', 'sawi1256', 'para')	nan		
43.0	garden	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	para	nan	p a r a -	('garden', 'fata1247', 'pala')	nan		
44.0	fence	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	aka	nan	- a k a	('fence', 'kula1280-lanto', 'gaka')	nan		
45.0	road; path; way	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ijələ	nan	i j ə l ə	('road; path; way', 'buna1278-bobon', 'mɛlɛ')	nan		
46.0	canoe	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	sipiri	nan	s i p i r i	('canoe', 'kola1287', 'sipír')	nan		
47.0	sail (n.)	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	sipiri dəra	nan	s i p i r i _ d ə r a	('sail (n.)', 'sawi1256', 'sipiri_dəra')	nan		
48.0	to sail	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	məria lara	nan	m ə r i a _ - l a r a	('to sail', 'sawi1256', 'məria_lara')	nan		
49.0	fishing hook	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	awili	nan	- a w i l i	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	nan		
51.0	rope	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	silia	nan	s i l i - a	"('rope', 'abui1241-petle', ""si.'la"")"	nan		
52.0	machete	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	pida	nan	- - p i d a -	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
53.0	axe	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	puŋkala	nan	nan	('axe', 'abui1241-fuime', 'faling')	nan		
54.0	spear	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	susure	nan	s u s u r e -	('spear', 'buna1278-suai', 'sul')	nan		
55.0	burden stick	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	sala	nan	s a l a -	('burden stick', 'buna1278-bobon', 'lɔlan')	nan		
56.0	stick; pole	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	dikana	nan	nan	('stick; pole', 'abui1241-fuime', 'tukarang')	nan		
57.0	digging stick	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	səkɔp	nan	s ə k ɔ p	('digging stick', 'kula1280-lanto', 'skɔp')	nan		
59.0	bow	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	musa	nan	m u s a	('bow', 'alor1249-sar-a', 'ʔamútan')	nan		
60.0	arrow	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	sikiə	nan	s i k i ə	('arrow', 'kola1287', 'siki')	nan		
61.0	knife	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	kine	nan	k i n e -	('knife', 'kola1287', 'kinai')	nan		
62.0	comb	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	kekuri	nan	k e - k u r i	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
63.0	mat	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	busi	nan	b u s i -	('mat', 'adan1251-lawah', 'bahu')	nan		
64.0	needle	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	da:mu	nan	d aː - - - m u ( - - - - )	('needle', 'buna1278-bobon', 'daun')	nan		
65.0	clothing	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	dika badu	nan	d i - k a _ b a d u	('clothing', 'buna1278-suai', 'bai_phata')	nan		
67.0	fire	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ada	nan	- a d a	('fire', 'abui1241-fuime', 'ara')	nan		
68.0	smoke	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ada punokə	nan	a d a - _ - - p u n o - k ə	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
70.0	dust; fine earth	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ataku abu	nan	a t a k u _ a b u	('dust; fine earth', 'sawi1256', 'ataku_abu')	nan		
71.0	fireplace ash	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	duri	nan	- d u r i	('fireplace ash', 'kafo1240', 'aruj')	nan		
72.0	mud	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	dukwana	nan	- d u kw a n - a	('mud', 'sawi1256', 'dukwana')	nan		
73.0	clay	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ma:kumu	nan	m aː k u m u	('clay', 'alor1249-sar-n', 'moxoʔ_mu_iiʔ')	nan		
74.0	gravel	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	waramarun	nan	w a r a m a r u n	"('gravel', 'maka1316', ""sara'mata"")"	nan		
75.0	sand	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	iniŋi	nan	i n i ŋ i - -	('sand', 'fata1247', 'inik')	nan		
76.0	grass; brush	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ukuila	nan	u k - u i l a	('grass; brush', 'baka1276', 'nevel')	nan		
77.0	house	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	subɔ	nan	s u b ɔ - -	('house', 'abui1241-fuime', 'fala')	nan		
78.0	traditional house	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	adata gisubɔ	nan	a d a t a _ g i s u b ɔ	('traditional house', 'kula1280-lanto', 'adat_suba')	nan		
79.0	barn; storage house	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ju	nan	nan	('barn; storage house', 'kabo1247', 'o:y')	nan		
80.0	raised platform	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	liniə	nan	l i n i ə	('raised platform', 'sawi1256', 'liniə')	nan		
81.0	door	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	damata	nan	- - d a - m a t a -	('door', 'kira1248', 'damat')	nan		
82.0	(thatch) roof	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	subə li	nan	s u b ə _ l i - -	('(thatch) roof', 'kola1287', 'sob_led')	nan		
83.0	roof thatch	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	amana	nan	a m a n a - -	('roof thatch', 'abui1241-fuime', 'ameng')	nan		
84.0	tree	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	asəkə	nan	a s ə k ə - - -	('tree', 'kula1280-lanto', 'aska_ge')	nan		
85.0	wood	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	asəkə	nan	a s ə k ə	('wood', 'kula1280-lanto', 'asəka')	nan		
86.0	bark (of tree)	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	asəkə gijəkə	nan	nan	('bark (of tree)', 'kula1280-lanto', 'aska_gəka')	nan		
87.0	leaf	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	asekə ləkə	nan	a s e k ə _ l ə k ə	('leaf', 'kola1287', 'bong_lak')	nan		
88.0	branch	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	asəkə gawaŋki	nan	nan	('branch', 'sawi1256', 'asəkə_gawaŋki')	nan		
89.0	firewood	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	ada ruk	nan	a d a - _ r u k -	('firewood', 'abui1241-fuime', 'ara_waasing')	nan		
90.0	rattan	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	lutərə	nan	l u t ə r ə	('rattan', 'kola1287', 'lotor')	nan		
91.0	root	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	siripinə	nan	s i r i p i n ə -	('root', 'kola1287', 'sriping')	nan		
92.0	fruit	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	gisi	nan	g i s i - - - - - -	('fruit', 'alor1249-sar-a', 'jit')	nan		
93.0	seed	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	gikiki	nan	g i k i k - i -	('seed', 'abui1241-fuime', 'biika')	nan		
94.0	grain; cereal	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	araka	nan	a r a k - - a -	('grain; cereal', 'kola1287', 'arák-arák')	nan		
96.0	husked rice; uncooked rice	sawi1256	Sawila	Timor-Alor-Pantar	3Alor, 3East	arakesa	nan	a r a k e s a	('husked rice; uncooked rice', 'abui1241-fuime', 'ajak')	nan		
