Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	lalɛhaŋ	nan	l a l ɛ h a ŋ	"('sky', 'idat1237', ""la'lehɑn"")"	nan		
1	sun	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	loro matan	nan	l o r o _ m a t a n	('sun', 'adon1237', 'ˈrɜra')	nan		
2	moon	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	fulaŋ	nan	f u l a ŋ - ( - - - - - - - - )	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
3	star	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	fituŋ	nan	f i t u ŋ	('star', 'tetu1245-suai', 'fituŋ')	nan		
4	night	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	kalaŋ	nan	k a l - - a ŋ -	('night', 'baka1276', 'kamaluŋ')	nan		
5	day	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	lɔrɔŋ	nan	l ɔ r - ɔ ŋ	"('day', 'adon1237', ""rɜ'_rɔ̃"")"	nan		
6	year	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	tɪnaŋ	nan	t ɪ n a ŋ	('year', 'abui1241-petle', 'tuŋ')	nan		
7	morning	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	da'dɛ:r	nan	d a ˈd ɛː r	"('morning', 'tetu1245-suai', ""da'dɛ:r,_sei'sawan"")"	nan		
7	morning	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	sei'sawan	nan	d a ˈd ɛː r	"('morning', 'tetu1245-suai', ""da'dɛ:r,_sei'sawan"")"	nan		
8	yesterday	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	hɔr sɛik	nan	h ɔ r _ s ɛ i k	('yesterday', 'tetu1245-suai', 'hɔr_sɛik')	nan		
9	day before yesterday	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	hɔr baiŋ rua	nan	h ɔ r _ b a i ŋ _ r u a	('day before yesterday', 'tetu1245-suai', 'hɔr_baiŋ_rua')	nan		
10	tomorrow	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	aŋ	nan	- - - a - ŋ -	('tomorrow', 'tetu1245-suai', 'aŋ')	nan		
11	day after tomorrow	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	abaŋ baiŋ rua	nan	a b a ŋ _ b a i ŋ _ r u a	('day after tomorrow', 'tetu1245-suai', 'abaŋ_baiŋ_rua')	nan		
12	twilight; dawn	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	da'dɛ:r saŋ	nan	d a ˈd ɛː r _ s a ŋ	"('twilight; dawn', 'tetu1245-suai', ""da'dɛ:r_saŋ"")"	nan		
13	cloud	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	o'raga	nan	- o ˈr a g a	"('cloud', 'tetu1245-suai', ""o'raga"")"	nan		
14	wind	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	aniŋ	nan	- a n i ŋ - - - - - -	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan		
15	rain	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	4Timor, 2Central	udaŋ	nan	- u d a ŋ	('rain', 'adon1237', 'ˈʔurɑŋ')	nan		
