Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	tetu1246	Tetun Dili 	Austronesian	4Timor	la'lehɑn	nan	l a ˈl e h ɑ n	(0, 'tetu1245-suai', 'lalɛhaŋ')	nan		
1.0	sun	tetu1246	Tetun Dili 	Austronesian	4Timor	'lɔrɔ mɑ'tɑn	day eye	ˈl ɔ r ɔ _ m ɑ ˈt ɑ n	(1, 'sika1262-tanai', 'ləro')	nan		
2.0	moon	tetu1246	Tetun Dili 	Austronesian	4Timor	'fulɑn	nan	ˈf u l ɑ n - ( - - - - - - - - )	(0, 'p-aust1307-acd', '*laŋiC')	nan		
3.0	star	tetu1246	Tetun Dili 	Austronesian	4Timor	'fitun	nan	ˈf i t u n	(3, 'tetu1245-suai', 'fituŋ')	nan		
4.0	night	tetu1246	Tetun Dili 	Austronesian	4Timor	kɑ'lɑn	nan	k ɑ ˈl - - ɑ n -	(4, 'cent2245-hewa', 'guman')	nan		
5.0	day	tetu1246	Tetun Dili 	Austronesian	4Timor	lɔ'rɔn	nan	l ɔ ˈr - ɔ n	(5, 'cent2245-hewa', 'ləron')	nan		
6.0	year	tetu1246	Tetun Dili 	Austronesian	4Timor	ti'nɑn	nan	t i ˈn ɑ n	"(6, 'alor1247-baran', ""'tu:ŋ"")"	nan		
13.0	cloud	tetu1246	Tetun Dili 	Austronesian	4Timor	kalɔ'hɑn	nan	k a l ɔ ˈh ɑ n	"(13, 'tetu1246', ""kalɔ'hɑn"")"	nan		
14.0	wind	tetu1246	Tetun Dili 	Austronesian	4Timor	'ʔɑnin	nan	ˈʔ ɑ n i n - - - - - -	(204, 'cent2245-hewa', 'ʔau')	nan		
15.0	rain	tetu1246	Tetun Dili 	Austronesian	4Timor	ʔudɑn	nan	ʔ u d ɑ n	(86, 'cent2245-hewa', 'ʔai klokok')	nan		
21.0	fog	tetu1246	Tetun Dili 	Austronesian	4Timor	'ʔabu 'ʔabu	nan	ˈʔ a b - u _ ˈʔ a b u -	"(21, 'tetu1246', ""'ʔabu 'ʔabu"")"	nan		
22.0	river; stream	tetu1246	Tetun Dili 	Austronesian	4Timor	'mɔta	nan	ˈm ɔ t a	(22, 'tetu1245-suai', 'mota')	nan		
