Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	lalɛhaŋ	nan	l a l ɛ h a ŋ	"('sky', 'idat1237', ""la'lehɑn"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
1	sun	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	loro matan	nan	l o r o _ m a t a n	"('sun', 'alor1247-baran', ""la'ra"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
2	moon	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	fulaŋ	nan	- - f u l - - - - - - - - - a ŋ -	('moon', 'adan1251-lawah', 'hu:l')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
3	star	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	fituŋ	nan	f i t u ŋ	('star', 'tetu1245-suai', 'fituŋ')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
4	night	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	kalaŋ	nan	k - - a l a ŋ	('night', 'baka1276', 'kamaluŋ')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
5	day	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	lɔrɔŋ	nan	- - - - - - - - - - - l ɔ r ɔ - ŋ - - - - - -	"('day', 'alor1247-besar', ""la'ra"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
6	year	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	tɪnaŋ	nan	#NAME?	('year', 'abui1241-petle', 'tuŋ')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
7	morning	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	da'dɛ:r	nan	d a 'd - - ɛ: r	"('morning', 'tetu1245-suai', ""da'dɛ:r"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
7	morning	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	sei'sawan	nan	s ei 's a w a n	"('morning', 'tetu1245-suai', ""da'dɛ:r"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
8	yesterday	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	hɔr sɛik	nan	h ɔ r _ s ɛi k	('yesterday', 'tetu1245-suai', 'hɔr sɛik')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
9	day before yesterday	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	hɔr baiŋ rua	nan	h ɔ r _ b ai ŋ _ r ua	('day before yesterday', 'tetu1245-suai', 'hɔr baiŋ rua')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
10	tomorrow	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	aŋ	nan	a ŋ	('tomorrow', 'tetu1245-suai', 'aŋ')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
11	day after tomorrow	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	abaŋ baiŋ rua	nan	a b a ŋ _ b ai ŋ _ r ua	('day after tomorrow', 'tetu1245-suai', 'abaŋ baiŋ rua')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
12	twilight; dawn	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	da'dɛ:r saŋ	nan	d a 'd ɛ: r _ s a ŋ	"('twilight; dawn', 'tetu1245-suai', ""da'dɛ:r saŋ"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
13	cloud	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	o'raga	nan	o 'r a g a	"('cloud', 'tetu1245-suai', ""o'raga"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
14	wind	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	aniŋ	nan	- - a n - - i ŋ - -	"('wind', 'alor1247-baran', ""'aŋi"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
15	rain	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	udaŋ	nan	- - u d - a ŋ - - - -	"('rain', 'alor1247-besar', ""'uraŋ"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
16	drizzle	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	udaŋ 'rihik	nan	u d a ŋ _ - - 'r i h - - - - i k -	"('drizzle', 'alor1247-besar', ""'uraŋ fa'rɛha-fa'rɛha"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
17	rainbow	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	kɔ:r	nan	k ɔ: r	('rainbow', 'tetu1245-suai', 'kɔ:r')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
18	thunder	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	(kilat) laku	nan	( k i l a t ) _ l a k u	('thunder', 'tetu1245-suai', '(kilat) laku')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
19	lightning	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	kilat	nan	- k - - i l a - - t - - - - - - - -	"('lightning', 'alor1247-besar', ""'hila bi'ba"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
20	earthquake	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	rai nak'doko	rai= earth, nakdoko = shake	r ai _ n a k 'd o k o	"('earthquake', 'tetu1245-suai', ""rai nak'doko"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
21	fog	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	abu-abu	nan	a b u - a b - - - - - -	('fog', 'kama1365', 'safuː')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
22	river; stream	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	mota	nan	m o t a	('river; stream', 'tetu1245-suai', 'mota')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
23	ice	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	zelu	nan	z e l - - - - - u	('ice', 'buna1278-bobon', 'zelu')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
24	snow	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	salʤu	nan	s a l d Z u	('snow', 'alor1247-baran', 'salʤu')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
25	lake	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	ta:ŋki	nan	t a: ŋ k i	('lake', 'tetu1245-suai', 'ta:ŋki')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
26	mountain	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	karuik	nan	k a r ui k	('mountain', 'tetu1245-suai', 'karuik')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
27	hill; ridge	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	karuik lɛtɛŋ	nan	k a r ui k _ l ɛ t ɛ ŋ	('hill; ridge', 'tetu1245-suai', 'karuik lɛtɛŋ')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
28	village	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	suku	nan	s u k u	('village', 'tetu1245-suai', 'suku')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
29	land; soil	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	rai	nan	- - r ai -	"('land; soil', 'idat1237', ""la'rek"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
30	Earth	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	mundu	nan	m u n d u	('Earth', 'tetu1245-suai', 'mundu')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
31	hole	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	kuak	nan	k ua k	('hole', 'tetu1245-suai', 'kuak')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
32	stone	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	fatuk	nan	- f a t u k - - - -	"('stone', 'alor1247-baran', ""'fato"")"	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
33	coral (rock)	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	fatuk ruiŋ	nan	f a t u k _ r ui ŋ	('coral (rock)', 'tetu1245-suai', 'fatuk ruiŋ')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
34	(coral) reef	tetu1245-suai	Tetun Terik-Suai	Austronesian	4Timor, 2Central	ahu ruiŋ	ahu=nest; lime, ruiN=coral	a h u _ r ui ŋ	('(coral) reef', 'tetu1245-suai', 'ahu ruiŋ')	datasets/tdttetunteriksuaimk20160105wordlist.tsv		
