Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'ʔɑi 'mɔʔɔ	nan	ˈʔ ɑ i _ ˈm ɔ ʔ ɔ	"('sky', 'tuku1254', ""'ʔɑi_'mɔʔɔ"")"	nan		
1.0	sun	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'lɛlɔ	nan	ˈl ɛ l ɔ - - - - - -	('sun', 'adon1237', 'ˈrɜra')	nan		
2.0	moon	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'hula	nan	ˈh u l a - - ( - - - - - - - - )	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
3.0	star	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'hitu	nan	ˈh i t u	('star', 'baka1276', 'id')	nan		
4.0	night	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'rɑe 'buta	dust ?	ˈr ɑ e _ ˈb u t - - a	"('night', 'kema1243', ""'rɑe_meta'ma:"")"	nan		
5.0	day	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'ɑer	nan	ˈɑ e r	"('day', 'tuku1254', ""'ɑer"")"	nan		
6.0	year	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'tɔ:	nan	ˈt ɔː - - -	('year', 'abui1241-petle', 'tuŋ')	nan		
13.0	cloud	tuku1254	Tokodede	Austronesian	4Timor, 2Central	sɑ'bɑi 'tɛʔ	nan	s ɑ ˈb ɑ i _ ˈt ɛ ʔ	"('cloud', 'laka1255', ""sa'bɑi"")"	nan		
14.0	wind	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'gɛlu	nan	ˈg ɛ l u	('wind', 'buna1278-bobon', 'bɛl')	nan		
15.0	rain	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'ʔura	nan	ˈʔ u r a -	('rain', 'adon1237', 'ˈʔurɑŋ')	nan		
21.0	fog	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'rɑe 'ʔabur	dust ?	ˈr ɑ - - e _ ˈʔ a b u r	"('fog', 'alor1247-munas', ""sə'pu"")"	nan		
22.0	river; stream	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'ʔɛ: 'lɔa	nan	ˈʔ ɛː _ ˈl ɔ a	"('river; stream', 'tuku1254', ""'ʔɛ:_'lɔa"")"	nan		
23.0	ice	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'zelu 'hatu	become stone	nan	('ice', 'buna1278-bobon', 'zelu,_es')	nan		
25.0	lake	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'ʔɛ: 'lihu	nan	ˈʔ ɛː _ ˈl i h u	('lake', 'idat1237', 'lihu')	nan		
26.0	mountain	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'hɔhɔ 'lɑu	nan	ˈh ɔ h ɔ _ ˈl ɑ u	('mountain', 'buna1278-bobon', 'fous')	nan		
29.0	land; soil	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'rɑe	nan	ˈr ɑ e	"('land; soil', 'idat1237', ""la'rek"")"	nan		
32.0	stone	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'hatu	nan	ˈh a t u -	('(coral) reef', 'adan1251-otvai', 'ɔʔɔi')	nan		
35.0	water (fresh)	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'ʔɛ:	nan	ˈʔ ɛː -	('water (fresh)', 'abui1241-fuime', 'je')	nan		
36.0	sea; sea water	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'tɑsi	nan	ˈt ɑ s i - - - - -	"('sea; sea water', 'alor1247-besar', ""'tahi"")"	nan		
39.0	forest	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'kɑi 'lara	Generic ?	nan	"('forest', 'idat1237', ""'ʔɑi_le'ʔik"")"	nan		
43.0	garden	tuku1254	Tokodede	Austronesian	4Timor, 2Central	(R) 'brɑɔ	nan	ˈb - r ɑ ɔ	"('garden', 'tuku1254', ""(R)_'brɑɔ"")"	nan		
45.0	road; path; way	tuku1254	Tokodede	Austronesian	4Timor, 2Central	(R) 'da:	nan	ˈd aː	"('road; path; way', 'tuku1254', ""(R)_'da:"")"	nan		
46.0	canoe	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'prɔ:	canoe; canoe fire; canoe; boat	ˈp - r ɔː - -	"('canoe', 'abui1241-petle', ""'pe.laŋ"")"	nan		
46.0	canoe	tuku1254	Tokodede	Austronesian	4Timor, 2Central	pro api	canoe; canoe fire; canoe; boat	p r o _ - a p i	"('canoe', 'kema1243', ""prɔ_'ʔɑpi"")"	nan		
51.0	rope	tuku1254	Tokodede	Austronesian	4Timor, 2Central	'tali	nan	ˈt a - l i -	('rope', 'abui1241-takal', 'tʰi.lä')	nan		
