Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	apəŋge	nan	a p ə ŋ g e -	(0, 'kula1280-lanto', 'apəŋge(y)a')	nan		
1.0	sun	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	wad	nan	w a d -	(1, 'wers1238', 'wudi')	nan		
2.0	moon	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	pilawaka	nan	p i l a w a k a	(2, 'sawi1256', 'pilaka')	nan		
3.0	star	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	ilelawa	nan	i l e l a w - - a	(3, 'sawi1256', 'lawa:la')	nan		
4.0	night	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	idəni	nan	- i d ə n i	(4, 'sawi1256', 'iduni')	nan		
5.0	day	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	wante	 	w a n t e - -	(5, 'sawi1256', 'watena')	nan		
6.0	year	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	ile	nan	- i l e - -	(6, 'wers1238', 'wulɛl')	nan		
7.0	morning	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	idəle	nan	- i d ə - l e -	(7, 'wers1238', 'wudiŋlɛ')	nan		
8.0	yesterday	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	apale	nan	a p a l e -	(8, 'sawi1256', 'apali')	nan		
9.0	day before yesterday	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	apale lemun	nan	a p a l e _ l e m u n	(9, 'kula1280', 'apale lemun')	nan		
10.0	tomorrow	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	ile wante	nan	i l e _ w a n t e	(10, 'kula1280', 'ile wante')	nan		
11.0	day after tomorrow	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	ilakaŋ	nan	- i l a k a ŋ -	(11, 'sawi1256', 'jalaku')	nan		
12.0	twilight; dawn	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	dalan adapa	nan	d a l a n - _ - a d a p a	(12, 'wers1238', 'dlaŋ gdap')	nan		
13.0	cloud	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	sakapla	nan	s a k a p - l a	(13, 'kama1365', 'saful')	nan		
14.0	wind	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	lapun	nan	l a p u n - -	(14, 'wers1238', 'ləpɔŋ')	nan		
15.0	rain	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	aja	nan	a - j a	(15, 'fata1247', 'aija')	nan		
16.0	drizzle	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	ajabur	nan	a j a b u r	(16, 'kula1280', 'ajabur')	nan		
17.0	rainbow	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	sian duka	‘rainbow stands’	s i a n _ d u k a	(17, 'kula1280', 'sian duka')	nan		
18.0	thunder	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	kəta	nan	- - - k ə t a	(18, 'sawi1256', 'ajakata')	nan		
19.0	lightning	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	milapik	nan	m i l a p i k	(19, 'sawi1256', 'mila')	nan		
20.0	earthquake	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	kumemde	kume mədɛ 'earthquake comes'	k u m e - m d - e	(20, 'wers1238', 'kɔmɛ')	nan		
21.0	fog	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	sakapla	nan	s a k a p - l a	(21, 'wers1238', 'sakupul')	nan		
22.0	river; stream	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	ili	nan	- i l i - -	(206, 'cent2245-hewa', 'nimu')	nan		
23.0	ice	kula1280	Kula	Timor-Alor-Pantar	3Alor, 3East	es	nan	- e s	"(23, 'alor1247-baran', ""'ɛs"")"	nan		
