Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sky	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	a’pəŋ’ge	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
1.0	sun	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	wad	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
2.0	moon	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	pila’waka	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
3.0	star	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	ile’lawa	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
4.0	night	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	idə’ni	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
5.0	day	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	’wante	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
6.0	year	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	ile	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
7.0	morning	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	idə’le	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
8.0	yesterday	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	a’pale	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
9.0	day before yesterday	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	a’pale le’mun	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
10.0	tomorrow	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	ile ’wante	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
11.0	day after tomorrow	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	ila’kaŋ	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
12.0	twilight; dawn	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	dalan a’dapa	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
13.0	cloud	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	sakap’la	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
14.0	wind	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	la’pun	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
15.0	rain	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	a’ja	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
16.0	drizzle	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	aja’bur	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
17.0	rainbow	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	’siaŋ	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
18.0	thunder	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	ka’ta	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
19.0	lightning	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	mila’pik	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
20.0	earthquake	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	ku’me	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
21.0	fog	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	sakap’la	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
22.0	river; stream	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	i’li	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
23.0	ice	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	3Alor, 3East	ɛs	nan	nan	nan	datasets/tpghcfullwordlistkulatranscribedbymk2june2017.tsv		
