Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	deliŋ	nan	nan	nan	nan		
1	sun	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wɑtɪ	nan	nan	1	nan		
2	moon	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wud	nan	nan	1	nan		
3	star	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ɑtɛjbɑ	nan	nan	3	nan		
4	night	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ɪtun	nan	nan	7	nan		
5	day	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wɑtɪ	nan	nan	1	nan		
6	year	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	tuŋ	nan	nan	nan	nan		
7	morning	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wil	"This noun does not occurs on its own, but must be combined with other lexemes."	nan	*	nan		
7	morning	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	wil kaŋ	"This noun does not occurs on its own, but must be combined with other lexemes."	nan	*	nan		
8	yesterday	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	apaːh	"apaːh is adv, tuŋsuma is n."	nan	*	nan		
8	yesterday	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	tuŋsama	"apaːh is adv, tuŋsuma is n."	nan	*	nan		
10	tomorrow	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	paisan	nan	nan	*	nan		
11	day after tomorrow	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	ok ganin	paisan ok is lit. 'two tomorrows'.	nan	*	nan		
11	day after tomorrow	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	paisan ok	paisan ok is lit. 'two tomorrows'.	nan	*	nan		
12	twilight; dawn	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	tafeːŋ	nan	nan	nan	nan		
13	cloud	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	"3Alor, 2Central"	saful	nan	nan	8	nan		
