language	lang_id	gloss	transcription	translation	comment
Belang		1. Tangan	limak	hand	
Belang		2. Kiri	seki	left	
Belang		3. Kanan	wana	right	
Belang		4. Kaki	leik	foot	
Belang		5. Kaki	əpa	footprint	
Belang		6. Berjalan	pana	walk	
Belang		7. Jalan	lara	road	
Belang		8. Datang	bəsol	come	
Belang		9. Balik	tue	return	
Belang		10. Berenang	naŋe	swim	
Belang		11. Mencuci	səsa	wash	
Belang		12. Hapus	bəjak	wipe	
Belang		13. Gosok	doru	rub	
Belang		14. Kotor	wala	dirty	
Belang		15. Debu	əmut	dust	
Belang		16. Kulit	kama	skin	
Belang		17. Punggung	usuk	back	
Belang		18. Perut	luwuk	belly	
Belang		19. Tulang	riuk	bone	
Belang		20. Isi perut	taik kaluŋ	stomach	
Belang		21. Hati	onək	liver	
Belang		22. Jantung	puo	heart	
Belang		23. Tahu	toi	know	
Belang		24. Pikir	pet	think	
Belang		25. Takut	kərui	scared	
Belang		26. Darah	mei	blood	
Belang		27. Kepala	kotək	head	
Belang		28. Leher	wulik	neck	
Belang		29. Rambut	ratak	hair	
Belang		30. Hidung	niruŋ	nose	
Belang		31. Bernapas	hea naik	breathe	
Belang		32. Membaui	hodam	smell	
Belang		33. Mulut	nūk	mouth	
Belang		34. Gigi	ipək	tooth	
Belang		35. Lidah	ewel	tongue	
Belang		36. Tertawa	gekaj	laugh	
Belang		37. Menangis	tani	cry	
Belang		38. Muntah	lua	vomit	
Belang		39. Meludah	təmijo	spit	
Belang		40. Makan	ka	eat	
Belang		41. Masak	bio	cook	
Belang		42. Minum	tenu	drink	
Belang		43. Gigit	gike	bite	
Belang		44. Menetek	tuo	suck	
Belang		45. Telinga	tiluk	ear	
Belang		46. Dengar	dəŋ	listen	
Belang		47. Mata	matak	eye	
Belang		48. Melihat	koi	see	
Belang		49. Tidur	turu	sleep	
Belang		50. Rebah	pawaŋ	lie down	
Belang		51. Duduk	tobo	sit	
Belang		52. Berdiri	dei	stand	
Belang		53. Orang	atadik	person	
Belang		54. Laki-laki	kəbailake	man	
Belang		55. Wanita	kəbarawae	woman	
Belang		56. Anak	ana	child	
Belang		57. Suami	ha	husband	
Belang		58. Isteri	ha	wife	
Belang		59. Ibu	ina	mother	
Belang		60. Bapak	ama	father	
Belang		61. Kakak	kaka	older sibling	
Belang		62. Adik	ari	younger sibling	
Belang		63. Nama	naraŋ	name	
Belang		64. Bilang	mari	say	
Belang		65. Tali	tale	rope	
Belang		66. Mengikat 	pui	tie	
Belang		67. Menjahit 	haur	sew	
Belang		68. Pakaian 	alelolo	clothing	
Belang		69. Berburu	bati	hunt	
Belang		70. Menembak 	pasak	shoot	
Belang		71. Menikam 	tubak	stab	
Belang		72. Bertinju 	tubuk	fist	
Belang		73. berkelahi 	uno	fight	
Belang		74. Membunuh 	təbajak	kill	
Belang		75. Mati 	mate	dead	
Belang		76. Hidup 	morip	alive	
Belang		77. Menggaruk 	ragu	scratch	
Belang		78. Memotong	belo	cut	
Belang		79. Batang 	tawa	stem	
Belang		80. Membelah 	ləka	split	
Belang		81. Tajam 	rəkət	sharp	
Belang		82. Tumpul 	moso	blunt 	
Belang		83. Bekerja 	kərja	work	
Belang		84. Bermain 	gəla	play	
Belang		85. Menyanyi	kantar	sing	
Belang		86. Menari 	soka	dance	
Belang		87. Bengkak	hobaj	swollen	
Belang		88. Memeras 	piuk	squeeze	
Belang		89. Memegang	soga	hold	
Belang		90. Menggali 	gəli	dig	
Belang		91. Memberi 	soro	give	
Belang		92. Menarik	tubo	pull	
Belang		93. Mendorong 	uduk	push	
Belang		94. Melempar 	geba	throw	
Belang		95. Jatuh 	ləŋat	fall	
Belang		96. Anjing 	ao	dog	
Belang		97. Burung 	kolo	bird	
Belang		98. Telur 	təlu	egg	
Belang		99. Bulu 	rawuk	feather	
Belang		100. Sayap 	kəpi	wing	
Belang		101. Terbang 	bəka	fly	
Belang		102. Binatang 	əwan nawu	animal	
Belang		103. Daging 	bənək	meat	
Belang		104. Lemak 	wora	fat	
Belang		105. Ekor 	iku	tale	
Belang		106. Ular 	ula	snake	
Belang		107. Cacing 	eko	worm	
Belang		108. Kutu 	kuto	louse	
Belang		109. Ikan 	ika	fish	
Belang		110. Pohon 	kajo	tree	
Belang		111. Busuk 	wau	rotten	
Belang		112. Daun 	lolo	leaf	
Belang		113. Kulit kayu	k. kama	bark	I think the k. is kajo
Belang		114. Akar 	ramut	root	
Belang		115. Biji 	kulu	seed	
Belang		116. Bunga 	puŋa	flower	
Belang		117. Buah 	wua	fruit	
Belang		118. Rumput 	kərəkak	grass	
Belang		119. Tanah 	tana	earth	
Belang		120. Batu 	wato	stone	
Belang		121. Pasir 	wəra	sand	
Belang		122. Air 	wai	water	
Belang		123. Membeku 	—	freeze	
Belang		124. Es 	—	ice	
Belang		125. Mengalir 	golo	flow	
Belang		126. Terapung 	bao	float	
Belang		127. Laut 	ojok	sea	
Belang		128. Garam 	sia	salt	
Belang		129. Danau 	liwo	lake	
Belang		130. Sungai 	luŋu	river	
Belang		131. Gunung 	ile	mountain	
Belang		132. Hutan	eka maŋan	forest	
Belang		133. Langit 	kələm	sky	
Belang		134. Matahari 	ləra	sun	
Belang		135. Bintang 	təmala	star	
Belang		136. Awan 	kowa	cloud	
Belang		137. Embun 	apu	dew	
Belang		138. Hujan 	ura	rain	
Belang		139. Salju 	—	snow	
Belang		140. Angin 	aŋi	wind	
Belang		141. Bertiup 	didi	blow	
Belang		142. Panas 	pəlate	hot	
Belang		143. Dingin 	lətəs	cold	
Belang		144. Kering 	mara	dry	
Belang		145. Basah 	səba	wet	
Belang		146. Rata 	lere	flat, smooth	
Belang		147. Berat 	bāt	heavy	
Belang		148. Api 	ape	fire	
Belang		149. Membakar 	səru	burn	
Belang		150. Asap 	sənəgur	smoke	
Belang		151. Abu 	kawuk	dust	
Belang		152. Hitam 	mitəm	black 	
Belang		153. Putih 	bura	white	
Belang		154. Merah 	mea	red	
Belang		155. Kuning 	kuma	yellow	
Belang		156. Hijau 	pəntaŋəs	green	
Belang		157. Kecil 	ana	small	
Belang		158. Besar 	bel (duaŋ)	big	
Belang		159. Pendek 	kəru	short	
Belang		160. Panjang 	bəlawi	long	
Belang		161. Tipis 	nipi	thin	
Belang		162. Tebal 	pəŋe	thick	
Belang		163. Sempit 	hipet	narrow	
Belang		164. Luas 	pəlagaj	wide	
Belang		165. Lurus 	mulu	straight	
Belang		166. Tua 	magu	old	
Belang		167. Baru 	wu	new	
Belang		168. Baik 	məla	good	
Belang		169. Jelek	kədatək	bad	
Belang		170. Betul 	mur	right, correct	
Belang		171. Malam 	rəma	night	
Belang		172. Tahun 	tuŋ	year	
Belang		173. Hari 	ləro	day	
Belang		174. Bilamana 	arapira	when	
Belang		175. Di 	di	in 	
Belang		176. Dalam 	on	inside	
Belang		177. Di sini 	nəpi	here	
Belang		178. Di situ 	nəpe	there	
Belang		179. Ini 	nəpi	this	
Belang		180. Itu 	pəpe	that	
Belang		181. Dekat 	dac	near	
Belang		182. Jauh 	doa	far	
Belang		183. Di mana 	nəga	where	
Belang		184. Saya 	goe	1SG	
Belang		185. Engkau/ kamu 	moe	2SG;2PL	
Belang		186. Dia 	nae	3SG	
Belang		187. Kita 	tite	1PL.INC	
Belang		188. Kami 	kame	1PL.EXC	
Belang		189. Mereka 	rae	3PL	
Belang		190. Apa 	alaku	what	
Belang		191. Siapa 	heku	who	
Belang		192. Lain	geak	other	
Belang		193. Beberapa 	bopira	some	
Belang		194. Banyak 	aja	many	
Belang		195. Sedikit 	ue	few	
Belang		196. Semua 	pua	all	
Belang		197. Dan 	no	and	
Belang		198. Dengan	no	with	
Belang		199. Sebab 	puk	because	
Belang		200. Jikalau 	kalu	if	
