language	lang_id	gloss	transcription	translation	comment
Imulolo		1. Tangan	limasa	hand	
Imulolo		2. Kiri	səmekiŋən	left	
Imulolo		3. Kanan	fanan	right	
Imulolo		4. Kaki	linəsa	foot	
Imulolo		5. Kaki	l. or	footprint	 
Imulolo		6. Berjalan	labi	walk	
Imulolo		7. Jalan	lala	road	
Imulolo		8. Datang	bəsol	come	
Imulolo		9. Balik	tue	return	
Imulolo		10. Berenang	naŋ	swim	
Imulolo		11. Mencuci	basa	wash	
Imulolo		12. Hapus	hapus	wipe	
Imulolo		13. Gosok	odo	rub	
Imulolo		14. Kotor	milana	dirty	
Imulolo		15. Debu	əmut	dust	
Imulolo		16. Kulit	kamakəs	skin	
Imulolo		17. Punggung	kətubəŋəs	back	
Imulolo		18. Perut	tukasa	belly	
Imulolo		19. Tulang	riukəs	bone	
Imulolo		20. Isi perut	tukasa usər	stomach	
Imulolo		21. Hati	orasa	liver	
Imulolo		22. Jantung	puosa	heart	
Imulolo		23. Tahu	kin	know	kin, min: different inflections
Imulolo		24. Pikir	petən	think	
Imulolo		25. Takut	kəruitəs	scared	
Imulolo		26. Darah	səmeisa	blood	
Imulolo		27. Kepala	ulusa	head	
Imulolo		28. Leher	fulesa	neck	
Imulolo		29. Rambut	latarəs	hair	
Imulolo		30. Hidung	nijuŋəs	nose	
Imulolo		31. Bernapas	ər naisa	breathe	
Imulolo		32. Membaui	sodam	smell	
Imulolo		33. Mulut	fəfasa	mouth	
Imulolo		34. Gigi	kiakəs	tooth	
Imulolo		35. Lidah	efeləs	tongue	
Imulolo		36. Tertawa	gekay	laugh	
Imulolo		37. Menangis	əra	cry	
Imulolo		38. Muntah	luaŋa	vomit	
Imulolo		39. Meludah	təmi	spit	
Imulolo		40. Makan	ka	eat	ka, ga: different inflections
Imulolo		41. Masak	giu	cook	
Imulolo		42. Minum	men	drink	men, ten: different inflections
Imulolo		43. Gigit	gik	bite	
Imulolo		44. Menetek	tus	suck	
Imulolo		45. Telinga	kiŋasa	ear	
Imulolo		46. Dengar	dəŋ	listen	
Imulolo		47. Mata	kulukəs	eye	
Imulolo		48. Melihat	sure	see	
Imulolo		49. Tidur	gəle	sleep	
Imulolo		50. Rebah	pafaŋa	lie down	
Imulolo		51. Duduk	tobe	sit	
Imulolo		52. Berdiri	dir	stand	
Imulolo		53. Orang	atadikəja	person	
Imulolo		54. Laki-laki	lamen	man	
Imulolo		55. Wanita	gərapor	woman	
Imulolo		56. Anak	ana	child	
Imulolo		57. Suami	kəlake	husband	
Imulolo		58. Isteri	kəfae	wife	
Imulolo		59. Ibu	ina	mother	
Imulolo		60. Bapak	ama	father	
Imulolo		61. Kakak	tata	older sibling	
Imulolo		62. Adik	waji	younger sibling	
Imulolo		63. Nama	najanəs	name	
Imulolo		64. Bilang	gas	say	
Imulolo		65. Tali	fədək	rope	
Imulolo		66. Mengikat 	pui	tie	
Imulolo		67. Menjahit 	saur	sew	
Imulolo		68. Pakaian 	alolo	clothing	
Imulolo		69. Berburu	bati	hunt	
Imulolo		70. Menembak 	pasak	shoot	
Imulolo		71. Menikam 	tubak	stab	
Imulolo		72. Bertinju 	tad	fist	
Imulolo		73. berkelahi 	puno	fight	
Imulolo		74. Membunuh 	bel	kill	
Imulolo		75. Mati 	mataja	dead	
Imulolo		76. Hidup 	mojipa	alive	
Imulolo		77. Menggaruk 	rag	scratch	
Imulolo		78. Memotong	bel	cut	
Imulolo		79. Batang 	puka	stem	
Imulolo		80. Membelah 	legata	split	
