language	lang_id	gloss	transcription	translation	comment
Kedang	keda1252	1. Tangan	liŋ	hand	
Kedang	keda1252	2. Kiri	weri	left	
Kedang	keda1252	3. Kanan	wana	right	
Kedang	keda1252	4. Kaki	lei	foot	
Kedang	keda1252	5. Kaki	l. laleŋ	footprint	
Kedang	keda1252	6. Berjalan	pan	walk	
Kedang	keda1252	7. Jalan	lala	road	
Kedang	keda1252	8. Datang	adan	come	
Kedang	keda1252	9. Balik	puer	return	
Kedang	keda1252	10. Berenang	naŋe	swim	
Kedang	keda1252	11. Mencuci	bahiŋ	wash	
Kedang	keda1252	12. Hapus	poho	wipe	
Kedang	keda1252	13. Gosok	poho	rub	
Kedang	keda1252	14. Kotor	miteŋ	dirty	
Kedang	keda1252	15. Debu	lebu	dust	
Kedang	keda1252	16. Kulit	ama	skin	
Kedang	keda1252	17. Punggung	obi	back	
Kedang	keda1252	18. Perut	botin	belly	
Kedang	keda1252	19. Tulang	lurin	bone	
Kedang	keda1252	20. Isi perut	tein	stomach	
Kedang	keda1252	21. Hati	taʔmuti	liver	
Kedang	keda1252	22. Jantung	taeŋ	heart	
Kedang	keda1252	23. Tahu	nuan	know	
Kedang	keda1252	24. Pikir	kelən	think	
Kedang	keda1252	25. Takut	taiʔ	scared	
Kedang	keda1252	26. Darah	wei	blood	
Kedang	keda1252	27. Kepala	tubar	head	
Kedang	keda1252	28. Leher	aduŋ	neck	
Kedang	keda1252	29. Rambut	uha	hair	
Kedang	keda1252	30. Hidung	niŋ	nose	
Kedang	keda1252	31. Bernapas	ipo	breathe	
Kedang	keda1252	32. Membaui	naeʔ	smell	
Kedang	keda1252	33. Mulut	nunu	mouth	
Kedang	keda1252	34. Gigi	awar	tooth	
Kedang	keda1252	35. Lidah	ebel	tongue	
Kedang	keda1252	36. Tertawa	tawe	laugh	
Kedang	keda1252	37. Menangis	kueʔ	cry	
Kedang	keda1252	38. Muntah	mute	vomit	
Kedang	keda1252	39. Meludah	potaʔ	spit	
Kedang	keda1252	40. Makan	a	eat	a, kaː different inflections
Kedang	keda1252	41. Masak	iu	cook	
Kedang	keda1252	42. Minum	min	drink	
Kedang	keda1252	43. Gigit	kiʔi	bite	
Kedang	keda1252	44. Menetek	tu	suck	
Kedang	keda1252	45. Telinga	til	ear	
Kedang	keda1252	46. Dengar	deŋər	listen	
Kedang	keda1252	47. Mata	mato	eye	
Kedang	keda1252	48. Melihat	bora	see	
Kedang	keda1252	49. Tidur	teʔel	sleep	
Kedang	keda1252	50. Rebah	retiŋ	lie down	
Kedang	keda1252	51. Duduk	tebe	sit	
Kedang	keda1252	52. Berdiri	mader	stand	
Kedang	keda1252	53. Orang	atadiʔen	person	
Kedang	keda1252	54. Laki-laki	ebe ʔabe	man	
Kedang	keda1252	55. Wanita	are rian	woman	
Kedang	keda1252	56. Anak	anaʔ	child	
Kedang	keda1252	57. Suami	ate rian	husband	
Kedang	keda1252	58. Isteri	weʔ rian	wife	
Kedang	keda1252	59. Ibu	ine	mother	
Kedang	keda1252	60. Bapak	ame	father	
Kedang	keda1252	61. Kakak	ʔaʔe	older sibling	
