language	lang_id	gloss	transcription	translation	comment
Lamahora		1. Tangan	limak	hand	
Lamahora		2. Kiri	meki	left	
Lamahora		3. Kanan	wana	right	
Lamahora		4. Kaki	leik	foot	
Lamahora		5. Kaki	əpaŋ	footprint	
Lamahora		6. Berjalan	pana	walk	
Lamahora		7. Jalan	laran	road	
Lamahora		8. Datang	lohe	come	
Lamahora		9. Balik	tue	return	
Lamahora		10. Berenang	naŋe	swim	
Lamahora		11. Mencuci	baha	wash	
Lamahora		12. Hapus	hapu	wipe	
Lamahora		13. Gosok	doru	rub	
Lamahora		14. Kotor	milã	dirty	
Lamahora		15. Debu	əmut	dust	
Lamahora		16. Kulit	kulit	skin	
Lamahora		17. Punggung	kənaruk	back	
Lamahora		18. Perut	taik	belly	
Lamahora		19. Tulang	riɁu	bone	
Lamahora		20. Isi perut	taikət onã	stomach	
Lamahora		21. Hati	onəkə	liver	
Lamahora		22. Jantung	puhokə	heart	
Lamahora		23. Tahu	koi	know	
Lamahora		24. Pikir	petən	think	
Lamahora		25. Takut	takut	scared	
Lamahora		26. Darah	mei	blood	
Lamahora		27. Kepala	kotəkə	head	
Lamahora		28. Leher	wulikə	neck	
Lamahora		29. Rambut	rata	hair	
Lamahora		30. Hidung	irunə	nose	
Lamahora		31. Bernapas	eha naikə	breathe	
Lamahora		32. Membaui	hodã	smell	
Lamahora		33. Mulut	nuhukə	mouth	
Lamahora		34. Gigi	ipəkə	tooth	
Lamahora		35. Lidah	ewel	tongue	
Lamahora		36. Tertawa	gekay	laugh	
Lamahora		37. Menangis	tani	cry	
Lamahora		38. Muntah	mutakə	vomit	
Lamahora		39. Meludah	prino	spit	
Lamahora		40. Makan	kã	eat	
Lamahora		41. Masak	biho	cook	
Lamahora		42. Minum	kenu	drink	
Lamahora		43. Gigit	gike	bite	
Lamahora		44. Menetek	tuho	suck	
Lamahora		45. Telinga	tilukə	ear	
Lamahora		46. Dengar	dəŋa	listen	
Lamahora		47. Mata	matakə	eye	
Lamahora		48. Melihat	hulã	see	
Lamahora		49. Tidur	turu	sleep	
Lamahora		50. Rebah	ewa	lie down	
Lamahora		51. Duduk	tobo	sit	
Lamahora		52. Berdiri	deɁi	stand	
Lamahora		53. Orang	dikã	person	
Lamahora		54. Laki-laki	bəlake	man	
Lamahora		55. Wanita	bərwae	woman	
Lamahora		56. Anak	ana	child	
Lamahora		57. Suami	hakã	husband	
Lamahora		58. Isteri	hakã	wife	
Lamahora		59. Ibu	inakə	mother	
Lamahora		60. Bapak	amakə	father	
Lamahora		61. Kakak	kakakə	older sibling	
Lamahora		62. Adik	arikə	younger sibling	
Lamahora		63. Nama	narã	name	
Lamahora		64. Bilang	mari	say	
Lamahora		65. Tali	tale	rope	
Lamahora		66. Mengikat 	pui	tie	
Lamahora		67. Menjahit 	haur	sew	
Lamahora		68. Pakaian 	alelolo	clothing	
Lamahora		69. Berburu	batĩ	hunt	
Lamahora		70. Menembak 	pasa	shoot	
Lamahora		71. Menikam 	tubak	stab	
Lamahora		72. Bertinju 	tubuk	fist	
Lamahora		73. berkelahi 	uno	fight	
Lamahora		74. Membunuh 	belo	kill	
Lamahora		75. Mati 	mataj	dead	
Lamahora		76. Hidup 	morip	alive	
Lamahora		77. Menggaruk 	ragu	scratch	
Lamahora		78. Memotong	belo	cut	
Lamahora		79. Batang 	pukã	stem	
Lamahora		80. Membelah 	gika	split	
Lamahora		81. Tajam 	rəkətə	sharp	
Lamahora		82. Tumpul 	moŋo	blunt 	
Lamahora		83. Bekerja 	kərja	work	
Lamahora		84. Bermain 	gəlaha	play	
Lamahora		85. Menyanyi	kantar	sing	
Lamahora		86. Menari 	soka	dance	
Lamahora		87. Bengkak	hogor	swollen	
Lamahora		88. Memeras 	piuk	squeeze	
Lamahora		89. Memegang	pehe	hold	
Lamahora		90. Menggali 	gali	dig	
Lamahora		91. Memberi 	soro	give	
Lamahora		92. Menarik	tubo	pull	
Lamahora		93. Mendorong 	uduk	push	
Lamahora		94. Melempar 	geba	throw	
Lamahora		95. Jatuh 	ləŋa	fall	
Lamahora		96. Anjing 	aho	dog	
Lamahora		97. Burung 	kolo	bird	
Lamahora		98. Telur 	təlʔu	egg	
Lamahora		99. Bulu 	rawukə	feather	
Lamahora		100. Sayap 	kəpi	wing	
Lamahora		101. Terbang 	bəka	fly	
Lamahora		102. Binatang 	əwã	animal	
Lamahora		103. Daging 	ela	meat	
Lamahora		104. Lemak 	worʔã	fat	
Lamahora		105. Ekor 	ikũ	tale	
Lamahora		106. Ular 	ula	snake	
Lamahora		107. Cacing 	kodəl	worm	
Lamahora		108. Kutu 	kuto	louse	
Lamahora		109. Ikan 	ikã	fish	
