language	lang_id	gloss	transcription	translation	comment
Lamakera		1. Tangan	limak	hand	
Lamakera		2. Kiri	nekĩ	left	
Lamakera		3. Kanan	wanã	right	
Lamakera		4. Kaki	leik	foot	
Lamakera		5. Kaki	l. əpã	footprint	
Lamakera		6. Berjalan	pana	walk	
Lamakera		7. Jalan	rarã	road	
Lamakera		8. Datang	beto	come	
Lamakera		9. Balik	balok	return	
Lamakera		10. Berenang	naŋe	swim	
Lamakera		11. Mencuci	baha	wash	
Lamakera		12. Hapus	oso	wipe	
Lamakera		13. Gosok	oso	rub	
Lamakera		14. Kotor	milã	dirty	
Lamakera		15. Debu	əmu	dust	
Lamakera		16. Kulit	kamʔa	skin	
Lamakera		17. Punggung	woho	back	
Lamakera		18. Perut	taĩ	belly	
Lamakera		19. Tulang	rĩu	bone	
Lamakera		20. Isi perut	kəboti	stomach	
Lamakera		21. Hati	ate	liver	
Lamakera		22. Jantung	puho	heart	
Lamakera		23. Tahu	koi	know	koi, moiː different inflections
Lamakera		24. Pikir	petã	think	
Lamakera		25. Takut	soʔo	scared	
Lamakera		26. Darah	mei	blood	
Lamakera		27. Kepala	kotʔã	head	
Lamakera		28. Leher	wulĩ	neck	
Lamakera		29. Rambut	rata	hair	
Lamakera		30. Hidung	irũ	nose	
Lamakera		31. Bernapas	nərinãi	breathe	
Lamakera		32. Membaui	sio	smell	
Lamakera		33. Mulut	wəwã	mouth	
Lamakera		34. Gigi	ipã	tooth	
Lamakera		35. Lidah	ewel	tongue	
Lamakera		36. Tertawa	geka	laugh	
Lamakera		37. Menangis	tani	cry	
Lamakera		38. Muntah	muta	vomit	
Lamakera		39. Meludah	pərino	spit	
Lamakera		40. Makan	kã	eat	kã, goː different inflections
Lamakera		41. Masak	biho	cook	
Lamakera		42. Minum	tenu	drink	
Lamakera		43. Gigit	gike	bite	
Lamakera		44. Menetek	tuho	suck	
Lamakera		45. Telinga	tilũ	ear	
Lamakera		46. Dengar	dəŋa	listen	
Lamakera		47. Mata	matã	eye	
Lamakera		48. Melihat	təda	see	
Lamakera		49. Tidur	turu	sleep	
Lamakera		50. Rebah	ledã	lie down	
Lamakera		51. Duduk	tobo	sit	
Lamakera		52. Berdiri	deʔi	stand	
Lamakera		53. Orang	atadikã	person	
