language	lang_id	gloss	transcription	translation	comment
Lamalera	lama1278	1. Tangan	limate	hand	
Lamalera	lama1278	2. Kiri	meki	left	
Lamalera	lama1278	3. Kanan	fana	right	
Lamalera	lama1278	4. Kaki	leite	foot	
Lamalera	lama1278	5. Kaki	səmədã tana	footprint	
Lamalera	lama1278	6. Berjalan	pana	walk	
Lamalera	lama1278	7. Jalan	larã	road	
Lamalera	lama1278	8. Datang	bəso	come	
Lamalera	lama1278	9. Balik	tue	return	
Lamalera	lama1278	10. Berenang	naŋe	swim	
Lamalera	lama1278	11. Mencuci	ba	wash	
			pu	wash	
Lamalera	lama1278	12. Hapus	hapu	wipe	
Lamalera	lama1278	13. Gosok	doru	rub	
Lamalera	lama1278	14. Kotor	milã	dirty	
Lamalera	lama1278	15. Debu	əmut	dust	
Lamalera	lama1278	16. Kulit	kãmã	skin	
Lamalera	lama1278	17. Punggung	kətubəŋ	back	
Lamalera	lama1278	18. Perut	lufu	belly	
Lamalera	lama1278	19. Tulang	riuk	bone	
Lamalera	lama1278	20. Isi perut	kəboti	stomach	
Lamalera	lama1278	21. Hati	onã	liver	
Lamalera	lama1278	22. Jantung	puo	heart	
Lamalera	lama1278	23. Tahu	toi	know	
Lamalera	lama1278	24. Pikir	petã	think	
Lamalera	lama1278	25. Takut	kəruit	scared	
Lamalera	lama1278	26. Darah	mei	blood	
Lamalera	lama1278	27. Kepala	kotãte	head	
Lamalera	lama1278	28. Leher	fuli	neck	
Lamalera	lama1278	29. Rambut	rata	hair	
Lamalera	lama1278	30. Hidung	niruŋ	nose	
Lamalera	lama1278	31. Bernapas	ərã nãi	breathe	
Lamalera	lama1278	32. Membaui	penukã	smell	
Lamalera	lama1278	33. Mulut	fəfã	mouth	
Lamalera	lama1278	34. Gigi	ipã	tooth	
Lamalera	lama1278	35. Lidah	efel	tongue	
Lamalera	lama1278	36. Tertawa	geka	laugh	
Lamalera	lama1278	37. Menangis	tani	cry	
Lamalera	lama1278	38. Muntah	muta	vomit	
Lamalera	lama1278	39. Meludah	təmiro	spit	
Lamalera	lama1278	40. Makan	kã	eat	kã, go: different inflections
Lamalera	lama1278	41. Masak	denã	cook	
Lamalera	lama1278	42. Minum	tenu	drink	
Lamalera	lama1278	43. Gigit	goki	bite	
Lamalera	lama1278	44. Menetek	tu (ana)	suck	
Lamalera	lama1278	45. Telinga	tilu	ear	
Lamalera	lama1278	46. Dengar	dəŋa	listen	
Lamalera	lama1278	47. Mata	matã	eye	
Lamalera	lama1278	48. Melihat	təgəl	see	
Lamalera	lama1278	49. Tidur	turu	sleep	
