language	lang_id	gloss	transcription	translation	comment
Lewoeleng		1. Tangan	lima	hand	
Lewoeleng		2. Kiri	wirĩ	left	
Lewoeleng		3. Kanan	wana	right	
Lewoeleng		4. Kaki	lei	foot	
Lewoeleng		5. Kaki	l. pã	footprint	
Lewoeleng		6. Berjalan	pã	walk	
Lewoeleng		7. Jalan	laran	road	
Lewoeleng		8. Datang	hoʔe	come	
Lewoeleng		9. Balik	peko	return	
Lewoeleng		10. Berenang	naŋi	swim	
Lewoeleng		11. Mencuci	baha	wash	
Lewoeleng		12. Hapus	hapu	wipe	
Lewoeleng		13. Gosok	doru	rub	
Lewoeleng		14. Kotor	raʔe	dirty	
Lewoeleng		15. Debu	awo	dust	
Lewoeleng		16. Kulit	uli	skin	
Lewoeleng		17. Punggung	woho	back	
Lewoeleng		18. Perut	botih	belly	
Lewoeleng		19. Tulang	riʔũ	bone	
Lewoeleng		20. Isi perut	ũhãlau	stomach	
Lewoeleng		21. Hati	ũhã	liver	
Lewoeleng		22. Jantung	pũhũ	heart	
Lewoeleng		23. Tahu	təgo	know	
Lewoeleng		24. Pikir	huã	think	
Lewoeleng		25. Takut	goʔə	scared	
Lewoeleng		26. Darah	meʔi	blood	
Lewoeleng		27. Kepala	əte	head	
Lewoeleng		28. Leher	wull̃	neck	
Lewoeleng		29. Rambut	əte ratã	hair	
Lewoeleng		30. Hidung	nirũ	nose	
Lewoeleng		31. Bernapas	hədu	breathe	
Lewoeleng		32. Membaui	hodã	smell	
Lewoeleng		33. Mulut	nuhe	mouth	
Lewoeleng		34. Gigi	ihpe	tooth	
Lewoeleng		35. Lidah	ebe	tongue	
Lewoeleng		36. Tertawa	geʔa	laugh	
Lewoeleng		37. Menangis	tani	cry	
Lewoeleng		38. Muntah	mu	vomit	
Lewoeleng		39. Meludah	piru	spit	
Lewoeleng		40. Makan	a	eat	a, ga: different inflections
Lewoeleng		41. Masak	bihu	cook	
Lewoeleng		42. Minum	enu	drink	enu, menu: different inflections
Lewoeleng		43. Gigit	giʔi	bite	
Lewoeleng		44. Menetek	tuhu	suck	
Lewoeleng		45. Telinga	tilũ	ear	
Lewoeleng		46. Dengar	dəŋe	listen	
Lewoeleng		47. Mata	ulu	eye	
Lewoeleng		48. Melihat	todo	see	
Lewoeleng		49. Tidur	turu	sleep	
Lewoeleng		50. Rebah	ewa	lie down	
Lewoeleng		51. Duduk	tobo	sit	
Lewoeleng		52. Berdiri	diri	stand	
Lewoeleng		53. Orang	atadiyã	person	
Lewoeleng		54. Laki-laki	rəbã	man	
Lewoeleng		55. Wanita	bare	woman	
Lewoeleng		56. Anak	ana	child	
Lewoeleng		57. Suami	təlaʔe	husband	
Lewoeleng		58. Isteri	bare	wife	
Lewoeleng		59. Ibu	ina	mother	
Lewoeleng		60. Bapak	ama	father	
Lewoeleng		61. Kakak	ʔaʔa	older sibling	
Lewoeleng		62. Adik	wari	younger sibling	
Lewoeleng		63. Nama	nara	name	
Lewoeleng		64. Bilang	təde	say	
Lewoeleng		65. Tali	tale	rope	
Lewoeleng		66. Mengikat 	gui	tie	
Lewoeleng		67. Menjahit 	heu	sew	
Lewoeleng		68. Pakaian 	uluale	clothing	
Lewoeleng		69. Berburu	deru	hunt	
Lewoeleng		70. Menembak 	pasa	shoot	
Lewoeleng		71. Menikam 	tuba	stab	
Lewoeleng		72. Bertinju 	sado	fist	
Lewoeleng		73. berkelahi 	ladu(woʔi)	fight	
Lewoeleng		74. Membunuh 	belu	kill	
Lewoeleng		75. Mati 	mata	dead	
Lewoeleng		76. Hidup 	mori	alive	
Lewoeleng		77. Menggaruk 	ragu	scratch	
Lewoeleng		78. Memotong	belu	cut	
Lewoeleng		79. Batang 	nawa	stem	
Lewoeleng		80. Membelah 	ləgo	split	
Lewoeleng		81. Tajam 	reʔõ	sharp	
Lewoeleng		82. Tumpul 	milu	blunt 	
Lewoeleng		83. Bekerja 	ewo eʔo	work	
Lewoeleng		84. Bermain 	pule	play	
Lewoeleng		85. Menyanyi	kata	sing	
Lewoeleng		86. Menari 	sokə	dance	
Lewoeleng		87. Bengkak	mawa	swollen	
Lewoeleng		88. Memeras 	piu	squeeze	
Lewoeleng		89. Memegang	pehe	hold	
Lewoeleng		90. Menggali 	gɔli	dig	
Lewoeleng		91. Memberi 	sorõ	give	
Lewoeleng		92. Menarik	idɔ	pull	
Lewoeleng		93. Mendorong 	udu	push	
Lewoeleng		94. Melempar 	geba	throw	
Lewoeleng		95. Jatuh 	moru	fall	
Lewoeleng		96. Anjing 	aho	dog	
Lewoeleng		97. Burung 	manuʔotõ	bird	
Lewoeleng		98. Telur 	təlũ	egg	
Lewoeleng		99. Bulu 	rawũ	feather	
Lewoeleng		100. Sayap 	api	wing	
Lewoeleng		101. Terbang 	bɔʔɔ̃	fly	on the scan it looks like there is a vague tilde above the last ɔ; check if misprint
Lewoeleng		102. Binatang 	əwã(nawu)	animal	
Lewoeleng		103. Daging 	əlã	meat	
Lewoeleng		104. Lemak 	worõ	fat	
Lewoeleng		105. Ekor 	ʔiʔu	tale	
Lewoeleng		106. Ular 	ula	snake	
Lewoeleng		107. Cacing 	səwalo	worm	
Lewoeleng		108. Kutu 	uto	louse	
Lewoeleng		109. Ikan 	ʔiʔã	fish	
Lewoeleng		110. Pohon 	əso	tree	
Lewoeleng		111. Busuk 	weu	rotten	
Lewoeleng		112. Daun 	lolõ	leaf	
Lewoeleng		113. Kulit kayu	əso ʔamã	bark	
Lewoeleng		114. Akar 	ramu	root	
Lewoeleng		115. Biji 	ʔulũ	seed	
Lewoeleng		116. Bunga 	puhũ	flower	
Lewoeleng		117. Buah 	wuʔɔ̃	fruit	
Lewoeleng		118. Rumput 	gəpe	grass	
Lewoeleng		119. Tanah 	tana	earth	
Lewoeleng		120. Batu 	wato	stone	
Lewoeleng		121. Pasir 	botã	sand	
Lewoeleng		122. Air 	wae	water	
Lewoeleng		123. Membeku 	—	freeze	
Lewoeleng		124. Es 	—	ice	
Lewoeleng		125. Mengalir 	bã	flow	
Lewoeleng		126. Terapung 	bɔo	float	
Lewoeleng		127. Laut 	tahi	sea	
Lewoeleng		128. Garam 	taʔo	salt	
Lewoeleng		129. Danau 	opa	lake	
Lewoeleng		130. Sungai 	luŋu	river	
Lewoeleng		131. Gunung 	ile	mountain	
Lewoeleng		132. Hutan	əso ʔuho	forest	
Lewoeleng		133. Langit 	əlẽ	sky	
Lewoeleng		134. Matahari 	ləra	sun	
Lewoeleng		135. Bintang 	malã	star	
Lewoeleng		136. Awan 	ʔowa	cloud	
Lewoeleng		137. Embun 	apũ	dew	
Lewoeleng		138. Hujan 	urã	rain	
Lewoeleng		139. Salju 	—	snow	
Lewoeleng		140. Angin 	aŋin	wind	
Lewoeleng		141. Bertiup 	pui	blow	
Lewoeleng		142. Panas 	pati	hot	
Lewoeleng		143. Dingin 	lətɔ	cold	
Lewoeleng		144. Kering 	mɔrɔ	dry	
Lewoeleng		145. Basah 	ilo	wet	
Lewoeleng		146. Rata 	mənete	flat, smooth	
Lewoeleng		147. Berat 	bəra	heavy	
Lewoeleng		148. Api 	a̤pe	fire	breathy vowel
Lewoeleng		149. Membakar 	deʔe	burn	
Lewoeleng		150. Asap 	nuhẽ	smoke	
Lewoeleng		151. Abu 	ʔawɔ	dust	
Lewoeleng		152. Hitam 	mistã	black 	
Lewoeleng		153. Putih 	burɔ̃	white	
Lewoeleng		154. Merah 	mera	red	
Lewoeleng		155. Kuning 	umɔ	yellow	
Lewoeleng		156. Hijau 	taŋe	green	
Lewoeleng		157. Kecil 	kana	small	
Lewoeleng		158. Besar 	bəle	big	
Lewoeleng		159. Pendek 	boʔõ	short	
Lewoeleng		160. Panjang 	bawã	long	
Lewoeleng		161. Tipis 	mipi	thin	
Lewoeleng		162. Tebal 	wəra	thick	
Lewoeleng		163. Sempit 	ʔuhu	narrow	
Lewoeleng		164. Luas 	bəle	wide	
Lewoeleng		165. Lurus 	mohpa	straight	
Lewoeleng		166. Tua 	magũ	old	
Lewoeleng		167. Baru 	wərũ	new	
Lewoeleng		168. Baik 	diʔe	good	
Lewoeleng		169. Jelek	datẽ	bad	
Lewoeleng		170. Betul 	na toʔõ	right, correct	
Lewoeleng		171. Malam 	ṳgũ	night	
Lewoeleng		172. Tahun 	tuŋ	year	
Lewoeleng		173. Hari 	ləro	day	
Lewoeleng		174. Bilamana 	erepirə	when	
Lewoeleng		175. Di 	wəli	in 	
Lewoeleng		176. Dalam 	ləmə	inside	
Lewoeleng		177. Di sini 	noʔo	here	
Lewoeleng		178. Di situ 	weli	there	
Lewoeleng		179. Ini 	bobo	this	
Lewoeleng		180. Itu 	nene	that	
Lewoeleng		181. Dekat 	dahe	near	
Lewoeleng		182. Jauh 	doa	far	
Lewoeleng		183. Di mana 	deʔea	where	
Lewoeleng		184. Saya 	goe	1SG	
Lewoeleng		185. Engkau/ kamu 	moʔe	2SG;2PL	
			mio	2SG;2PL	
Lewoeleng		186. Dia 	noʔe	3SG	
Lewoeleng		187. Kita 	gite	1PL.INC	
Lewoeleng		188. Kami 	ome	1PL.EXC	
Lewoeleng		189. Mereka 	roʔe	3PL	
Lewoeleng		190. Apa 	ape	what	
Lewoeleng		191. Siapa 	heʔe	who	
Lewoeleng		192. Lain	pehã	other	
Lewoeleng		193. Beberapa 	pirəpirə	some	
Lewoeleng		194. Banyak 	boʔu	many	
Lewoeleng		195. Sedikit 	kana	few	
Lewoeleng		196. Semua 	rowao	all	
