language	lang_id	gloss	transcription	translation	comment
Lewokukun		1. Tangan	limaga	hand	
Lewokukun		2. Kiri	seke	left	
Lewokukun		3. Kanan	wanã	right	
Lewokukun		4. Kaki	liga	foot	
Lewokukun		5. Kaki	l. əpak	footprint	
Lewokukun		6. Berjalan	pana	walk	
Lewokukun		7. Jalan	lalanu	road	
Lewokukun		8. Datang	haka	come	
Lewokukun		9. Balik	tue	return	
Lewokukun		10. Berenang	naŋe	swim	
Lewokukun		11. Mencuci	basa	wash	
Lewokukun		12. Hapus	apus	wipe	
Lewokukun		13. Gosok	doru	rub	
Lewokukun		14. Kotor	milan	dirty	
Lewokukun		15. Debu	amutu	dust	
Lewokukun		16. Kulit	kuda	skin	
Lewokukun		17. Punggung	kənaruga	back	
Lewokukun		18. Perut	taiga	belly	
Lewokukun		19. Tulang	riuk	bone	
Lewokukun		20. Isi perut	taik	stomach	
Lewokukun		21. Hati	kəbotik ate	liver	
Lewokukun		22. Jantung	puo	heart	
Lewokukun		23. Tahu	ketən	know	
Lewokukun		24. Pikir	petən	think	
Lewokukun		25. Takut	takutga	scared	
Lewokukun		26. Darah	səmei	blood	
Lewokukun		27. Kepala	uluga	head	
Lewokukun		28. Leher	wule	neck	
Lewokukun		29. Rambut	rata	hair	
Lewokukun		30. Hidung	nijuga	nose	
Lewokukun		31. Bernapas	sənaiga	breathe	
Lewokukun		32. Membaui	sodam	smell	
Lewokukun		33. Mulut	nusəga	mouth	
Lewokukun		34. Gigi	paiga	tooth	
Lewokukun		35. Lidah	ewel	tongue	
Lewokukun		36. Tertawa	geka	laugh	
Lewokukun		37. Menangis	giar	cry	
Lewokukun		38. Muntah	lua	vomit	
Lewokukun		39. Meludah	təmiju	spit	
Lewokukun		40. Makan	ka	eat	ka, ga: different inflections
Lewokukun		41. Masak	giu	cook	
Lewokukun		42. Minum	menu	drink	
Lewokukun		43. Gigit	giki	bite	
Lewokukun		44. Menetek	tusu	suck	
Lewokukun		45. Telinga	kiŋa	ear	
Lewokukun		46. Dengar	dəŋər	listen	
Lewokukun		47. Mata	mata	eye	
Lewokukun		48. Melihat	bele	see	
Lewokukun		49. Tidur	gəle	sleep	
Lewokukun		50. Rebah	gəle	lie down	
Lewokukun		51. Duduk	tobe	sit	
Lewokukun		52. Berdiri	diri	stand	
Lewokukun		53. Orang	səlik	person	
Lewokukun		54. Laki-laki	lame	man	
Lewokukun		55. Wanita	bine	woman	
Lewokukun		56. Anak	nuya	child	
Lewokukun		57. Suami	awaga lame	husband	
Lewokukun		58. Isteri	awaga bine	wife	
Lewokukun		59. Ibu	ina	mother	
Lewokukun		60. Bapak	ama	father	
Lewokukun		61. Kakak	kaka	older sibling	
Lewokukun		62. Adik	wajiga	younger sibling	
Lewokukun		63. Nama	nayan	name	
Lewokukun		64. Bilang	maik	say	
Lewokukun		65. Tali	tali	rope	
Lewokukun		66. Mengikat 	pui	tie	
Lewokukun		67. Menjahit 	saur	sew	
Lewokukun		68. Pakaian 	anampunak	clothing	
Lewokukun		69. Berburu	bati	hunt	
Lewokukun		70. Menembak 	pasak	shoot	
Lewokukun		71. Menikam 	tubak	stab	
Lewokukun		72. Bertinju 	tubuk	fist	
Lewokukun		73. berkelahi 	puno	fight	
Lewokukun		74. Membunuh 	belu	kill	
Lewokukun		75. Mati 	belu	dead	
Lewokukun		76. Hidup 	mojip	alive	
Lewokukun		77. Menggaruk 	kəragum	scratch	
Lewokukun		78. Memotong	belu	cut	
Lewokukun		79. Batang 	puk	stem	
Lewokukun		80. Membelah 	ləga	split	
Lewokukun		81. Tajam 	rəkət	sharp	
Lewokukun		82. Tumpul 	kəmoso	blunt 	
Lewokukun		83. Bekerja 	kərja	work	
Lewokukun		84. Bermain 	gəlasa	play	
Lewokukun		85. Menyanyi	kantar	sing	
Lewokukun		86. Menari 	soka	dance	
Lewokukun		87. Bengkak	sobaj	swollen	
Lewokukun		88. Memeras 	piuk	squeeze	
Lewokukun		89. Memegang	soga	hold	
Lewokukun		90. Menggali 	gali	dig	
Lewokukun		91. Memberi 	ne	give	
Lewokukun		92. Menarik	tugu	pull	
Lewokukun		93. Mendorong 	uduk	push	
Lewokukun		94. Melempar 	dəka	throw	
Lewokukun		95. Jatuh 	ləŋat	fall	
Lewokukun		96. Anjing 	aoru	dog	
Lewokukun		97. Burung 	koloŋ	bird	
Lewokukun		98. Telur 	təluk	egg	
Lewokukun		99. Bulu 	rawuk	feather	
Lewokukun		100. Sayap 	kəpik	wing	
Lewokukun		101. Terbang 	bəka	fly	
Lewokukun		102. Binatang 	binataŋ	animal	
Lewokukun		103. Daging 	elaŋ	meat	
Lewokukun		104. Lemak 	wojak	fat	
Lewokukun		105. Ekor 	ikur	tale	
Lewokukun		106. Ular 	ularu	snake	
Lewokukun		107. Cacing 	səwalaku	worm	
Lewokukun		108. Kutu 	kutoru	louse	
Lewokukun		109. Ikan 	ikan	fish	
Lewokukun		110. Pohon 	kayoru	tree	
Lewokukun		111. Busuk 	wauk	rotten	
Lewokukun		112. Daun 	lolo	leaf	
Lewokukun		113. Kulit kayu	kamak	bark	
Lewokukun		114. Akar 	kamak	root	
Lewokukun		115. Biji 	kuluk	seed	
Lewokukun		116. Bunga 	buŋaru	flower	
Lewokukun		117. Buah 	wuak	fruit	
Lewokukun		118. Rumput 	mewak	grass	
Lewokukun		119. Tanah 	ənaj	earth	
Lewokukun		120. Batu 	watoru	stone	
Lewokukun		121. Pasir 	wəraru	sand	
Lewokukun		122. Air 	waeru	water	
Lewokukun		123. Membeku 	—	freeze	
Lewokukun		124. Es 	—	ice	
Lewokukun		125. Mengalir 	baŋak	flow	
Lewokukun		126. Terapung 	nebon	float	
Lewokukun		127. Laut 	loyoru	sea	
Lewokukun		128. Garam 	iraru	salt	
Lewokukun		129. Danau 	liworu	lake	
