language	lang_id	gloss	transcription	translation	comment
Lewotala		1. Tangan	limaha	hand	
Lewotala		2. Kiri	həmekiŋən	left	
Lewotala		3. Kanan	fanan	right	
Lewotala		4. Kaki	linaha	foot	
Lewotala		5. Kaki	linaha əpak	footprint	
Lewotala		6. Berjalan	pana	walk	
Lewotala		7. Jalan	lalanu	road	
Lewotala		8. Datang	bəsol	come	
Lewotala		9. Balik	tuel	return	
Lewotala		10. Berenang	naŋi	swim	
Lewotala		11. Mencuci	baha	wash	
Lewotala		12. Hapus	apuja	wipe	
Lewotala		13. Gosok	odo	rub	
Lewotala		14. Kotor	mila	dirty	
Lewotala		15. Debu	əmutu	dust	
Lewotala		16. Kulit	kamakha	skin	
Lewotala		17. Punggung	kətubəŋha	back	
Lewotala		18. Perut	tukaha	belly	
Lewotala		19. Tulang	riuk	bone	
Lewotala		20. Isi perut	t. kebotiha	stomach	
Lewotala		21. Hati	oraha	liver	
Lewotala		22. Jantung	puoha	heart	
Lewotala		23. Tahu	toi	know	
Lewotala		24. Pikir	petən	think	
Lewotala		25. Takut	kəruit	scared	
Lewotala		26. Darah	həmeiha	blood	
Lewotala		27. Kepala	uluha	head	
Lewotala		28. Leher	fuleha	neck	
Lewotala		29. Rambut	latarha	hair	
Lewotala		30. Hidung	nijuŋ	nose	
Lewotala		31. Bernapas	ər naiha	breathe	
Lewotala		32. Membaui	hodam	smell	
Lewotala		33. Mulut	fəfaha	mouth	
Lewotala		34. Gigi	kiakha	tooth	
Lewotala		35. Lidah	efel	tongue	
Lewotala		36. Tertawa	gekaj	laugh	
Lewotala		37. Menangis	əra	cry	
Lewotala		38. Muntah	luaŋa	vomit	
Lewotala		39. Meludah	təmiju	spit	
Lewotala		40. Makan	pa	eat	pa, ga: different inflections
Lewotala		41. Masak	giu	cook	
Lewotala		42. Minum	tenu	drink	
Lewotala		43. Gigit	gike	bite	
Lewotala		44. Menetek	tuho	suck	
Lewotala		45. Telinga	kinaha	ear	
Lewotala		46. Dengar	dəŋ	listen	
Lewotala		47. Mata	kuluk	eye	
Lewotala		48. Melihat	tene	see	
Lewotala		49. Tidur	gəle	sleep	
Lewotala		50. Rebah	pafaŋa	lie down	
Lewotala		51. Duduk	tobe	sit	
Lewotala		52. Berdiri	diri	stand	
Lewotala		53. Orang	atadikəja	person	
Lewotala		54. Laki-laki	ata lamen	man	
Lewotala		55. Wanita	gərapoja	woman	
Lewotala		56. Anak	anakja	child	
Lewotala		57. Suami	atan lame	husband	
Lewotala		58. Isteri	gerapu	wife	
Lewotala		59. Ibu	ina	mother	
Lewotala		60. Bapak	ama	father	
Lewotala		61. Kakak	kaka	older sibling	
Lewotala		62. Adik	fajin	younger sibling	
Lewotala		63. Nama	najan	name	
Lewotala		64. Bilang	maji	say	
Lewotala		65. Tali	fədəku	rope	
Lewotala		66. Mengikat 	hoŋ	tie	
Lewotala		67. Menjahit 	haur	sew	
Lewotala		68. Pakaian 	aleloloja	clothing	
Lewotala		69. Berburu	bati	hunt	
Lewotala		70. Menembak 	pasak	shoot	
Lewotala		71. Menikam 	tubak	stab	
Lewotala		72. Bertinju 	tado	fist	
Lewotala		73. berkelahi 	punoj	fight	
Lewotala		74. Membunuh 	təbajak	kill	
Lewotala		75. Mati 	mataj	dead	
Lewotala		76. Hidup 	mojip	alive	
Lewotala		77. Menggaruk 	ragu	scratch	
Lewotala		78. Memotong	belu	cut	
Lewotala		79. Batang 	puk	stem	
Lewotala		80. Membelah 	ləgat	split	
Lewotala		81. Tajam 	bərəkət	sharp	
Lewotala		82. Tumpul 	motəl	blunt 	
Lewotala		83. Bekerja 	kəria	work	
Lewotala		84. Bermain 	gəlah	play	
Lewotala		85. Menyanyi	kantar	sing	
Lewotala		86. Menari 	soka	dance	
Lewotala		87. Bengkak	kəbarah	swollen	
Lewotala		88. Memeras 	piuk	squeeze	
Lewotala		89. Memegang	pid	hold	
Lewotala		90. Menggali 	gali	dig	
Lewotala		91. Memberi 	soro	give	
Lewotala		92. Menarik	gəfea	pull	
Lewotala		93. Mendorong 	bogor	push	
Lewotala		94. Melempar 	pədi	throw	
Lewotala		95. Jatuh 	gokala	fall	
Lewotala		96. Anjing 	aoru	dog	
Lewotala		97. Burung 	koloŋu	bird	
Lewotala		98. Telur 	təluk	egg	
Lewotala		99. Bulu 	rafuk	feather	
Lewotala		100. Sayap 	kəpik	wing	
Lewotala		101. Terbang 	bək	fly	
Lewotala		102. Binatang 	əfanŋ	animal	
Lewotala		103. Daging 	elam	meat	
Lewotala		104. Lemak 	fojak	fat	
Lewotala		105. Ekor 	ikur	tale	
Lewotala		106. Ular 	ularu	snake	
Lewotala		107. Cacing 	salafalaku	worm	
Lewotala		108. Kutu 	kutoja	louse	
Lewotala		109. Ikan 	ikanu	fish	
Lewotala		110. Pohon 	kajoru	tree	
Lewotala		111. Busuk 	buru	rotten	
Lewotala		112. Daun 	lolo	leaf	
Lewotala		113. Kulit kayu	kaju kamakən	bark	
Lewotala		114. Akar 	ramut	root	
Lewotala		115. Biji 	riuk	seed	
Lewotala		116. Bunga 	puŋa	flower	
Lewotala		117. Buah 	uak	fruit	
Lewotala		118. Rumput 	kərəka	grass	
Lewotala		119. Tanah 	enaj	earth	
Lewotala		120. Batu 	enaj	stone	
Lewotala		121. Pasir 	fəraja	sand	
Lewotala		122. Air 	faeru	water	
Lewotala		123. Membeku 	—	freeze	
Lewotala		124. Es 	—	ice	
Lewotala		125. Mengalir 	baŋ	flow	
Lewotala		126. Terapung 	baoŋa	float	
Lewotala		127. Laut 	lefa	sea	
Lewotala		128. Garam 	iraru	salt	
Lewotala		129. Danau 	liforu	lake	
Lewotala		130. Sungai 	fai mənaŋaken	river	
Lewotala		131. Gunung 	ileru	mountain	
Lewotala		132. Hutan	eka maŋan	forest	
Lewotala		133. Langit 	kələmu	sky	
Lewotala		134. Matahari 	ləjaf	sun	
Lewotala		135. Bintang 	tonaja	star	
Lewotala		136. Awan 	kofaru	cloud	
Lewotala		137. Embun 	apun	dew	
Lewotala		138. Hujan 	ujan	rain	
Lewotala		139. Salju 	—	snow	
Lewotala		140. Angin 	aŋinu	wind	
Lewotala		141. Bertiup 	dihe	blow	
Lewotala		142. Panas 	kati	hot	
Lewotala		143. Dingin 	lətəh	cold	
Lewotala		144. Kering 	majakən	dry	
Lewotala		145. Basah 	həba	wet	
Lewotala		146. Rata 	lerekən	flat, smooth	
Lewotala		147. Berat 	bera	heavy	
Lewotala		148. Api 	aperu	fire	
Lewotala		149. Membakar 	papi	burn	
Lewotala		150. Asap 	hənəgur	smoke	
Lewotala		151. Abu 	kafoku	dust	
Lewotala		152. Hitam 	mitəm	black 	
Lewotala		153. Putih 	buja	white	
Lewotala		154. Merah 	meran	red	
Lewotala		155. Kuning 	kuma	yellow	
Lewotala		156. Hijau 	keorən	green	
Lewotala		157. Kecil 	anak	small	
Lewotala		158. Besar 	keda	big	
Lewotala		159. Pendek 	pəjokan	short	
Lewotala		160. Panjang 	belamikən	long	
Lewotala		161. Tipis 	mənipifən	thin	
Lewotala		162. Tebal 	pəŋe	thick	
Lewotala		163. Sempit 	hipet	narrow	
Lewotala		164. Luas 	pəlafa	wide	
Lewotala		165. Lurus 	mulu	straight	
Lewotala		166. Tua 	maguja	old	
Lewotala		167. Baru 	fəruja	new	
Lewotala		168. Baik 	məla	good	
Lewotala		169. Jelek	kədatək	bad	
Lewotala		170. Betul 	mui	right, correct	
Lewotala		171. Malam 	buk	night	
Lewotala		172. Tahun 	tun	year	
Lewotala		173. Hari 	ləjon	day	
Lewotala		174. Bilamana 	jəmapira	when	
Lewotala		175. Di 	ju	in 	ju, lau: different inflections
Lewotala		176. Dalam 	goməkən	inside	
Lewotala		177. Di sini 	keteri	here	
Lewotala		178. Di situ 	ketere	there	
Lewotala		179. Ini 	nakuri	this	
Lewotala		180. Itu 	nakure	that	
Lewotala		181. Dekat 	dae	near	
Lewotala		182. Jauh 	doa	far	
Lewotala		183. Di mana 	ketega	where	
Lewotala		184. Saya 	go	1SG	
Lewotala		185. Engkau/ kamu 	mo	2SG;2PL	
			mio	2SG;2PL	
Lewotala		186. Dia 	na	3SG	
Lewotala		187. Kita 	tite	1PL.INC	
Lewotala		188. Kami 	kame	1PL.EXC	
Lewotala		189. Mereka 	da	3PL	
Lewotala		190. Apa 	alaka	what	
Lewotala		191. Siapa 	kena	who	
Lewotala		192. Lain	gehakən	other	
Lewotala		193. Beberapa 	bopira	some	
Lewotala		194. Banyak 	rai	many	
Lewotala		195. Sedikit 	kənako	few	
Lewotala		196. Semua 	pua	all	
Lewotala		197. Dan 	fe	and	
Lewotala		198. Dengan	fe	with	
Lewotala		199. Sebab 	puk	because	
Lewotala		200. Jikalau 	kalu	if	
