language	lang_id	gloss	transcription	translation	comment
Lewotobi	lewo1244	1. Tangan	lima	hand	
Lewotobi	lewo1244	2. Kiri	mekĩ	left	
Lewotobi	lewo1244	3. Kanan	wana	right	
Lewotobi	lewo1244	4. Kaki	lei	foot	
Lewotobi	lewo1244	5. Kaki	maka	footprint	
Lewotobi	lewo1244	6. Berjalan	pana	walk	
Lewotobi	lewo1244	7. Jalan	larã	road	
Lewotobi	lewo1244	8. Datang	səga	come	
Lewotobi	lewo1244	9. Balik	gəwali	return	
Lewotobi	lewo1244	10. Berenang	naŋe	swim	
Lewotobi	lewo1244	11. Mencuci	baha	wash	
Lewotobi	lewo1244	12. Hapus	hamu	wipe	
Lewotobi	lewo1244	13. Gosok	doru	rub	
Lewotobi	lewo1244	14. Kotor	milã	dirty	
Lewotobi	lewo1244	15. Debu	əwu	dust	
Lewotobi	lewo1244	16. Kulit	kuli	skin	
Lewotobi	lewo1244	17. Punggung	keko	back	
Lewotobi	lewo1244	18. Perut	luwu	belly	
Lewotobi	lewo1244	19. Tulang	riʔu	bone	
Lewotobi	lewo1244	20. Isi perut	tãi kənaluŋ	stomach	
Lewotobi	lewo1244	21. Hati	atẽ	liver	
Lewotobi	lewo1244	22. Jantung	puhũ	heart	
Lewotobi	lewo1244	23. Tahu	koi	know	koi, moiː different inflections
Lewotobi	lewo1244	24. Pikir	hu	think	
Lewotobi	lewo1244	25. Takut	takuʔ	scared	
Lewotobi	lewo1244	26. Darah	mei	blood	
Lewotobi	lewo1244	27. Kepala	kotə	head	
Lewotobi	lewo1244	28. Leher	wuli	neck	
Lewotobi	lewo1244	29. Rambut	rata	hair	
Lewotobi	lewo1244	30. Hidung	irũ	nose	
Lewotobi	lewo1244	31. Bernapas	hari nãi	breathe	
Lewotobi	lewo1244	32. Membaui	siõ	smell	
Lewotobi	lewo1244	33. Mulut	wəwa	mouth	
Lewotobi	lewo1244	34. Gigi	ipə	tooth	
Lewotobi	lewo1244	35. Lidah	wewe	tongue	
Lewotobi	lewo1244	36. Tertawa	geka	laugh	
Lewotobi	lewo1244	37. Menangis	gaka	cry	
Lewotobi	lewo1244	38. Muntah	muta	vomit	
Lewotobi	lewo1244	39. Meludah	pino	spit	
Lewotobi	lewo1244	40. Makan	təkã	eat	
Lewotobi	lewo1244	41. Masak	biho	cook	
Lewotobi	lewo1244	42. Minum	tenu	drink	
Lewotobi	lewo1244	43. Gigit	gori	bite	
Lewotobi	lewo1244	44. Menetek	tuho	suck	
Lewotobi	lewo1244	45. Telinga	tilu	ear	
Lewotobi	lewo1244	46. Dengar	bãi	listen	
Lewotobi	lewo1244	47. Mata	mata	eye	
Lewotobi	lewo1244	48. Melihat	notõ	see	
