language	lang_id	gloss	transcription	translation	comment
Lewuka		1. Tangan	limaga	hand	
Lewuka		2. Kiri	seke	left	
Lewuka		3. Kanan	wana	right	
Lewuka		4. Kaki	linəga	foot	
Lewuka		5. Kaki	liga əpak	footprint	
Lewuka		6. Berjalan	labi	walk	
Lewuka		7. Jalan	lalan	road	
Lewuka		8. Datang	mene	come	
Lewuka		9. Balik	tue	return	
Lewuka		10. Berenang	dulo	swim	
Lewuka		11. Mencuci	basa	wash	
Lewuka		12. Hapus	apus	wipe	
Lewuka		13. Gosok	doru	rub	
Lewuka		14. Kotor	mila	dirty	
Lewuka		15. Debu	əmut	dust	
Lewuka		16. Kulit	kudan	skin	
Lewuka		17. Punggung	wurəsa	back	
Lewuka		18. Perut	taisa	belly	
Lewuka		19. Tulang	riuksa	bone	
Lewuka		20. Isi perut	taisa orasa	stomach	
Lewuka		21. Hati	or	liver	
Lewuka		22. Jantung	puo	heart	
Lewuka		23. Tahu	metəna	know	
Lewuka		24. Pikir	petən	think	
Lewuka		25. Takut	takut	scared	
Lewuka		26. Darah	smei	blood	
Lewuka		27. Kepala	ulu	head	
Lewuka		28. Leher	wule	neck	
Lewuka		29. Rambut	latar	hair	
Lewuka		30. Hidung	niju	nose	
Lewuka		31. Bernapas	esa nai	breathe	
Lewuka		32. Membaui	sodam	smell	
Lewuka		33. Mulut	nus	mouth	
Lewuka		34. Gigi	paisa	tooth	
Lewuka		35. Lidah	ewel	tongue	
Lewuka		36. Tertawa	geka	laugh	
Lewuka		37. Menangis	əra	cry	
Lewuka		38. Muntah	lua	vomit	
Lewuka		39. Meludah	təmiju	spit	
Lewuka		40. Makan	ka, ga	eat	
Lewuka		41. Masak	giu	cook	
Lewuka		42. Minum	menu	drink	
Lewuka		43. Gigit	giki	bite	
Lewuka		44. Menetek	tusu	suck	
Lewuka		45. Telinga	kiŋa	ear	
Lewuka		46. Dengar	dəŋ	listen	
Lewuka		47. Mata	mata	eye	
Lewuka		48. Melihat	du	see	
Lewuka		49. Tidur	gəle	sleep	
Lewuka		50. Rebah	pawa	lie down	
Lewuka		51. Duduk	tobe	sit	
Lewuka		52. Berdiri	diri	stand	
Lewuka		53. Orang	ate	person	
